wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,light,central,0,0,2.5,20,1000,0,1,"0.688319*(1+0.0377165*x+-4.8499e-05*x*x+6.75365e-08*x*x*x+-3.24566e-11*x*x*x*x)/(1+0.0161474*x)"
L,light,down,0,0,2.5,20,1000,0,1,"(0.688319*(1+0.0377165*x+-4.8499e-05*x*x+6.75365e-08*x*x*x+-3.24566e-11*x*x*x*x)/(1+0.0161474*x))*(1-(0.0425208+6.99903e-07*x+-6.45617e-09*x*x+5.00642e-12*x*x*x))"
L,light,down_correlated,0,0,2.5,20,1000,0,1,"(0.688319*(1+0.0377165*x+-4.8499e-05*x*x+6.75365e-08*x*x*x+-3.24566e-11*x*x*x*x)/(1+0.0161474*x))*(1-(0.0299764+8.10332e-08*x+-5.00849e-09*x*x+3.71263e-12*x*x*x))"
L,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(0.688319*(1+0.0377165*x+-4.8499e-05*x*x+6.75365e-08*x*x*x+-3.24566e-11*x*x*x*x)/(1+0.0161474*x))*(1-(0.0301438+9.29381e-07*x+-4.12309e-09*x*x+3.34069e-12*x*x*x))"
L,light,up,0,0,2.5,20,1000,0,1,"(0.688319*(1+0.0377165*x+-4.8499e-05*x*x+6.75365e-08*x*x*x+-3.24566e-11*x*x*x*x)/(1+0.0161474*x))*(1+(0.0425208+6.99903e-07*x+-6.45617e-09*x*x+5.00642e-12*x*x*x))"
L,light,up_correlated,0,0,2.5,20,1000,0,1,"(0.688319*(1+0.0377165*x+-4.8499e-05*x*x+6.75365e-08*x*x*x+-3.24566e-11*x*x*x*x)/(1+0.0161474*x))*(1+(0.0299764+8.10332e-08*x+-5.00849e-09*x*x+3.71263e-12*x*x*x))"
L,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(0.688319*(1+0.0377165*x+-4.8499e-05*x*x+6.75365e-08*x*x*x+-3.24566e-11*x*x*x*x)/(1+0.0161474*x))*(1+(0.0301438+9.29381e-07*x+-4.12309e-09*x*x+3.34069e-12*x*x*x))"
M,light,central,0,0,2.5,20,1000,0,1,"-3.09978+4.56595*x/(1.72204+x)+-6.09483e-05*x+-3.12528e-08*x*x"
M,light,down,0,0,2.5,20,1000,0,1,"(-3.09978+4.56595*x/(1.72204+x)+-6.09483e-05*x+-3.12528e-08*x*x)*(1-(0.103348+3.25449e-05*x+-9.18755e-08*x*x+5.94751e-11*x*x*x))"
M,light,down_correlated,0,0,2.5,20,1000,0,1,"(-3.09978+4.56595*x/(1.72204+x)+-6.09483e-05*x+-3.12528e-08*x*x)*(1-(0.0834965+4.33269e-05*x+-1.18654e-07*x*x+7.61657e-11*x*x*x))"
M,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(-3.09978+4.56595*x/(1.72204+x)+-6.09483e-05*x+-3.12528e-08*x*x)*(1-(0.0600581+2.989e-06*x+-9.46841e-09*x*x+6.99974e-12*x*x*x))"
