wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,light,central,0,0,2.5,20,1000,0,1,"0.576252*(1+0.108827*x+-4.50404e-05*x*x+6.6447e-08*x*x*x+-3.49938e-11*x*x*x*x)/(1+0.0528837*x)"
L,light,down,0,0,2.5,20,1000,0,1,"(0.576252*(1+0.108827*x+-4.50404e-05*x*x+6.6447e-08*x*x*x+-3.49938e-11*x*x*x*x)/(1+0.0528837*x))*(1-(0.0416465+2.24595e-06*x+-5.85709e-09*x*x+3.74261e-12*x*x*x))"
L,light,down_correlated,0,0,2.5,20,1000,0,1,"(0.576252*(1+0.108827*x+-4.50404e-05*x*x+6.6447e-08*x*x*x+-3.49938e-11*x*x*x*x)/(1+0.0528837*x))*(1-(0.0289171+1.81818e-06*x+-4.21263e-09*x*x+2.34229e-12*x*x*x))"
L,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(0.576252*(1+0.108827*x+-4.50404e-05*x*x+6.6447e-08*x*x*x+-3.49938e-11*x*x*x*x)/(1+0.0528837*x))*(1-(0.0299666+1.37326e-06*x+-4.07179e-09*x*x+2.93522e-12*x*x*x))"
L,light,up,0,0,2.5,20,1000,0,1,"(0.576252*(1+0.108827*x+-4.50404e-05*x*x+6.6447e-08*x*x*x+-3.49938e-11*x*x*x*x)/(1+0.0528837*x))*(1+(0.0416465+2.24595e-06*x+-5.85709e-09*x*x+3.74261e-12*x*x*x))"
L,light,up_correlated,0,0,2.5,20,1000,0,1,"(0.576252*(1+0.108827*x+-4.50404e-05*x*x+6.6447e-08*x*x*x+-3.49938e-11*x*x*x*x)/(1+0.0528837*x))*(1+(0.0289171+1.81818e-06*x+-4.21263e-09*x*x+2.34229e-12*x*x*x))"
L,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(0.576252*(1+0.108827*x+-4.50404e-05*x*x+6.6447e-08*x*x*x+-3.49938e-11*x*x*x*x)/(1+0.0528837*x))*(1+(0.0299666+1.37326e-06*x+-4.07179e-09*x*x+2.93522e-12*x*x*x))"
M,light,central,0,0,2.5,20,1000,0,1,"0.416989*(1+0.152065*x+-6.93926e-05*x*x+2.81398e-08*x*x*x)/(1+0.0380753*x)"
M,light,down,0,0,2.5,20,1000,0,1,"(0.416989*(1+0.152065*x+-6.93926e-05*x*x+2.81398e-08*x*x*x)/(1+0.0380753*x))*(1-(0.101174+2.77506e-05*x+-7.57444e-08*x*x+4.90536e-11*x*x*x))"
M,light,down_correlated,0,0,2.5,20,1000,0,1,"(0.416989*(1+0.152065*x+-6.93926e-05*x*x+2.81398e-08*x*x*x)/(1+0.0380753*x))*(1-(0.0799695+4.41342e-05*x+-1.11976e-07*x*x+7.08827e-11*x*x*x))"
M,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(0.416989*(1+0.152065*x+-6.93926e-05*x*x+2.81398e-08*x*x*x)/(1+0.0380753*x))*(1-(0.061986+-1.33535e-05*x+2.52355e-08*x*x+-1.42271e-11*x*x*x))"
M,light,up,0,0,2.5,20,1000,0,1,"(0.416989*(1+0.152065*x+-6.93926e-05*x*x+2.81398e-08*x*x*x)/(1+0.0380753*x))*(1+(0.101174+2.77506e-05*x+-7.57444e-08*x*x+4.90536e-11*x*x*x))"
M,light,up_correlated,0,0,2.5,20,1000,0,1,"(0.416989*(1+0.152065*x+-6.93926e-05*x*x+2.81398e-08*x*x*x)/(1+0.0380753*x))*(1+(0.0799695+4.41342e-05*x+-1.11976e-07*x*x+7.08827e-11*x*x*x))"
M,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(0.416989*(1+0.152065*x+-6.93926e-05*x*x+2.81398e-08*x*x*x)/(1+0.0380753*x))*(1+(0.061986+-1.33535e-05*x+2.52355e-08*x*x+-1.42271e-11*x*x*x))"
T,light,central,0,0,2.5,20,1000,0,1,"0.430766*(1+0.175549*x+-0.00010892*x*x+6.41026e-08*x*x*x)/(1+0.0394567*x)"
