,wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,L,comb,central,5,0,2.5,30,300,0,1,0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))
1,L,comb,central,4,0,2.5,30,300,0,1,0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))
2,L,comb,down,5,0,2.5,30,50,0,1,0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.07206361753780308
3,L,comb,down,5,0,2.5,50,70,0,1,0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.056151569913887235
4,L,comb,down,5,0,2.5,70,100,0,1,0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.03476816661656077
5,L,comb,down,5,0,2.5,100,140,0,1,0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.024813569479737407
6,L,comb,down,5,0,2.5,140,200,0,1,0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.024209487090449743
7,L,comb,down,5,0,2.5,200,300,0,1,0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.04588006282761995
8,L,comb,down,4,0,2.5,30,50,0,1,0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.1801590438445077
9,L,comb,down,4,0,2.5,50,70,0,1,0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.14037892478471808
10,L,comb,down,4,0,2.5,70,100,0,1,0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.08692041654140192
11,L,comb,down,4,0,2.5,100,140,0,1,0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.06203392369934352
12,L,comb,down,4,0,2.5,140,200,0,1,0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.06052371772612436
13,L,comb,down,4,0,2.5,200,300,0,1,0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.11470015706904987
14,L,comb,up,5,0,2.5,30,50,0,1,0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))+0.07206361753780308
15,L,comb,up,5,0,2.5,50,70,0,1,0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))+0.056151569913887235
16,L,comb,up,5,0,2.5,70,100,0,1,0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))+0.03476816661656077
17,L,comb,up,5,0,2.5,100,140,0,1,0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))+0.024813569479737407
18,L,comb,up,5,0,2.5,140,200,0,1,0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))+0.024209487090449743
19,L,comb,up,5,0,2.5,200,300,0,1,0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))+0.04588006282761995
20,L,comb,up,4,0,2.5,30,50,0,1,0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))+0.1801590438445077
21,L,comb,up,4,0,2.5,50,70,0,1,0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))+0.14037892478471808
22,L,comb,up,4,0,2.5,70,100,0,1,0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))+0.08692041654140192
23,L,comb,up,4,0,2.5,100,140,0,1,0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))+0.06203392369934352
24,L,comb,up,4,0,2.5,140,200,0,1,0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))+0.06052371772612436
25,L,comb,up,4,0,2.5,200,300,0,1,0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))+0.11470015706904987
26,M,comb,central,5,0,2.5,30,300,0,1,0.765008+0.00887292*log(x+19)*log(x+18)*(3-0.409594*log(x+18))
27,M,comb,central,4,0,2.5,30,300,0,1,0.765008+0.00887292*log(x+19)*log(x+18)*(3-0.409594*log(x+18))
28,M,comb,down,5,0,2.5,30,50,0,1,0.765008+0.00887292*log(x+19)*log(x+18)*(3-0.409594*log(x+18))-0.09082328458310547
29,M,comb,down,5,0,2.5,50,70,0,1,0.765008+0.00887292*log(x+19)*log(x+18)*(3-0.409594*log(x+18))-0.0673019122549074
30,M,comb,down,5,0,2.5,70,100,0,1,0.765008+0.00887292*log(x+19)*log(x+18)*(3-0.409594*log(x+18))-0.041639537312032404
31,M,comb,down,5,0,2.5,100,140,0,1,0.765008+0.00887292*log(x+19)*log(x+18)*(3-0.409594*log(x+18))-0.03110832596092238
32,M,comb,down,5,0,2.5,140,200,0,1,0.765008+0.00887292*log(x+19)*log(x+18)*(3-0.409594*log(x+18))-0.032323844257972294
33,M,comb,down,5,0,2.5,200,300,0,1,0.765008+0.00887292*log(x+19)*log(x+18)*(3-0.409594*log(x+18))-0.05091256829313056
34,M,comb,down,4,0,2.5,30,50,0,1,0.765008+0.00887292*log(x+19)*log(x+18)*(3-0.409594*log(x+18))-0.2724698537493164
35,M,comb,down,4,0,2.5,50,70,0,1,0.765008+0.00887292*log(x+19)*log(x+18)*(3-0.409594*log(x+18))-0.20190573676472223
