wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,comb,central,5,0,2.5,20,1000,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)"
L,comb,central,4,0,2.5,20,1000,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)"
L,comb,down,5,0,2.5,20,30,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.016749871222610915"
L,comb,down,5,0,2.5,30,50,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.018040451532135227"
L,comb,down,5,0,2.5,50,70,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.020667027213432568"
L,comb,down,5,0,2.5,70,100,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.010903954061260846"
L,comb,down,5,0,2.5,100,140,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.01903007129432823"
L,comb,down,5,0,2.5,140,200,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.021595746197975347"
L,comb,down,5,0,2.5,200,300,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.033442673763410535"
L,comb,down,5,0,2.5,300,600,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.05263864447206522"
L,comb,down,5,0,2.5,600,1000,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.06453983837484398"
L,comb,down,4,0,2.5,20,30,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.04187467805652729"
L,comb,down,4,0,2.5,30,50,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.045101128830338066"
L,comb,down,4,0,2.5,50,70,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.05166756803358142"
L,comb,down,4,0,2.5,70,100,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.027259885153152114"
L,comb,down,4,0,2.5,100,140,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.04757517823582058"
L,comb,down,4,0,2.5,140,200,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.053989365494938366"
L,comb,down,4,0,2.5,200,300,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.08360668440852634"
L,comb,down,4,0,2.5,300,600,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.13159661118016305"
L,comb,down,4,0,2.5,600,1000,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.16134959593710996"
L,comb,down_bfragmentation,5,0,2.5,20,30,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.0010968090934307456"
L,comb,down_bfragmentation,5,0,2.5,30,50,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.00036862050527568"
L,comb,down_bfragmentation,5,0,2.5,50,70,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.002621053721973455"
L,comb,down_bfragmentation,5,0,2.5,70,100,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.00031085929843684536"
L,comb,down_bfragmentation,5,0,2.5,100,140,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.00010197375753511685"
L,comb,down_bfragmentation,5,0,2.5,140,200,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.0008855405824985294"
L,comb,down_bfragmentation,5,0,2.5,200,300,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.0012303371160880872"
L,comb,down_bfragmentation,5,0,2.5,300,600,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.009032616235342766"
L,comb,down_bfragmentation,5,0,2.5,600,1000,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.004754488703504504"
L,comb,down_bfragmentation,4,0,2.5,20,30,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.002742022733576864"
L,comb,down_bfragmentation,4,0,2.5,30,50,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.0009215512631892001"
L,comb,down_bfragmentation,4,0,2.5,50,70,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.006552634304933637"
L,comb,down_bfragmentation,4,0,2.5,70,100,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.0007771482460921133"
L,comb,down_bfragmentation,4,0,2.5,100,140,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.00025493439383779214"
L,comb,down_bfragmentation,4,0,2.5,140,200,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.0022138514562463235"
L,comb,down_bfragmentation,4,0,2.5,200,300,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.003075842790220218"
L,comb,down_bfragmentation,4,0,2.5,300,600,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.022581540588356916"
L,comb,down_bfragmentation,4,0,2.5,600,1000,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.011886221758761261"
L,comb,down_cfragmentation,5,0,2.5,20,30,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.00010616886486442334"
L,comb,down_cfragmentation,5,0,2.5,30,50,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-9.836381822890384e-05"
L,comb,down_cfragmentation,5,0,2.5,50,70,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.0001547500358954797"
L,comb,down_cfragmentation,5,0,2.5,70,100,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-4.371688305147714e-06"
L,comb,down_cfragmentation,5,0,2.5,100,140,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-6.12350849335686e-06"
L,comb,down_cfragmentation,5,0,2.5,140,200,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-8.096555974418547e-05"
L,comb,down_cfragmentation,5,0,2.5,200,300,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.0003482917716699554"
L,comb,down_cfragmentation,5,0,2.5,300,600,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.0024434017339053826"
L,comb,down_cfragmentation,5,0,2.5,600,1000,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.0005133513230664204"
L,comb,down_cfragmentation,4,0,2.5,20,30,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.00026542216216105837"
L,comb,down_cfragmentation,4,0,2.5,30,50,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.0002459095455722596"
L,comb,down_cfragmentation,4,0,2.5,50,70,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.00038687508973869923"
L,comb,down_cfragmentation,4,0,2.5,70,100,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-1.0929220762869285e-05"
L,comb,down_cfragmentation,4,0,2.5,100,140,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-1.5308771233392152e-05"
L,comb,down_cfragmentation,4,0,2.5,140,200,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.00020241389936046368"
L,comb,down_cfragmentation,4,0,2.5,200,300,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.0008707294291748885"
L,comb,down_cfragmentation,4,0,2.5,300,600,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.006108504334763456"
L,comb,down_cfragmentation,4,0,2.5,600,1000,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.001283378307666051"
L,comb,down_colorreconnection,5,0,2.5,20,30,0,1,"1.32267+-0.133123*log(x)+0.012502*log(x)*log(x)-0.0006749646946273229"
