wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,kinfit,central,5,0,2.4,30,50,0,1,"1.1644797325134277"
L,kinfit,central,5,0,2.4,50,70,0,1,"1.0585460662841797"
L,kinfit,central,5,0,2.4,70,100,0,1,"1.0183593034744263"
L,kinfit,central,5,0,2.4,100,140,0,1,"0.9795351624488831"
L,kinfit,central,5,0,2.4,140,200,0,1,"0.9877619743347168"
L,kinfit,central,5,0,2.4,200,300,0,1,"1.003706693649292"
L,kinfit,central,5,0,2.4,300,600,0,1,"1.0951018333435059"
L,kinfit,down,5,0,2.4,30,50,0,1,"1.1603122437390805"
L,kinfit,down,5,0,2.4,50,70,0,1,"1.0488905588191018"
L,kinfit,down,5,0,2.4,70,100,0,1,"1.0152809097552387"
L,kinfit,down,5,0,2.4,100,140,0,1,"0.9754590620682684"
L,kinfit,down,5,0,2.4,140,200,0,1,"0.983874271703151"
L,kinfit,down,5,0,2.4,200,300,0,1,"0.983791911671104"
L,kinfit,down,5,0,2.4,300,600,0,1,"1.050182604312347"
L,kinfit,down_hdamp,5,0,2.4,30,50,0,1,"1.164478314836515"
L,kinfit,down_hdamp,5,0,2.4,50,70,0,1,"1.0585460659770973"
L,kinfit,down_hdamp,5,0,2.4,70,100,0,1,"1.0183585666813961"
L,kinfit,down_hdamp,5,0,2.4,100,140,0,1,"0.9795340984810172"
L,kinfit,down_hdamp,5,0,2.4,140,200,0,1,"0.9877619281379424"
L,kinfit,down_hdamp,5,0,2.4,200,300,0,1,"1.0037007819789778"
L,kinfit,down_hdamp,5,0,2.4,300,600,0,1,"1.0950741294611674"
L,kinfit,down_jer,5,0,2.4,30,50,0,1,"1.1644795976160225"
L,kinfit,down_jer,5,0,2.4,50,70,0,1,"1.0585460659707984"
L,kinfit,down_jer,5,0,2.4,70,100,0,1,"1.0183592856324104"
L,kinfit,down_jer,5,0,2.4,100,140,0,1,"0.9795351575272058"
L,kinfit,down_jer,5,0,2.4,140,200,0,1,"0.9877619651999359"
L,kinfit,down_jer,5,0,2.4,200,300,0,1,"1.0037066498795042"
L,kinfit,down_jer,5,0,2.4,300,600,0,1,"1.0950281601798793"
L,kinfit,down_jes,5,0,2.4,30,50,0,1,"1.1644728447645285"
L,kinfit,down_jes,5,0,2.4,50,70,0,1,"1.0585442372189249"
L,kinfit,down_jes,5,0,2.4,70,100,0,1,"1.0183582607336916"
L,kinfit,down_jes,5,0,2.4,100,140,0,1,"0.9795350204326843"
L,kinfit,down_jes,5,0,2.4,140,200,0,1,"0.98776174250564"
L,kinfit,down_jes,5,0,2.4,200,300,0,1,"1.0037066572922377"
L,kinfit,down_jes,5,0,2.4,300,600,0,1,"1.0950046764408938"
L,kinfit,down_topmass,5,0,2.4,30,50,0,1,"1.1644788160706092"
L,kinfit,down_topmass,5,0,2.4,50,70,0,1,"1.058545824477605"
L,kinfit,down_topmass,5,0,2.4,70,100,0,1,"1.0183590074609583"
L,kinfit,down_topmass,5,0,2.4,100,140,0,1,"0.9795346279697901"
L,kinfit,down_topmass,5,0,2.4,140,200,0,1,"0.9877617923807369"
L,kinfit,down_topmass,5,0,2.4,200,300,0,1,"1.0037064626230858"
L,kinfit,down_topmass,5,0,2.4,300,600,0,1,"1.0950211216321435"
L,kinfit,down_pileup,5,0,2.4,30,50,0,1,"1.164479389218613"
L,kinfit,down_pileup,5,0,2.4,50,70,0,1,"1.0585457882782379"
L,kinfit,down_pileup,5,0,2.4,70,100,0,1,"1.0183590689975404"
L,kinfit,down_pileup,5,0,2.4,100,140,0,1,"0.979535126375402"
L,kinfit,down_pileup,5,0,2.4,140,200,0,1,"0.9877617841797814"
L,kinfit,down_pileup,5,0,2.4,200,300,0,1,"1.0037063304471268"
L,kinfit,down_pileup,5,0,2.4,300,600,0,1,"1.095101833233457"
L,kinfit,down_statistic,5,0,2.4,30,50,0,1,"1.1618553067091852"
L,kinfit,down_statistic,5,0,2.4,50,70,0,1,"1.0490467799827456"
L,kinfit,down_statistic,5,0,2.4,70,100,0,1,"1.015767925651744"
L,kinfit,down_statistic,5,0,2.4,100,140,0,1,"0.9759646728634834"
L,kinfit,down_statistic,5,0,2.4,140,200,0,1,"0.9840039813425392"
L,kinfit,down_statistic,5,0,2.4,200,300,0,1,"0.9839861877262592"
L,kinfit,down_statistic,5,0,2.4,300,600,0,1,"1.0535839013755322"
L,kinfit,down_tune,5,0,2.4,30,50,0,1,"1.164478952222396"
L,kinfit,down_tune,5,0,2.4,50,70,0,1,"1.0585454233982432"
L,kinfit,down_tune,5,0,2.4,70,100,0,1,"1.0183588700716903"
L,kinfit,down_tune,5,0,2.4,100,140,0,1,"0.9795330777087656"
L,kinfit,down_tune,5,0,2.4,140,200,0,1,"0.987761641883842"
L,kinfit,down_tune,5,0,2.4,200,300,0,1,"1.0037055794874412"
L,kinfit,down_tune,5,0,2.4,300,600,0,1,"1.0950870806516377"
L,kinfit,up,5,0,2.4,30,50,0,1,"1.168647221287775"
L,kinfit,up,5,0,2.4,50,70,0,1,"1.0682015737492576"
L,kinfit,up,5,0,2.4,70,100,0,1,"1.0214376971936139"
L,kinfit,up,5,0,2.4,100,140,0,1,"0.9836112628294977"
L,kinfit,up,5,0,2.4,140,200,0,1,"0.9916496769662826"
L,kinfit,up,5,0,2.4,200,300,0,1,"1.02362147562748"
L,kinfit,up,5,0,2.4,300,600,0,1,"1.1400210623746647"
L,kinfit,up_hdamp,5,0,2.4,30,50,0,1,"1.1644811501903405"
L,kinfit,up_hdamp,5,0,2.4,50,70,0,1,"1.058546066591262"
L,kinfit,up_hdamp,5,0,2.4,70,100,0,1,"1.0183600402674564"
L,kinfit,up_hdamp,5,0,2.4,100,140,0,1,"0.9795362264167489"
L,kinfit,up_hdamp,5,0,2.4,140,200,0,1,"0.9877620205314912"
L,kinfit,up_hdamp,5,0,2.4,200,300,0,1,"1.0037126053196062"
L,kinfit,up_hdamp,5,0,2.4,300,600,0,1,"1.0951295372258443"
L,kinfit,up_jer,5,0,2.4,30,50,0,1,"1.164479867410833"
L,kinfit,up_jer,5,0,2.4,50,70,0,1,"1.058546066597561"
L,kinfit,up_jer,5,0,2.4,70,100,0,1,"1.0183593213164421"
L,kinfit,up_jer,5,0,2.4,100,140,0,1,"0.9795351673705603"
L,kinfit,up_jer,5,0,2.4,140,200,0,1,"0.9877619834694977"
L,kinfit,up_jer,5,0,2.4,200,300,0,1,"1.0037067374190798"
L,kinfit,up_jer,5,0,2.4,300,600,0,1,"1.0951755065071325"
L,kinfit,up_jes,5,0,2.4,30,50,0,1,"1.164486620262327"
L,kinfit,up_jes,5,0,2.4,50,70,0,1,"1.0585478953494345"
L,kinfit,up_jes,5,0,2.4,70,100,0,1,"1.018360346215161"
L,kinfit,up_jes,5,0,2.4,100,140,0,1,"0.9795353044650819"
L,kinfit,up_jes,5,0,2.4,140,200,0,1,"0.9877622061637936"
L,kinfit,up_jes,5,0,2.4,200,300,0,1,"1.0037067300063462"
L,kinfit,up_jes,5,0,2.4,300,600,0,1,"1.0951989902461179"
L,kinfit,up_topmass,5,0,2.4,30,50,0,1,"1.1644806489562463"
L,kinfit,up_topmass,5,0,2.4,50,70,0,1,"1.0585463080907545"
L,kinfit,up_topmass,5,0,2.4,70,100,0,1,"1.0183595994878942"
L,kinfit,up_topmass,5,0,2.4,100,140,0,1,"0.979535696927976"
L,kinfit,up_topmass,5,0,2.4,140,200,0,1,"0.9877621562886967"
L,kinfit,up_topmass,5,0,2.4,200,300,0,1,"1.0037069246754982"
L,kinfit,up_topmass,5,0,2.4,300,600,0,1,"1.0951825450548682"
L,kinfit,up_pileup,5,0,2.4,30,50,0,1,"1.1644800758082425"
L,kinfit,up_pileup,5,0,2.4,50,70,0,1,"1.0585463442901215"
L,kinfit,up_pileup,5,0,2.4,70,100,0,1,"1.0183595379513122"
L,kinfit,up_pileup,5,0,2.4,100,140,0,1,"0.9795351985223641"
L,kinfit,up_pileup,5,0,2.4,140,200,0,1,"0.9877621644896522"
L,kinfit,up_pileup,5,0,2.4,200,300,0,1,"1.0037070568514572"
L,kinfit,up_pileup,5,0,2.4,300,600,0,1,"1.0951018334535547"
L,kinfit,up_statistic,5,0,2.4,30,50,0,1,"1.1671041583176702"
L,kinfit,up_statistic,5,0,2.4,50,70,0,1,"1.0680453525856137"
L,kinfit,up_statistic,5,0,2.4,70,100,0,1,"1.0209506812971085"
L,kinfit,up_statistic,5,0,2.4,100,140,0,1,"0.9831056520342827"
L,kinfit,up_statistic,5,0,2.4,140,200,0,1,"0.9915199673268944"
L,kinfit,up_statistic,5,0,2.4,200,300,0,1,"1.0234271995723248"
