wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,ltsv,central,5,0,2.4,20.0,30.0,0,1,"1.0436944961547852"
L,ltsv,up,5,0,2.4,20.0,30.0,0,1,"1.326407663034325"
L,ltsv,down,5,0,2.4,20.0,30.0,0,1,"0.8126432017900111"
L,ltsv,up_jes,5,0,2.4,20.0,30.0,0,1,"1.2082962565711812"
L,ltsv,down_jes,5,0,2.4,20.0,30.0,0,1,"1.0145024061203003"
L,ltsv,up_gluonsplitting,5,0,2.4,20.0,30.0,0,1,"1.0508302450180054"
L,ltsv,down_gluonsplitting,5,0,2.4,20.0,30.0,0,1,"1.0329501628875732"
L,ltsv,up_bfragmentation,5,0,2.4,20.0,30.0,0,1,"1.0182291269302368"
L,ltsv,down_bfragmentation,5,0,2.4,20.0,30.0,0,1,"1.0532306432724"
L,ltsv,up_cfragmentation,5,0,2.4,20.0,30.0,0,1,"1.0437144041061401"
L,ltsv,down_cfragmentation,5,0,2.4,20.0,30.0,0,1,"1.0740694999694824"
L,ltsv,up_dmux,5,0,2.4,20.0,30.0,0,1,"1.0437144041061401"
L,ltsv,down_dmux,5,0,2.4,20.0,30.0,0,1,"1.0435854196548462"
L,ltsv,up_ksl,5,0,2.4,20.0,30.0,0,1,"1.0433965921401978"
L,ltsv,down_ksl,5,0,2.4,20.0,30.0,0,1,"1.0437144041061401"
L,ltsv,up_cb,5,0,2.4,20.0,30.0,0,1,"1.0502854129412886"
L,ltsv,down_cb,5,0,2.4,20.0,30.0,0,1,"1.0371035793682817"
L,ltsv,up_add,5,0,2.4,20.0,30.0,0,1,"1.0549539117274944"
L,ltsv,down_add,5,0,2.4,20.0,30.0,0,1,"1.032435080582076"
L,ltsv,up_statistic,5,0,2.4,20.0,30.0,0,1,"1.2707640122710904"
L,ltsv,down_statistic,5,0,2.4,20.0,30.0,0,1,"0.8166249800384799"
L,ltsv,central,5,0,2.4,30.0,50.0,0,1,"1.0063345432281494"
L,ltsv,up,5,0,2.4,30.0,50.0,0,1,"1.0918788424662478"
L,ltsv,down,5,0,2.4,30.0,50.0,0,1,"0.9220234958284795"
L,ltsv,up_jes,5,0,2.4,30.0,50.0,0,1,"1.02447670485332"
L,ltsv,down_jes,5,0,2.4,30.0,50.0,0,1,"0.9918449521064758"
L,ltsv,up_gluonsplitting,5,0,2.4,30.0,50.0,0,1,"1.0108622312545776"
L,ltsv,down_gluonsplitting,5,0,2.4,30.0,50.0,0,1,"1.0009198188781738"
L,ltsv,up_bfragmentation,5,0,2.4,30.0,50.0,0,1,"1.0183875560760498"
L,ltsv,down_bfragmentation,5,0,2.4,30.0,50.0,0,1,"0.9917947053909302"
L,ltsv,up_cfragmentation,5,0,2.4,30.0,50.0,0,1,"1.0063339471817017"
L,ltsv,down_cfragmentation,5,0,2.4,30.0,50.0,0,1,"1.019203543663025"
L,ltsv,up_dmux,5,0,2.4,30.0,50.0,0,1,"1.0063339471817017"
L,ltsv,down_dmux,5,0,2.4,30.0,50.0,0,1,"1.0057216882705688"
L,ltsv,up_ksl,5,0,2.4,30.0,50.0,0,1,"1.0063449144363403"
L,ltsv,down_ksl,5,0,2.4,30.0,50.0,0,1,"1.0063339471817017"
L,ltsv,up_cb,5,0,2.4,30.0,50.0,0,1,"1.006847246352367"
L,ltsv,down_cb,5,0,2.4,30.0,50.0,0,1,"1.0058218401039318"
L,ltsv,up_add,5,0,2.4,30.0,50.0,0,1,"1.0155309676830115"
L,ltsv,down_add,5,0,2.4,30.0,50.0,0,1,"0.9971381187732873"
L,ltsv,up_statistic,5,0,2.4,30.0,50.0,0,1,"1.0873572502210558"
L,ltsv,down_statistic,5,0,2.4,30.0,50.0,0,1,"0.925311836235243"
L,ltsv,central,5,0,2.4,50.0,70.0,0,1,"1.1623626947402954"
L,ltsv,up,5,0,2.4,50.0,70.0,0,1,"1.3175582578221927"
L,ltsv,down,5,0,2.4,50.0,70.0,0,1,"0.9914986296619172"
L,ltsv,up_jes,5,0,2.4,50.0,70.0,0,1,"1.1623626947402954"
L,ltsv,down_jes,5,0,2.4,50.0,70.0,0,1,"1.0861556439443725"
L,ltsv,up_gluonsplitting,5,0,2.4,50.0,70.0,0,1,"1.1626900434494019"
