,wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
38,L,mujets,central,5,0,2.5,20,1000,0,1,1.01928+4.27063e-07*log(x+19)*log(x+18)*(3-836.72*log(x+18))
39,L,mujets,central,4,0,2.5,20,1000,0,1,1.01928+4.27063e-07*log(x+19)*log(x+18)*(3-836.72*log(x+18))
40,L,mujets,down,5,0,2.5,20,30,0,1,1.01928+4.27063e-07*log(x+19)*log(x+18)*(3-836.72*log(x+18))-0.01686476133849779
41,L,mujets,down,5,0,2.5,30,50,0,1,1.01928+4.27063e-07*log(x+19)*log(x+18)*(3-836.72*log(x+18))-0.019116616525235736
42,L,mujets,down,5,0,2.5,50,70,0,1,1.01928+4.27063e-07*log(x+19)*log(x+18)*(3-836.72*log(x+18))-0.022630866100684186
43,L,mujets,down,5,0,2.5,70,100,0,1,1.01928+4.27063e-07*log(x+19)*log(x+18)*(3-836.72*log(x+18))-0.011810327953014722
44,L,mujets,down,5,0,2.5,100,140,0,1,1.01928+4.27063e-07*log(x+19)*log(x+18)*(3-836.72*log(x+18))-0.030338871371863776
45,L,mujets,down,5,0,2.5,140,200,0,1,1.01928+4.27063e-07*log(x+19)*log(x+18)*(3-836.72*log(x+18))-0.043497882429584564
46,L,mujets,down,5,0,2.5,200,300,0,1,1.01928+4.27063e-07*log(x+19)*log(x+18)*(3-836.72*log(x+18))-0.05018240255058205
47,L,mujets,down,5,0,2.5,300,600,0,1,1.01928+4.27063e-07*log(x+19)*log(x+18)*(3-836.72*log(x+18))-0.05045450717050063
48,L,mujets,down,5,0,2.5,600,1000,0,1,1.01928+4.27063e-07*log(x+19)*log(x+18)*(3-836.72*log(x+18))-0.05951689881418425
49,L,mujets,down,4,0,2.5,20,30,0,1,1.01928+4.27063e-07*log(x+19)*log(x+18)*(3-836.72*log(x+18))-0.04216190334624448
50,L,mujets,down,4,0,2.5,30,50,0,1,1.01928+4.27063e-07*log(x+19)*log(x+18)*(3-836.72*log(x+18))-0.04779154131308934
51,L,mujets,down,4,0,2.5,50,70,0,1,1.01928+4.27063e-07*log(x+19)*log(x+18)*(3-836.72*log(x+18))-0.056577165251710464
