wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,ptrel,central,5,0,2.5,20,30,0,1,"1.022468886295667"
L,ptrel,central,5,0,2.5,30,50,0,1,"0.9901401068287475"
L,ptrel,central,5,0,2.5,50,70,0,1,"0.9639879306240371"
L,ptrel,central,5,0,2.5,70,100,0,1,"0.9595811788254817"
L,ptrel,central,5,0,2.5,100,140,0,1,"0.9484620264080357"
L,ptrel,central,5,0,2.5,140,200,0,1,"0.9364833432682028"
L,ptrel,central,5,0,2.5,200,300,0,1,"0.9154721777154416"
L,ptrel,central,5,0,2.5,300,600,0,1,"0.9490577082057072"
L,ptrel,central,5,0,2.5,600,1000,0,1,"0.9205274261910766"
L,ptrel,central,5,0,2.5,1000,1400,0,1,"0.9913924566852867"
L,ptrel,down,5,0,2.5,20,30,0,1,"0.9761270571193337"
L,ptrel,down,5,0,2.5,30,50,0,1,"0.9556196231751056"
L,ptrel,down,5,0,2.5,50,70,0,1,"0.8862063912244513"
L,ptrel,down,5,0,2.5,70,100,0,1,"0.9367573172644665"
L,ptrel,down,5,0,2.5,100,140,0,1,"0.9069300479094673"
L,ptrel,down,5,0,2.5,140,200,0,1,"0.8831226890650609"
L,ptrel,down,5,0,2.5,200,300,0,1,"0.8514258420128117"
L,ptrel,down,5,0,2.5,300,600,0,1,"0.8075263663782212"
L,ptrel,down,5,0,2.5,600,1000,0,1,"0.8546751494266598"
L,ptrel,down,5,0,2.5,1000,1400,0,1,"0.9330323133429831"
L,ptrel,down_bfragmentation,5,0,2.5,20,30,0,1,"1.0207736665764076"
L,ptrel,down_bfragmentation,5,0,2.5,30,50,0,1,"0.9893068608836673"
L,ptrel,down_bfragmentation,5,0,2.5,50,70,0,1,"0.9157885340928352"
L,ptrel,down_bfragmentation,5,0,2.5,70,100,0,1,"0.9590925397683925"
L,ptrel,down_bfragmentation,5,0,2.5,100,140,0,1,"0.9491745420953559"
L,ptrel,down_bfragmentation,5,0,2.5,140,200,0,1,"0.9319744807531946"
L,ptrel,down_bfragmentation,5,0,2.5,200,300,0,1,"0.9160957509192925"
L,ptrel,down_bfragmentation,5,0,2.5,300,600,0,1,"0.946162668158252"
L,ptrel,down_bfragmentation,5,0,2.5,600,1000,0,1,"0.9217175195089857"
L,ptrel,down_bfragmentation,5,0,2.5,1000,1400,0,1,"0.9968210751518746"
L,ptrel,down_btempcorr,5,0,2.5,20,30,0,1,"1.0103788762061718"
L,ptrel,down_btempcorr,5,0,2.5,30,50,0,1,"0.9941347161449072"
L,ptrel,down_btempcorr,5,0,2.5,50,70,0,1,"0.9670226556516087"
L,ptrel,down_btempcorr,5,0,2.5,70,100,0,1,"0.9613279263033478"
L,ptrel,down_btempcorr,5,0,2.5,100,140,0,1,"0.9459518530698249"
L,ptrel,down_btempcorr,5,0,2.5,140,200,0,1,"0.9191654248703865"
L,ptrel,down_btempcorr,5,0,2.5,200,300,0,1,"0.8985441747035118"
L,ptrel,down_btempcorr,5,0,2.5,300,600,0,1,"0.8945718426638378"
L,ptrel,down_btempcorr,5,0,2.5,600,1000,0,1,"0.8961101595776031"
L,ptrel,down_btempcorr,5,0,2.5,1000,1400,0,1,"0.9627210294642281"
L,ptrel,down_gluonsplitting,5,0,2.5,20,30,0,1,"1.0227149884079831"
L,ptrel,down_gluonsplitting,5,0,2.5,30,50,0,1,"0.9895352629249623"
L,ptrel,down_gluonsplitting,5,0,2.5,50,70,0,1,"0.9514302612678458"
L,ptrel,down_gluonsplitting,5,0,2.5,70,100,0,1,"0.9606405241740825"
L,ptrel,down_gluonsplitting,5,0,2.5,100,140,0,1,"0.9460598680383816"
L,ptrel,down_gluonsplitting,5,0,2.5,140,200,0,1,"0.9280873096229368"
L,ptrel,down_gluonsplitting,5,0,2.5,200,300,0,1,"0.9132542643549568"
L,ptrel,down_gluonsplitting,5,0,2.5,300,600,0,1,"0.9249664626008773"
L,ptrel,down_gluonsplitting,5,0,2.5,600,1000,0,1,"0.8991713343991198"
L,ptrel,down_gluonsplitting,5,0,2.5,1000,1400,0,1,"1.0094903124452685"
L,ptrel,down_jes,5,0,2.5,20,30,0,1,"1.0261445299718295"
L,ptrel,down_jes,5,0,2.5,30,50,0,1,"0.9937087037384237"
L,ptrel,down_jes,5,0,2.5,50,70,0,1,"0.9628448982640095"
L,ptrel,down_jes,5,0,2.5,70,100,0,1,"0.9620840318552052"
L,ptrel,down_jes,5,0,2.5,100,140,0,1,"0.9496314649962436"
L,ptrel,down_jes,5,0,2.5,140,200,0,1,"0.9443996846835945"
L,ptrel,down_jes,5,0,2.5,200,300,0,1,"0.9163679106174345"
