wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,sys8,central,5,0,2.5,20.0,30.0,0,1,"1.01333"
L,sys8,down,5,0,2.5,20.0,30.0,0,1,"0.954985"
L,sys8,up,5,0,2.5,20.0,30.0,0,1,"1.07167"
L,sys8,down_statistic,5,0,2.5,20.0,30.0,0,1,"1.00065"
L,sys8,up_statistic,5,0,2.5,20.0,30.0,0,1,"1.02601"
L,sys8,up_jetaway,5,0,2.5,20.0,30.0,0,1,"1.05561"
L,sys8,down_jetaway,5,0,2.5,20.0,30.0,0,1,"0.971053"
L,sys8,up_mupt,5,0,2.5,20.0,30.0,0,1,"1.04839"
L,sys8,down_mupt,5,0,2.5,20.0,30.0,0,1,"0.97827"
L,sys8,up_ptrel,5,0,2.5,20.0,30.0,0,1,"1.02672"
L,sys8,down_ptrel,5,0,2.5,20.0,30.0,0,1,"0.99994"
L,sys8,up_gluonsplitting,5,0,2.5,20.0,30.0,0,1,"1.01304"
L,sys8,down_gluonsplitting,5,0,2.5,20.0,30.0,0,1,"1.01362"
L,sys8,up_bfragmentation,5,0,2.5,20.0,30.0,0,1,"1.01524"
L,sys8,down_bfragmentation,5,0,2.5,20.0,30.0,0,1,"1.01142"
L,sys8,up_mudr,5,0,2.5,20.0,30.0,0,1,"1.01396"
L,sys8,down_mudr,5,0,2.5,20.0,30.0,0,1,"1.0127"
L,sys8,up_pileup,5,0,2.5,20.0,30.0,0,1,"1.014"
L,sys8,down_pileup,5,0,2.5,20.0,30.0,0,1,"1.01266"
L,sys8,up_jes,5,0,2.5,20.0,30.0,0,1,"1.00682"
L,sys8,down_jes,5,0,2.5,20.0,30.0,0,1,"1.01984"
L,sys8,up_bdecay,5,0,2.5,20.0,30.0,0,1,"1.01405"
L,sys8,down_bdecay,5,0,2.5,20.0,30.0,0,1,"1.01261"
L,sys8,central,5,0,2.5,30.0,50.0,0,1,"0.994943"
L,sys8,down,5,0,2.5,30.0,50.0,0,1,"0.965038"
L,sys8,up,5,0,2.5,30.0,50.0,0,1,"1.02485"
L,sys8,down_statistic,5,0,2.5,30.0,50.0,0,1,"0.986842"
L,sys8,up_statistic,5,0,2.5,30.0,50.0,0,1,"1.00304"
L,sys8,up_jetaway,5,0,2.5,30.0,50.0,0,1,"0.969975"
L,sys8,down_jetaway,5,0,2.5,30.0,50.0,0,1,"1.01991"
L,sys8,up_mupt,5,0,2.5,30.0,50.0,0,1,"1.00299"
L,sys8,down_mupt,5,0,2.5,30.0,50.0,0,1,"0.986896"
L,sys8,up_ptrel,5,0,2.5,30.0,50.0,0,1,"1.00665"
L,sys8,down_ptrel,5,0,2.5,30.0,50.0,0,1,"0.98324"
L,sys8,up_gluonsplitting,5,0,2.5,30.0,50.0,0,1,"0.994752"
L,sys8,down_gluonsplitting,5,0,2.5,30.0,50.0,0,1,"0.995134"
L,sys8,up_bfragmentation,5,0,2.5,30.0,50.0,0,1,"0.995954"
L,sys8,down_bfragmentation,5,0,2.5,30.0,50.0,0,1,"0.993932"
L,sys8,up_mudr,5,0,2.5,30.0,50.0,0,1,"0.995506"
L,sys8,down_mudr,5,0,2.5,30.0,50.0,0,1,"0.99438"
L,sys8,up_pileup,5,0,2.5,30.0,50.0,0,1,"0.993531"
L,sys8,down_pileup,5,0,2.5,30.0,50.0,0,1,"0.996355"
L,sys8,up_jes,5,0,2.5,30.0,50.0,0,1,"0.994612"
L,sys8,down_jes,5,0,2.5,30.0,50.0,0,1,"0.995274"
L,sys8,up_bdecay,5,0,2.5,30.0,50.0,0,1,"0.995282"
L,sys8,down_bdecay,5,0,2.5,30.0,50.0,0,1,"0.994604"
L,sys8,central,5,0,2.5,50.0,70.0,0,1,"0.972662"
L,sys8,down,5,0,2.5,50.0,70.0,0,1,"0.94978"
L,sys8,up,5,0,2.5,50.0,70.0,0,1,"0.995544"
L,sys8,down_statistic,5,0,2.5,50.0,70.0,0,1,"0.959945"
L,sys8,up_statistic,5,0,2.5,50.0,70.0,0,1,"0.985379"
L,sys8,up_jetaway,5,0,2.5,50.0,70.0,0,1,"0.965409"
L,sys8,down_jetaway,5,0,2.5,50.0,70.0,0,1,"0.979915"
L,sys8,up_mupt,5,0,2.5,50.0,70.0,0,1,"0.977909"
