wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,tnp,central,5,0,2.4,30.0,50.0,0.0,1.0,"0.9690417156679594"
L,tnp,central,5,0,2.4,50.0,70.0,0.0,1.0,"1.0135342001554133"
L,tnp,central,5,0,2.4,70.0,100.0,0.0,1.0,"1.0053359431090603"
L,tnp,central,5,0,2.4,100.0,140.0,0.0,1.0,"0.9953351873205248"
L,tnp,central,5,0,2.4,140.0,200.0,0.0,1.0,"0.9870988039100133"
L,tnp,central,5,0,2.4,200.0,300.0,0.0,1.0,"0.9600578378393028"
L,tnp,down,5,0,2.4,30.0,50.0,0.0,1.0,"0.9690417156679594-0.07550711564462664"
L,tnp,down,5,0,2.4,50.0,70.0,0.0,1.0,"1.0135342001554133-0.058570313616879546"
L,tnp,down,5,0,2.4,70.0,100.0,0.0,1.0,"1.0053359431090603-0.035284200200200656"
L,tnp,down,5,0,2.4,100.0,140.0,0.0,1.0,"0.9953351873205248-0.025311492538853276"
L,tnp,down,5,0,2.4,140.0,200.0,0.0,1.0,"0.9870988039100133-0.025366544282345298"
L,tnp,down,5,0,2.4,200.0,300.0,0.0,1.0,"0.9600578378393028-0.0437309552601398"
L,tnp,up,5,0,2.4,30.0,50.0,0.0,1.0,"0.9690417156679594+0.07550711564462664"
L,tnp,up,5,0,2.4,50.0,70.0,0.0,1.0,"1.0135342001554133+0.058570313616879546"
L,tnp,up,5,0,2.4,70.0,100.0,0.0,1.0,"1.0053359431090603+0.035284200200200656"
L,tnp,up,5,0,2.4,100.0,140.0,0.0,1.0,"0.9953351873205248+0.025311492538853276"
L,tnp,up,5,0,2.4,140.0,200.0,0.0,1.0,"0.9870988039100133+0.025366544282345298"
L,tnp,up,5,0,2.4,200.0,300.0,0.0,1.0,"0.9600578378393028+0.0437309552601398"
L,tnp,down_statistic,5,0,2.4,30.0,50.0,0.0,1.0,"0.9690417156679594-0.06837037535119272"
L,tnp,down_statistic,5,0,2.4,50.0,70.0,0.0,1.0,"1.0135342001554133-0.053172424464228006"
L,tnp,down_statistic,5,0,2.4,70.0,100.0,0.0,1.0,"1.0053359431090603-0.03319334508542151"
L,tnp,down_statistic,5,0,2.4,100.0,140.0,0.0,1.0,"0.9953351873205248-0.024535987316926508"
L,tnp,down_statistic,5,0,2.4,140.0,200.0,0.0,1.0,"0.9870988039100133-0.02437581955743247"
L,tnp,down_statistic,5,0,2.4,200.0,300.0,0.0,1.0,"0.9600578378393028-0.04259072989667174"
L,tnp,up_statistic,5,0,2.4,30.0,50.0,0.0,1.0,"0.9690417156679594+0.06837037535119272"
L,tnp,up_statistic,5,0,2.4,50.0,70.0,0.0,1.0,"1.0135342001554133+0.053172424464228006"
L,tnp,up_statistic,5,0,2.4,70.0,100.0,0.0,1.0,"1.0053359431090603+0.03319334508542151"
L,tnp,up_statistic,5,0,2.4,100.0,140.0,0.0,1.0,"0.9953351873205248+0.024535987316926508"
L,tnp,up_statistic,5,0,2.4,140.0,200.0,0.0,1.0,"0.9870988039100133+0.02437581955743247"
L,tnp,up_statistic,5,0,2.4,200.0,300.0,0.0,1.0,"0.9600578378393028+0.04259072989667174"
L,tnp,down_bkg,5,0,2.4,30.0,50.0,0.0,1.0,"0.9690417156679594-0.01135680030701243"
L,tnp,down_bkg,5,0,2.4,50.0,70.0,0.0,1.0,"1.0135342001554133-0.004410652207299414"
L,tnp,down_bkg,5,0,2.4,70.0,100.0,0.0,1.0,"1.0053359431090603-0.0015476189315088609"
L,tnp,down_bkg,5,0,2.4,100.0,140.0,0.0,1.0,"0.9953351873205248-0.0006395246254912061"
L,tnp,down_bkg,5,0,2.4,140.0,200.0,0.0,1.0,"0.9870988039100133-0.0008509385957965522"
L,tnp,down_bkg,5,0,2.4,200.0,300.0,0.0,1.0,"0.9600578378393028-0.003128736614584351"
L,tnp,up_bkg,5,0,2.4,30.0,50.0,0.0,1.0,"0.9690417156679594+0.01135680030701243"
L,tnp,up_bkg,5,0,2.4,50.0,70.0,0.0,1.0,"1.0135342001554133+0.004410652207299414"
L,tnp,up_bkg,5,0,2.4,70.0,100.0,0.0,1.0,"1.0053359431090603+0.0015476189315088609"
L,tnp,up_bkg,5,0,2.4,100.0,140.0,0.0,1.0,"0.9953351873205248+0.0006395246254912061"
L,tnp,up_bkg,5,0,2.4,140.0,200.0,0.0,1.0,"0.9870988039100133+0.0008509385957965522"
L,tnp,up_bkg,5,0,2.4,200.0,300.0,0.0,1.0,"0.9600578378393028+0.003128736614584351"
L,tnp,down_jes,5,0,2.4,30.0,50.0,0.0,1.0,"0.9690417156679594-0.017467214611785877"
L,tnp,down_jes,5,0,2.4,50.0,70.0,0.0,1.0,"1.0135342001554133-0.011936162004097747"
L,tnp,down_jes,5,0,2.4,70.0,100.0,0.0,1.0,"1.0053359431090603-0.006901991262594654"
L,tnp,down_jes,5,0,2.4,100.0,140.0,0.0,1.0,"0.9953351873205248-0.003207442572789976"
L,tnp,down_jes,5,0,2.4,140.0,200.0,0.0,1.0,"0.9870988039100133-0.0028698162223983357"
