wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,comb,central,5,0,2.5,30,300,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))"
L,comb,central,4,0,2.5,30,300,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))"
L,comb,down,5,0,2.5,30,50,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.07206361753780308"
L,comb,down,5,0,2.5,50,70,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.056151569913887235"
L,comb,down,5,0,2.5,70,100,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.03476816661656077"
L,comb,down,5,0,2.5,100,140,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.024813569479737407"
L,comb,down,5,0,2.5,140,200,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.024209487090449743"
L,comb,down,5,0,2.5,200,300,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.04588006282761995"
L,comb,down,4,0,2.5,30,50,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.1801590438445077"
L,comb,down,4,0,2.5,50,70,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.14037892478471808"
L,comb,down,4,0,2.5,70,100,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.08692041654140192"
L,comb,down,4,0,2.5,100,140,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.06203392369934352"
L,comb,down,4,0,2.5,140,200,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.06052371772612436"
L,comb,down,4,0,2.5,200,300,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.11470015706904987"
L,comb,down_colorreconnection,5,0,2.5,30,50,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.006583432593268118"
L,comb,down_colorreconnection,5,0,2.5,50,70,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.012512986327362358"
L,comb,down_colorreconnection,5,0,2.5,70,100,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.004835621567663044"
L,comb,down_colorreconnection,5,0,2.5,100,140,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.0015234805971146904"
L,comb,down_colorreconnection,5,0,2.5,140,200,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.004688588953500211"
L,comb,down_colorreconnection,5,0,2.5,200,300,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.007214762599238723"
L,comb,down_colorreconnection,4,0,2.5,30,50,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.016458581483170295"
L,comb,down_colorreconnection,4,0,2.5,50,70,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.031282465818405894"
L,comb,down_colorreconnection,4,0,2.5,70,100,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.01208905391915761"
L,comb,down_colorreconnection,4,0,2.5,100,140,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.0038087014927867258"
L,comb,down_colorreconnection,4,0,2.5,140,200,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.011721472383750526"
L,comb,down_colorreconnection,4,0,2.5,200,300,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.01803690649809681"
L,comb,down_hdamp,5,0,2.5,30,50,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.0031963693766956934"
L,comb,down_hdamp,5,0,2.5,50,70,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.0030832830011618523"
L,comb,down_hdamp,5,0,2.5,70,100,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.001258390645105957"
L,comb,down_hdamp,5,0,2.5,100,140,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-4.099944921488386e-05"
