wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,comb,central,5,0,2.5,30,300,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))"
L,comb,central,4,0,2.5,30,300,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))"
L,comb,down,5,0,2.5,30,50,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.07206361753780308"
L,comb,down,5,0,2.5,50,70,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.056151569913887235"
L,comb,down,5,0,2.5,70,100,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.03476816661656077"
L,comb,down,5,0,2.5,100,140,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.024813569479737407"
L,comb,down,5,0,2.5,140,200,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.024209487090449743"
L,comb,down,5,0,2.5,200,300,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.04588006282761995"
L,comb,down,4,0,2.5,30,50,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.1801590438445077"
L,comb,down,4,0,2.5,50,70,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.14037892478471808"
L,comb,down,4,0,2.5,70,100,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.08692041654140192"
L,comb,down,4,0,2.5,100,140,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.06203392369934352"
L,comb,down,4,0,2.5,140,200,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.06052371772612436"
L,comb,down,4,0,2.5,200,300,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.11470015706904987"
L,comb,down_correlated,5,0,2.5,30,50,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.016522414458780388"
L,comb,down_correlated,5,0,2.5,50,70,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.015133781397016278"
L,comb,down_correlated,5,0,2.5,70,100,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.006096392118817908"
L,comb,down_correlated,5,0,2.5,100,140,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.00283480699148328"
L,comb,down_correlated,5,0,2.5,140,200,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.005870561196558939"
L,comb,down_correlated,5,0,2.5,200,300,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.01627269152521636"
L,comb,down_correlated,4,0,2.5,30,50,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.04130603614695097"
L,comb,down_correlated,4,0,2.5,50,70,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.03783445349254069"
L,comb,down_correlated,4,0,2.5,70,100,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.015240980297044768"
L,comb,down_correlated,4,0,2.5,100,140,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.0070870174787082"
L,comb,down_correlated,4,0,2.5,140,200,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.014676402991397348"
L,comb,down_correlated,4,0,2.5,200,300,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.0406817288130409"
L,comb,down_uncorrelated,5,0,2.5,30,50,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.07014395763775412"
L,comb,down_uncorrelated,5,0,2.5,50,70,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.054073722494585946"
L,comb,down_uncorrelated,5,0,2.5,70,100,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.03422951084971192"
L,comb,down_uncorrelated,5,0,2.5,100,140,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.02465110747302833"
L,comb,down_uncorrelated,5,0,2.5,140,200,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.023486927777385216"
