wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,comb,central,5,0,2.5,30,300,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))"
L,comb,central,4,0,2.5,30,300,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))"
L,comb,down,5,0,2.5,30,50,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.07206361753780308"
L,comb,down,5,0,2.5,50,70,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.056151569913887235"
L,comb,down,5,0,2.5,70,100,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.03476816661656077"
L,comb,down,5,0,2.5,100,140,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.024813569479737407"
L,comb,down,5,0,2.5,140,200,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.024209487090449743"
L,comb,down,5,0,2.5,200,300,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.04588006282761995"
L,comb,down,4,0,2.5,30,50,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.1801590438445077"
L,comb,down,4,0,2.5,50,70,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.14037892478471808"
L,comb,down,4,0,2.5,70,100,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.08692041654140192"
L,comb,down,4,0,2.5,100,140,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.06203392369934352"
L,comb,down,4,0,2.5,140,200,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.06052371772612436"
L,comb,down,4,0,2.5,200,300,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))-0.11470015706904987"
L,comb,up,5,0,2.5,30,50,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))+0.07206361753780308"
L,comb,up,5,0,2.5,50,70,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))+0.056151569913887235"
L,comb,up,5,0,2.5,70,100,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))+0.03476816661656077"
L,comb,up,5,0,2.5,100,140,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))+0.024813569479737407"
L,comb,up,5,0,2.5,140,200,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))+0.024209487090449743"
L,comb,up,5,0,2.5,200,300,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))+0.04588006282761995"
L,comb,up,4,0,2.5,30,50,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))+0.1801590438445077"
L,comb,up,4,0,2.5,50,70,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))+0.14037892478471808"
L,comb,up,4,0,2.5,70,100,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))+0.08692041654140192"
L,comb,up,4,0,2.5,100,140,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))+0.06203392369934352"
L,comb,up,4,0,2.5,140,200,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))+0.06052371772612436"
L,comb,up,4,0,2.5,200,300,0,1,"0.71849+0.0122432*log(x+19)*log(x+18)*(3-0.420314*log(x+18))+0.11470015706904987"
M,comb,central,5,0,2.5,30,300,0,1,"0.765008+0.00887292*log(x+19)*log(x+18)*(3-0.409594*log(x+18))"
M,comb,central,4,0,2.5,30,300,0,1,"0.765008+0.00887292*log(x+19)*log(x+18)*(3-0.409594*log(x+18))"
M,comb,down,5,0,2.5,30,50,0,1,"0.765008+0.00887292*log(x+19)*log(x+18)*(3-0.409594*log(x+18))-0.09082328458310547"
M,comb,down,5,0,2.5,50,70,0,1,"0.765008+0.00887292*log(x+19)*log(x+18)*(3-0.409594*log(x+18))-0.0673019122549074"
M,comb,down,5,0,2.5,70,100,0,1,"0.765008+0.00887292*log(x+19)*log(x+18)*(3-0.409594*log(x+18))-0.041639537312032404"
M,comb,down,5,0,2.5,100,140,0,1,"0.765008+0.00887292*log(x+19)*log(x+18)*(3-0.409594*log(x+18))-0.03110832596092238"
