wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,kinfit,central,5,0,2.4,30,50,0,1,"1.1591453552246094"
L,kinfit,central,5,0,2.4,50,70,0,1,"1.058160424232483"
L,kinfit,central,5,0,2.4,70,100,0,1,"1.0203579664230347"
L,kinfit,central,5,0,2.4,100,140,0,1,"0.9850122332572937"
L,kinfit,central,5,0,2.4,140,200,0,1,"0.9830609560012817"
L,kinfit,central,5,0,2.4,200,300,0,1,"0.9977648258209229"
L,kinfit,central,5,0,2.4,300,600,0,1,"1.0709718465805054"
L,kinfit,down,5,0,2.4,30,50,0,1,"1.154933142005037"
L,kinfit,down,5,0,2.4,50,70,0,1,"1.0486536481830055"
L,kinfit,down,5,0,2.4,70,100,0,1,"1.0115523101540957"
L,kinfit,down,5,0,2.4,100,140,0,1,"0.9816199416533467"
L,kinfit,down,5,0,2.4,140,200,0,1,"0.9778438200112727"
L,kinfit,down,5,0,2.4,200,300,0,1,"0.9852875655495695"
L,kinfit,down,5,0,2.4,300,600,0,1,"1.0561248520820878"
L,kinfit,down_hdamp,5,0,2.4,30,50,0,1,"1.1591437301999825"
L,kinfit,down_hdamp,5,0,2.4,50,70,0,1,"1.0581603112220819"
L,kinfit,down_hdamp,5,0,2.4,70,100,0,1,"1.0203574601050462"
L,kinfit,down_hdamp,5,0,2.4,100,140,0,1,"0.9850118403012651"
L,kinfit,down_hdamp,5,0,2.4,140,200,0,1,"0.98306083694089"
L,kinfit,down_hdamp,5,0,2.4,200,300,0,1,"0.9977601911423539"
L,kinfit,down_hdamp,5,0,2.4,300,600,0,1,"1.0709336484301524"
L,kinfit,down_jer,5,0,2.4,30,50,0,1,"1.1591453174214479"
L,kinfit,down_jer,5,0,2.4,50,70,0,1,"1.058160414525016"
L,kinfit,down_jer,5,0,2.4,70,100,0,1,"1.0203579283877389"
L,kinfit,down_jer,5,0,2.4,100,140,0,1,"0.9850122248316779"
L,kinfit,down_jer,5,0,2.4,140,200,0,1,"0.9830604571203452"
L,kinfit,down_jer,5,0,2.4,200,300,0,1,"0.9977648249380655"
L,kinfit,down_jer,5,0,2.4,300,600,0,1,"1.070937461898236"
L,kinfit,down_jes,5,0,2.4,30,50,0,1,"1.1591376081423128"
L,kinfit,down_jes,5,0,2.4,50,70,0,1,"1.0581589737218877"
L,kinfit,down_jes,5,0,2.4,70,100,0,1,"1.0203566571599048"
L,kinfit,down_jes,5,0,2.4,100,140,0,1,"0.9850120662385669"
