wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,ltsv,central,5,0,2.4,20.0,30.0,0,1,"1.1446373462677002"
L,ltsv,up,5,0,2.4,20.0,30.0,0,1,"1.4570030058704804"
L,ltsv,down,5,0,2.4,20.0,30.0,0,1,"0.8990260951055098"
L,ltsv,up_jes,5,0,2.4,20.0,30.0,0,1,"1.3398461569305418"
L,ltsv,down_jes,5,0,2.4,20.0,30.0,0,1,"1.1086022853851318"
L,ltsv,up_gluonsplitting,5,0,2.4,20.0,30.0,0,1,"1.1514941453933716"
L,ltsv,down_gluonsplitting,5,0,2.4,20.0,30.0,0,1,"1.1340210437774658"
L,ltsv,up_bfragmentation,5,0,2.4,20.0,30.0,0,1,"1.1187077760696411"
L,ltsv,down_bfragmentation,5,0,2.4,20.0,30.0,0,1,"1.1503417491912842"
L,ltsv,up_cfragmentation,5,0,2.4,20.0,30.0,0,1,"1.1446375846862793"
L,ltsv,down_cfragmentation,5,0,2.4,20.0,30.0,0,1,"1.178475260734558"
L,ltsv,up_dmux,5,0,2.4,20.0,30.0,0,1,"1.1446375846862793"
L,ltsv,down_dmux,5,0,2.4,20.0,30.0,0,1,"1.1449211835861206"
L,ltsv,up_ksl,5,0,2.4,20.0,30.0,0,1,"1.1442795991897583"
L,ltsv,down_ksl,5,0,2.4,20.0,30.0,0,1,"1.1446375846862793"
L,ltsv,up_cb,5,0,2.4,20.0,30.0,0,1,"1.1527626486403157"
L,ltsv,down_cb,5,0,2.4,20.0,30.0,0,1,"1.1365120438950846"
L,ltsv,up_add,5,0,2.4,20.0,30.0,0,1,"1.146086933306956"
L,ltsv,down_add,5,0,2.4,20.0,30.0,0,1,"1.1431877592284443"
L,ltsv,up_statistic,5,0,2.4,20.0,30.0,0,1,"1.385796719327171"
L,ltsv,down_statistic,5,0,2.4,20.0,30.0,0,1,"0.9034779732082295"
L,ltsv,central,5,0,2.4,30.0,50.0,0,1,"1.0098530054092407"
L,ltsv,up,5,0,2.4,30.0,50.0,0,1,"1.095507116836849"
L,ltsv,down,5,0,2.4,30.0,50.0,0,1,"0.925237075522667"
L,ltsv,up_jes,5,0,2.4,30.0,50.0,0,1,"1.0274296257681632"
L,ltsv,down_jes,5,0,2.4,30.0,50.0,0,1,"0.9950941205024719"
L,ltsv,up_gluonsplitting,5,0,2.4,30.0,50.0,0,1,"1.0147442817687988"
L,ltsv,down_gluonsplitting,5,0,2.4,30.0,50.0,0,1,"1.0039901733398438"
L,ltsv,up_bfragmentation,5,0,2.4,30.0,50.0,0,1,"1.0215240716934204"
L,ltsv,down_bfragmentation,5,0,2.4,30.0,50.0,0,1,"0.9960111379623413"
L,ltsv,up_cfragmentation,5,0,2.4,30.0,50.0,0,1,"1.0098525285720825"
L,ltsv,down_cfragmentation,5,0,2.4,30.0,50.0,0,1,"1.022181749343872"
L,ltsv,up_dmux,5,0,2.4,30.0,50.0,0,1,"1.0098525285720825"
L,ltsv,down_dmux,5,0,2.4,30.0,50.0,0,1,"1.0091402530670166"
L,ltsv,up_ksl,5,0,2.4,30.0,50.0,0,1,"1.0098642110824585"
L,ltsv,down_ksl,5,0,2.4,30.0,50.0,0,1,"1.0098525285720825"
L,ltsv,up_cb,5,0,2.4,30.0,50.0,0,1,"1.0127083641342924"
L,ltsv,down_cb,5,0,2.4,30.0,50.0,0,1,"1.0069976466841888"
L,ltsv,up_add,5,0,2.4,30.0,50.0,0,1,"1.0121153978112742"
L,ltsv,down_add,5,0,2.4,30.0,50.0,0,1,"1.0075906130072072"
L,ltsv,up_statistic,5,0,2.4,30.0,50.0,0,1,"1.0917141836322655"
L,ltsv,down_statistic,5,0,2.4,30.0,50.0,0,1,"0.927991827186216"
L,ltsv,central,5,0,2.4,50.0,70.0,0,1,"1.1604294776916504"
L,ltsv,up,5,0,2.4,50.0,70.0,0,1,"1.3132118274683218"
L,ltsv,down,5,0,2.4,50.0,70.0,0,1,"0.9926134026627655"
L,ltsv,up_jes,5,0,2.4,50.0,70.0,0,1,"1.1604294776916504"
L,ltsv,down_jes,5,0,2.4,50.0,70.0,0,1,"1.0862766581071324"
L,ltsv,up_gluonsplitting,5,0,2.4,50.0,70.0,0,1,"1.1605149507522583"
L,ltsv,down_gluonsplitting,5,0,2.4,50.0,70.0,0,1,"1.162498116493225"
L,ltsv,up_bfragmentation,5,0,2.4,50.0,70.0,0,1,"1.1940243244171143"
L,ltsv,down_bfragmentation,5,0,2.4,50.0,70.0,0,1,"1.1374783515930176"
L,ltsv,up_cfragmentation,5,0,2.4,50.0,70.0,0,1,"1.160428762435913"
L,ltsv,down_cfragmentation,5,0,2.4,50.0,70.0,0,1,"1.1698170900344849"
L,ltsv,up_dmux,5,0,2.4,50.0,70.0,0,1,"1.160428762435913"
L,ltsv,down_dmux,5,0,2.4,50.0,70.0,0,1,"1.1568009853363037"
L,ltsv,up_ksl,5,0,2.4,50.0,70.0,0,1,"1.1589276790618896"
L,ltsv,down_ksl,5,0,2.4,50.0,70.0,0,1,"1.160428762435913"
L,ltsv,up_cb,5,0,2.4,50.0,70.0,0,1,"1.1606361008207005"
L,ltsv,down_cb,5,0,2.4,50.0,70.0,0,1,"1.1602228545626"
L,ltsv,up_add,5,0,2.4,50.0,70.0,0,1,"1.193225693547539"
L,ltsv,down_add,5,0,2.4,50.0,70.0,0,1,"1.1276332618357618"
L,ltsv,up_statistic,5,0,2.4,50.0,70.0,0,1,"1.3055352955382724"
L,ltsv,down_statistic,5,0,2.4,50.0,70.0,0,1,"1.0153236598450284"
L,ltsv,central,5,0,2.4,70.0,100.0,0,1,"1.0056391954421997"
L,ltsv,up,5,0,2.4,70.0,100.0,0,1,"1.097781058223333"
L,ltsv,down,5,0,2.4,70.0,100.0,0,1,"0.9337734413719815"
L,ltsv,up_jes,5,0,2.4,70.0,100.0,0,1,"1.0583086238941488"
L,ltsv,down_jes,5,0,2.4,70.0,100.0,0,1,"1.0050028562545776"
L,ltsv,up_gluonsplitting,5,0,2.4,70.0,100.0,0,1,"1.0150713920593262"
L,ltsv,down_gluonsplitting,5,0,2.4,70.0,100.0,0,1,"0.9938564300537109"
L,ltsv,up_bfragmentation,5,0,2.4,70.0,100.0,0,1,"1.0330876111984253"
L,ltsv,down_bfragmentation,5,0,2.4,70.0,100.0,0,1,"0.9876081943511963"
L,ltsv,up_cfragmentation,5,0,2.4,70.0,100.0,0,1,"1.0056383609771729"
L,ltsv,down_cfragmentation,5,0,2.4,70.0,100.0,0,1,"1.0188453197479248"
L,ltsv,up_dmux,5,0,2.4,70.0,100.0,0,1,"1.0056383609771729"
L,ltsv,down_dmux,5,0,2.4,70.0,100.0,0,1,"1.004604697227478"
L,ltsv,up_ksl,5,0,2.4,70.0,100.0,0,1,"1.005737543106079"
L,ltsv,down_ksl,5,0,2.4,70.0,100.0,0,1,"1.0056383609771729"
L,ltsv,up_cb,5,0,2.4,70.0,100.0,0,1,"1.007203332311467"
L,ltsv,down_cb,5,0,2.4,70.0,100.0,0,1,"1.004075058572932"
L,ltsv,up_add,5,0,2.4,70.0,100.0,0,1,"1.0151478877053706"
L,ltsv,down_add,5,0,2.4,70.0,100.0,0,1,"0.9961305031790288"
L,ltsv,up_statistic,5,0,2.4,70.0,100.0,0,1,"1.0734183579181833"
L,ltsv,down_statistic,5,0,2.4,70.0,100.0,0,1,"0.937860032966216"
L,ltsv,central,5,0,2.4,100.0,140.0,0,1,"1.0583922863006592"
L,ltsv,up,5,0,2.4,100.0,140.0,0,1,"1.1259133783807607"
L,ltsv,down,5,0,2.4,100.0,140.0,0,1,"0.989910113265289"
L,ltsv,up_jes,5,0,2.4,100.0,140.0,0,1,"1.0673187966219764"
L,ltsv,down_jes,5,0,2.4,100.0,140.0,0,1,"1.048526952052217"
L,ltsv,up_gluonsplitting,5,0,2.4,100.0,140.0,0,1,"1.0684642791748047"
L,ltsv,down_gluonsplitting,5,0,2.4,100.0,140.0,0,1,"1.0463802814483643"
L,ltsv,up_bfragmentation,5,0,2.4,100.0,140.0,0,1,"1.0811679363250732"
L,ltsv,down_bfragmentation,5,0,2.4,100.0,140.0,0,1,"1.034649133682251"
L,ltsv,up_cfragmentation,5,0,2.4,100.0,140.0,0,1,"1.0583990812301636"
L,ltsv,down_cfragmentation,5,0,2.4,100.0,140.0,0,1,"1.0588005781173706"
L,ltsv,up_dmux,5,0,2.4,100.0,140.0,0,1,"1.0583990812301636"
L,ltsv,down_dmux,5,0,2.4,100.0,140.0,0,1,"1.0533583164215088"
L,ltsv,up_ksl,5,0,2.4,100.0,140.0,0,1,"1.0581834316253662"
L,ltsv,down_ksl,5,0,2.4,100.0,140.0,0,1,"1.0583990812301636"
L,ltsv,up_cb,5,0,2.4,100.0,140.0,0,1,"1.061482187219065"
L,ltsv,down_cb,5,0,2.4,100.0,140.0,0,1,"1.0553023853822536"
L,ltsv,up_add,5,0,2.4,100.0,140.0,0,1,"1.0655955126712657"
L,ltsv,down_add,5,0,2.4,100.0,140.0,0,1,"1.0511890599300526"
L,ltsv,up_statistic,5,0,2.4,100.0,140.0,0,1,"1.1198443621488308"
L,ltsv,down_statistic,5,0,2.4,100.0,140.0,0,1,"0.9969402104524875"
L,ltsv,central,5,0,2.4,140.0,200.0,0,1,"1.0181381702423096"
L,ltsv,up,5,0,2.4,140.0,200.0,0,1,"1.105042422374151"
L,ltsv,down,5,0,2.4,140.0,200.0,0,1,"0.9273364505314943"
L,ltsv,up_jes,5,0,2.4,140.0,200.0,0,1,"1.037129739728855"
L,ltsv,down_jes,5,0,2.4,140.0,200.0,0,1,"0.9917954442080573"
L,ltsv,up_gluonsplitting,5,0,2.4,140.0,200.0,0,1,"1.0288904905319214"
L,ltsv,down_gluonsplitting,5,0,2.4,140.0,200.0,0,1,"1.0041675567626953"
L,ltsv,up_bfragmentation,5,0,2.4,140.0,200.0,0,1,"1.036961555480957"
L,ltsv,down_bfragmentation,5,0,2.4,140.0,200.0,0,1,"0.9930819272994995"
L,ltsv,up_cfragmentation,5,0,2.4,140.0,200.0,0,1,"1.0181421041488647"
L,ltsv,down_cfragmentation,5,0,2.4,140.0,200.0,0,1,"1.0200622081756592"
L,ltsv,up_dmux,5,0,2.4,140.0,200.0,0,1,"1.0181421041488647"
L,ltsv,down_dmux,5,0,2.4,140.0,200.0,0,1,"1.0149785280227661"
L,ltsv,up_ksl,5,0,2.4,140.0,200.0,0,1,"1.0181026458740234"
L,ltsv,down_ksl,5,0,2.4,140.0,200.0,0,1,"1.0181421041488647"
L,ltsv,up_cb,5,0,2.4,140.0,200.0,0,1,"1.025374413883955"
L,ltsv,down_cb,5,0,2.4,140.0,200.0,0,1,"1.0109019266006642"
L,ltsv,up_add,5,0,2.4,140.0,200.0,0,1,"1.0270665084269437"
L,ltsv,down_add,5,0,2.4,140.0,200.0,0,1,"1.0092098320576754"
L,ltsv,up_statistic,5,0,2.4,140.0,200.0,0,1,"1.099263808480708"
L,ltsv,down_statistic,5,0,2.4,140.0,200.0,0,1,"0.937012532003911"
L,ltsv,central,5,0,2.4,200.0,300.0,0,1,"0.9423290491104126"
L,ltsv,up,5,0,2.4,200.0,300.0,0,1,"1.0156938208798398"
L,ltsv,down,5,0,2.4,200.0,300.0,0,1,"0.8665594647736222"
L,ltsv,up_jes,5,0,2.4,200.0,300.0,0,1,"0.9485093951225281"
L,ltsv,down_jes,5,0,2.4,200.0,300.0,0,1,"0.9292903294117347"
L,ltsv,up_gluonsplitting,5,0,2.4,200.0,300.0,0,1,"0.9543101787567139"
L,ltsv,down_gluonsplitting,5,0,2.4,200.0,300.0,0,1,"0.9253127574920654"
L,ltsv,up_bfragmentation,5,0,2.4,200.0,300.0,0,1,"0.955959141254425"
L,ltsv,down_bfragmentation,5,0,2.4,200.0,300.0,0,1,"0.9280579090118408"
L,ltsv,up_cfragmentation,5,0,2.4,200.0,300.0,0,1,"0.9423263669013977"
L,ltsv,down_cfragmentation,5,0,2.4,200.0,300.0,0,1,"0.9389389753341675"
L,ltsv,up_dmux,5,0,2.4,200.0,300.0,0,1,"0.9423263669013977"
L,ltsv,down_dmux,5,0,2.4,200.0,300.0,0,1,"0.9351580142974854"
L,ltsv,up_ksl,5,0,2.4,200.0,300.0,0,1,"0.9421892762184143"
L,ltsv,down_ksl,5,0,2.4,200.0,300.0,0,1,"0.9423263669013977"
L,ltsv,up_cb,5,0,2.4,200.0,300.0,0,1,"0.9462917580415982"
L,ltsv,down_cb,5,0,2.4,200.0,300.0,0,1,"0.938366340179227"
L,ltsv,up_add,5,0,2.4,200.0,300.0,0,1,"0.9525653834358497"
L,ltsv,down_add,5,0,2.4,200.0,300.0,0,1,"0.9320927147849755"
L,ltsv,up_statistic,5,0,2.4,200.0,300.0,0,1,"1.0122061885638645"
L,ltsv,down_statistic,5,0,2.4,200.0,300.0,0,1,"0.8724519096569606"
L,ltsv,central,5,0,2.4,300.0,600.0,0,1,"1.0528353452682495"
L,ltsv,up,5,0,2.4,300.0,600.0,0,1,"1.1101511916863647"
L,ltsv,down,5,0,2.4,300.0,600.0,0,1,"0.9882037209146479"
L,ltsv,up_jes,5,0,2.4,300.0,600.0,0,1,"1.0576688576161037"
L,ltsv,down_jes,5,0,2.4,300.0,600.0,0,1,"1.0409530114502896"
L,ltsv,up_gluonsplitting,5,0,2.4,300.0,600.0,0,1,"1.0850778818130493"
L,ltsv,down_gluonsplitting,5,0,2.4,300.0,600.0,0,1,"1.0093986988067627"
