wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,ptrel,central,5,0,2.5,20,30,0,1,"0.9978508358568259"
L,ptrel,central,5,0,2.5,30,50,0,1,"1.0036095807324639"
L,ptrel,central,5,0,2.5,50,70,0,1,"1.0014085954095462"
L,ptrel,central,5,0,2.5,70,100,0,1,"1.0052694369455197"
L,ptrel,central,5,0,2.5,100,140,0,1,"0.9644596627819005"
L,ptrel,central,5,0,2.5,140,200,0,1,"1.0055880494869456"
L,ptrel,central,5,0,2.5,200,300,0,1,"1.0060978167021837"
L,ptrel,central,5,0,2.5,300,600,0,1,"1.0078175746995057"
L,ptrel,central,5,0,2.5,600,1000,0,1,"0.8472448147585808"
L,ptrel,central,5,0,2.5,1000,1400,0,1,"0.7167536907283739"
L,ptrel,down,5,0,2.5,20,30,0,1,"0.8400735202040985"
L,ptrel,down,5,0,2.5,30,50,0,1,"1.002338596227987"
L,ptrel,down,5,0,2.5,50,70,0,1,"0.9112020839460921"
L,ptrel,down,5,0,2.5,70,100,0,1,"0.9222146381499058"
L,ptrel,down,5,0,2.5,100,140,0,1,"0.806252870187832"
L,ptrel,down,5,0,2.5,140,200,0,1,"1.0026544619144466"
L,ptrel,down,5,0,2.5,200,300,0,1,"0.9778988373359784"
L,ptrel,down,5,0,2.5,300,600,0,1,"1.0049131442509818"
L,ptrel,down,5,0,2.5,600,1000,0,1,"0.5871639667623523"
L,ptrel,down,5,0,2.5,1000,1400,0,1,"0.5730756329979955"
L,ptrel,down_bfragmentation,5,0,2.5,20,30,0,1,"0.9479582940639846"
L,ptrel,down_bfragmentation,5,0,2.5,30,50,0,1,"1.00358049500941"
L,ptrel,down_bfragmentation,5,0,2.5,50,70,0,1,"0.9978616161735625"
L,ptrel,down_bfragmentation,5,0,2.5,70,100,0,1,"0.9878391900413044"
L,ptrel,down_bfragmentation,5,0,2.5,100,140,0,1,"0.9162366796428055"
L,ptrel,down_bfragmentation,5,0,2.5,140,200,0,1,"1.0053676876474595"
L,ptrel,down_bfragmentation,5,0,2.5,200,300,0,1,"1.0058959504767784"
L,ptrel,down_bfragmentation,5,0,2.5,300,600,0,1,"1.0073455441880894"
L,ptrel,down_bfragmentation,5,0,2.5,600,1000,0,1,"0.8048825740206518"
L,ptrel,down_bfragmentation,5,0,2.5,1000,1400,0,1,"0.7222389966805386"
L,ptrel,down_btempcorr,5,0,2.5,20,30,0,1,"0.9479582940639846"
L,ptrel,down_btempcorr,5,0,2.5,30,50,0,1,"1.003593761657103"
L,ptrel,down_btempcorr,5,0,2.5,50,70,0,1,"0.9975645802248994"
L,ptrel,down_btempcorr,5,0,2.5,70,100,0,1,"1.0056466839030036"
L,ptrel,down_btempcorr,5,0,2.5,100,140,0,1,"0.9427514029525582"
L,ptrel,down_btempcorr,5,0,2.5,140,200,0,1,"1.005449350984136"
L,ptrel,down_btempcorr,5,0,2.5,200,300,0,1,"1.0058571770710674"
L,ptrel,down_btempcorr,5,0,2.5,300,600,0,1,"1.0074094825227575"
L,ptrel,down_btempcorr,5,0,2.5,600,1000,0,1,"0.8048825740206518"
L,ptrel,down_btempcorr,5,0,2.5,1000,1400,0,1,"0.6809160061919552"
L,ptrel,down_gluonsplitting,5,0,2.5,20,30,0,1,"0.9479582940639846"
L,ptrel,down_gluonsplitting,5,0,2.5,30,50,0,1,"1.0036355023978598"
L,ptrel,down_gluonsplitting,5,0,2.5,50,70,0,1,"1.000946140218351"
L,ptrel,down_gluonsplitting,5,0,2.5,70,100,0,1,"1.0053177724679374"
L,ptrel,down_gluonsplitting,5,0,2.5,100,140,0,1,"0.9162366796428055"
L,ptrel,down_gluonsplitting,5,0,2.5,140,200,0,1,"1.005785645030791"
L,ptrel,down_gluonsplitting,5,0,2.5,200,300,0,1,"1.0064459803072707"
L,ptrel,down_gluonsplitting,5,0,2.5,300,600,0,1,"1.0083695018833696"
L,ptrel,down_gluonsplitting,5,0,2.5,600,1000,0,1,"0.8048825740206518"
L,ptrel,down_gluonsplitting,5,0,2.5,1000,1400,0,1,"0.721810239176979"
L,ptrel,down_jes,5,0,2.5,20,30,0,1,"0.9978508358568259"
L,ptrel,down_jes,5,0,2.5,30,50,0,1,"1.003693600407579"
L,ptrel,down_jes,5,0,2.5,50,70,0,1,"0.9981346747103186"
L,ptrel,down_jes,5,0,2.5,70,100,0,1,"1.004296648657511"
L,ptrel,down_jes,5,0,2.5,100,140,0,1,"0.9497970412261473"
L,ptrel,down_jes,5,0,2.5,140,200,0,1,"1.0054903100093064"
L,ptrel,down_jes,5,0,2.5,200,300,0,1,"1.0062323866258462"
L,ptrel,down_jes,5,0,2.5,300,600,0,1,"1.0077616865614392"
L,ptrel,down_jes,5,0,2.5,600,1000,0,1,"0.8048825740206518"
L,ptrel,down_jes,5,0,2.5,1000,1400,0,1,"0.7303953512577839"
L,ptrel,down_jetaway,5,0,2.5,20,30,0,1,"0.9479582940639846"
L,ptrel,down_jetaway,5,0,2.5,30,50,0,1,"1.00371500951068"
L,ptrel,down_jetaway,5,0,2.5,50,70,0,1,"0.9921643947556781"
L,ptrel,down_jetaway,5,0,2.5,70,100,0,1,"1.02572722552983"
L,ptrel,down_jetaway,5,0,2.5,100,140,0,1,"1.0056478028234785"
L,ptrel,down_jetaway,5,0,2.5,140,200,0,1,"1.0084134926274704"
L,ptrel,down_jetaway,5,0,2.5,200,300,0,1,"1.006637209822713"
L,ptrel,down_jetaway,5,0,2.5,300,600,0,1,"1.0103419964081053"
L,ptrel,down_jetaway,5,0,2.5,600,1000,0,1,"0.6870104178254244"
L,ptrel,down_jetaway,5,0,2.5,1000,1400,0,1,"0.6809160061919552"
L,ptrel,down_l2c,5,0,2.5,20,30,0,1,"0.9479582940639846"
L,ptrel,down_l2c,5,0,2.5,30,50,0,1,"1.0036098005006402"
L,ptrel,down_l2c,5,0,2.5,50,70,0,1,"0.9999751178141604"
L,ptrel,down_l2c,5,0,2.5,70,100,0,1,"1.011776290752889"
L,ptrel,down_l2c,5,0,2.5,100,140,0,1,"0.9162366796428055"
L,ptrel,down_l2c,5,0,2.5,140,200,0,1,"1.0055881642663311"
L,ptrel,down_l2c,5,0,2.5,200,300,0,1,"1.0060976257569472"
L,ptrel,down_l2c,5,0,2.5,300,600,0,1,"1.0078183028294707"
L,ptrel,down_l2c,5,0,2.5,600,1000,0,1,"0.8048825740206518"
L,ptrel,down_l2c,5,0,2.5,1000,1400,0,1,"0.7134157141934379"
L,ptrel,down_ltempcorr,5,0,2.5,20,30,0,1,"0.9479582940639846"
L,ptrel,down_ltempcorr,5,0,2.5,30,50,0,1,"1.0036091047950246"
L,ptrel,down_ltempcorr,5,0,2.5,50,70,0,1,"0.9976856973495596"
L,ptrel,down_ltempcorr,5,0,2.5,70,100,0,1,"1.0052475147230764"
L,ptrel,down_ltempcorr,5,0,2.5,100,140,0,1,"1.044631754427296"
L,ptrel,down_ltempcorr,5,0,2.5,140,200,0,1,"1.0055877485253275"
L,ptrel,down_ltempcorr,5,0,2.5,200,300,0,1,"1.0060972810243167"
L,ptrel,down_ltempcorr,5,0,2.5,300,600,0,1,"1.0078178893591616"
L,ptrel,down_ltempcorr,5,0,2.5,600,1000,0,1,"0.8048825740206518"
L,ptrel,down_ltempcorr,5,0,2.5,1000,1400,0,1,"0.6909293808109133"
L,ptrel,down_mudr,5,0,2.5,20,30,0,1,"0.9479582940639846"
L,ptrel,down_mudr,5,0,2.5,30,50,0,1,"1.0041380422021897"
L,ptrel,down_mudr,5,0,2.5,50,70,0,1,"0.9313204266144907"
L,ptrel,down_mudr,5,0,2.5,70,100,0,1,"0.9611870122181738"
L,ptrel,down_mudr,5,0,2.5,100,140,0,1,"0.9338331890958839"
L,ptrel,down_mudr,5,0,2.5,140,200,0,1,"1.0056930870880434"
L,ptrel,down_mudr,5,0,2.5,200,300,0,1,"1.0342636309697073"
L,ptrel,down_mudr,5,0,2.5,300,600,0,1,"1.0079797505023476"
L,ptrel,down_mudr,5,0,2.5,600,1000,0,1,"0.8048825740206518"
L,ptrel,down_mudr,5,0,2.5,1000,1400,0,1,"0.6536905436641199"
L,ptrel,down_mupt,5,0,2.5,20,30,0,1,"0.9479582940639846"
L,ptrel,down_mupt,5,0,2.5,30,50,0,1,"1.0047144682984568"
L,ptrel,down_mupt,5,0,2.5,50,70,0,1,"0.9869777725759568"
L,ptrel,down_mupt,5,0,2.5,70,100,0,1,"0.942357987668117"
L,ptrel,down_mupt,5,0,2.5,100,140,0,1,"0.9162366796428055"
L,ptrel,down_mupt,5,0,2.5,140,200,0,1,"1.0062316837157461"
L,ptrel,down_mupt,5,0,2.5,200,300,0,1,"1.007199439659029"
L,ptrel,down_mupt,5,0,2.5,300,600,0,1,"1.0089148064687141"
L,ptrel,down_mupt,5,0,2.5,600,1000,0,1,"0.8048825740206518"
L,ptrel,down_mupt,5,0,2.5,1000,1400,0,1,"0.8127353600571465"
L,ptrel,down_pileup,5,0,2.5,20,30,0,1,"0.9479582940639846"
L,ptrel,down_pileup,5,0,2.5,30,50,0,1,"1.003625320113855"
L,ptrel,down_pileup,5,0,2.5,50,70,0,1,"0.9477810343704955"
L,ptrel,down_pileup,5,0,2.5,70,100,0,1,"0.9900771234025287"
