wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
T,sys8,central,5,0,2.5,20.0,30.0,0,1,"1.00038"
T,sys8,down,5,0,2.5,20.0,30.0,0,1,"0.90083"
T,sys8,up,5,0,2.5,20.0,30.0,0,1,"1.09993"
T,sys8,down_statistic,5,0,2.5,20.0,30.0,0,1,"0.981561"
T,sys8,up_statistic,5,0,2.5,20.0,30.0,0,1,"1.0192"
T,sys8,up_jetaway,5,0,2.5,20.0,30.0,0,1,"1.07641"
T,sys8,down_jetaway,5,0,2.5,20.0,30.0,0,1,"0.924352"
T,sys8,up_mupt,5,0,2.5,20.0,30.0,0,1,"0.974506"
T,sys8,down_mupt,5,0,2.5,20.0,30.0,0,1,"1.02625"
T,sys8,up_ptrel,5,0,2.5,20.0,30.0,0,1,"1.05154"
T,sys8,down_ptrel,5,0,2.5,20.0,30.0,0,1,"0.94922"
T,sys8,up_gluonsplitting,5,0,2.5,20.0,30.0,0,1,"0.99878"
T,sys8,down_gluonsplitting,5,0,2.5,20.0,30.0,0,1,"1.00198"
T,sys8,up_bfragmentation,5,0,2.5,20.0,30.0,0,1,"1.00288"
T,sys8,down_bfragmentation,5,0,2.5,20.0,30.0,0,1,"0.997884"
T,sys8,up_mudr,5,0,2.5,20.0,30.0,0,1,"1.00112"
T,sys8,down_mudr,5,0,2.5,20.0,30.0,0,1,"0.999643"
T,sys8,up_pileup,5,0,2.5,20.0,30.0,0,1,"1.00223"
T,sys8,down_pileup,5,0,2.5,20.0,30.0,0,1,"0.99853"
T,sys8,up_jes,5,0,2.5,20.0,30.0,0,1,"0.978559"
T,sys8,down_jes,5,0,2.5,20.0,30.0,0,1,"1.0222"
T,sys8,up_bdecay,5,0,2.5,20.0,30.0,0,1,"1.00054"
T,sys8,down_bdecay,5,0,2.5,20.0,30.0,0,1,"1.00022"
T,sys8,central,5,0,2.5,30.0,50.0,0,1,"1.00891"
T,sys8,down,5,0,2.5,30.0,50.0,0,1,"0.941806"
T,sys8,up,5,0,2.5,30.0,50.0,0,1,"1.07601"
T,sys8,down_statistic,5,0,2.5,30.0,50.0,0,1,"0.998207"
T,sys8,up_statistic,5,0,2.5,30.0,50.0,0,1,"1.01961"
T,sys8,up_jetaway,5,0,2.5,30.0,50.0,0,1,"0.994392"
T,sys8,down_jetaway,5,0,2.5,30.0,50.0,0,1,"1.02343"
T,sys8,up_mupt,5,0,2.5,30.0,50.0,0,1,"0.948786"
T,sys8,down_mupt,5,0,2.5,30.0,50.0,0,1,"1.06903"
T,sys8,up_ptrel,5,0,2.5,30.0,50.0,0,1,"0.985689"
T,sys8,down_ptrel,5,0,2.5,30.0,50.0,0,1,"1.03213"
T,sys8,up_gluonsplitting,5,0,2.5,30.0,50.0,0,1,"1.00981"
T,sys8,down_gluonsplitting,5,0,2.5,30.0,50.0,0,1,"1.00801"
T,sys8,up_bfragmentation,5,0,2.5,30.0,50.0,0,1,"1.01267"
T,sys8,down_bfragmentation,5,0,2.5,30.0,50.0,0,1,"1.00515"
T,sys8,up_mudr,5,0,2.5,30.0,50.0,0,1,"1.0079"
T,sys8,down_mudr,5,0,2.5,30.0,50.0,0,1,"1.00992"
T,sys8,up_pileup,5,0,2.5,30.0,50.0,0,1,"1.008"
T,sys8,down_pileup,5,0,2.5,30.0,50.0,0,1,"1.00982"
T,sys8,up_jes,5,0,2.5,30.0,50.0,0,1,"1.01113"
T,sys8,down_jes,5,0,2.5,30.0,50.0,0,1,"1.00669"
T,sys8,up_bdecay,5,0,2.5,30.0,50.0,0,1,"1.01024"
T,sys8,down_bdecay,5,0,2.5,30.0,50.0,0,1,"1.00758"
T,sys8,central,5,0,2.5,50.0,70.0,0,1,"0.996159"
T,sys8,down,5,0,2.5,50.0,70.0,0,1,"0.942555"
T,sys8,up,5,0,2.5,50.0,70.0,0,1,"1.04976"
T,sys8,down_statistic,5,0,2.5,50.0,70.0,0,1,"0.971705"
T,sys8,up_statistic,5,0,2.5,50.0,70.0,0,1,"1.02061"
T,sys8,up_jetaway,5,0,2.5,50.0,70.0,0,1,"0.976179"
T,sys8,down_jetaway,5,0,2.5,50.0,70.0,0,1,"1.01614"
T,sys8,up_mupt,5,0,2.5,50.0,70.0,0,1,"0.958972"
T,sys8,down_mupt,5,0,2.5,50.0,70.0,0,1,"1.03335"
T,sys8,up_ptrel,5,0,2.5,50.0,70.0,0,1,"1.0079"
T,sys8,down_ptrel,5,0,2.5,50.0,70.0,0,1,"0.984418"
T,sys8,up_gluonsplitting,5,0,2.5,50.0,70.0,0,1,"0.991313"
T,sys8,down_gluonsplitting,5,0,2.5,50.0,70.0,0,1,"1.001"
T,sys8,up_bfragmentation,5,0,2.5,50.0,70.0,0,1,"1.00287"
T,sys8,down_bfragmentation,5,0,2.5,50.0,70.0,0,1,"0.989448"
T,sys8,up_mudr,5,0,2.5,50.0,70.0,0,1,"0.999123"
T,sys8,down_mudr,5,0,2.5,50.0,70.0,0,1,"0.993195"
T,sys8,up_pileup,5,0,2.5,50.0,70.0,0,1,"0.999749"
T,sys8,down_pileup,5,0,2.5,50.0,70.0,0,1,"0.992569"
T,sys8,up_jes,5,0,2.5,50.0,70.0,0,1,"0.979877"
T,sys8,down_jes,5,0,2.5,50.0,70.0,0,1,"1.01244"
T,sys8,up_bdecay,5,0,2.5,50.0,70.0,0,1,"0.996617"
T,sys8,down_bdecay,5,0,2.5,50.0,70.0,0,1,"0.995701"
T,sys8,central,5,0,2.5,70.0,100.0,0,1,"1.00587"
T,sys8,down,5,0,2.5,70.0,100.0,0,1,"0.939493"
T,sys8,up,5,0,2.5,70.0,100.0,0,1,"1.07225"
T,sys8,down_statistic,5,0,2.5,70.0,100.0,0,1,"0.972745"
T,sys8,up_statistic,5,0,2.5,70.0,100.0,0,1,"1.039"
T,sys8,up_jetaway,5,0,2.5,70.0,100.0,0,1,"0.963164"
T,sys8,down_jetaway,5,0,2.5,70.0,100.0,0,1,"1.04858"
T,sys8,up_mupt,5,0,2.5,70.0,100.0,0,1,"0.991123"
T,sys8,down_mupt,5,0,2.5,70.0,100.0,0,1,"1.02062"
T,sys8,up_ptrel,5,0,2.5,70.0,100.0,0,1,"0.984339"
T,sys8,down_ptrel,5,0,2.5,70.0,100.0,0,1,"1.0274"
T,sys8,up_gluonsplitting,5,0,2.5,70.0,100.0,0,1,"0.979743"
T,sys8,down_gluonsplitting,5,0,2.5,70.0,100.0,0,1,"1.032"
T,sys8,up_bfragmentation,5,0,2.5,70.0,100.0,0,1,"0.998781"
T,sys8,down_bfragmentation,5,0,2.5,70.0,100.0,0,1,"1.01296"
T,sys8,up_mudr,5,0,2.5,70.0,100.0,0,1,"1.00848"
T,sys8,down_mudr,5,0,2.5,70.0,100.0,0,1,"1.00326"
