wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,tnp,central,5,0,2.4,30.0,50.0,0.0,1.0,"0.9661020572818917"
L,tnp,central,5,0,2.4,50.0,70.0,0.0,1.0,"1.014471656946625"
L,tnp,central,5,0,2.4,70.0,100.0,0.0,1.0,"0.9971184237704045"
L,tnp,central,5,0,2.4,100.0,140.0,0.0,1.0,"0.9852586318225536"
L,tnp,central,5,0,2.4,140.0,200.0,0.0,1.0,"0.9958448583640108"
L,tnp,central,5,0,2.4,200.0,300.0,0.0,1.0,"0.9601849214543648"
L,tnp,down,5,0,2.4,30.0,50.0,0.0,1.0,"0.9661020572818917-0.07324782027334227"
L,tnp,down,5,0,2.4,50.0,70.0,0.0,1.0,"1.014471656946625-0.05908561113167348"
L,tnp,down,5,0,2.4,70.0,100.0,0.0,1.0,"0.9971184237704045-0.035338099149493596"
L,tnp,down,5,0,2.4,100.0,140.0,0.0,1.0,"0.9852586318225536-0.024703656514566755"
L,tnp,down,5,0,2.4,140.0,200.0,0.0,1.0,"0.9958448583640108-0.024483765684606397"
L,tnp,down,5,0,2.4,200.0,300.0,0.0,1.0,"0.9601849214543648-0.0446443394194205"
L,tnp,up,5,0,2.4,30.0,50.0,0.0,1.0,"0.9661020572818917+0.07324782027334227"
L,tnp,up,5,0,2.4,50.0,70.0,0.0,1.0,"1.014471656946625+0.05908561113167348"
L,tnp,up,5,0,2.4,70.0,100.0,0.0,1.0,"0.9971184237704045+0.035338099149493596"
L,tnp,up,5,0,2.4,100.0,140.0,0.0,1.0,"0.9852586318225536+0.024703656514566755"
L,tnp,up,5,0,2.4,140.0,200.0,0.0,1.0,"0.9958448583640108+0.024483765684606397"
L,tnp,up,5,0,2.4,200.0,300.0,0.0,1.0,"0.9601849214543648+0.0446443394194205"
L,tnp,down_statistic,5,0,2.4,30.0,50.0,0.0,1.0,"0.9661020572818917-0.06643809783124859"
L,tnp,down_statistic,5,0,2.4,50.0,70.0,0.0,1.0,"1.014471656946625-0.053442895328445414"
L,tnp,down_statistic,5,0,2.4,70.0,100.0,0.0,1.0,"0.9971184237704045-0.03309371424253922"
L,tnp,down_statistic,5,0,2.4,100.0,140.0,0.0,1.0,"0.9852586318225536-0.02417323026038296"
L,tnp,down_statistic,5,0,2.4,140.0,200.0,0.0,1.0,"0.9958448583640108-0.023590239397520273"
L,tnp,down_statistic,5,0,2.4,200.0,300.0,0.0,1.0,"0.9601849214543648-0.04219793635737193"
