wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,comb,central,5,0,2.5,20,1000,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)"
L,comb,central,4,0,2.5,20,1000,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)"
L,comb,down,5,0,2.5,20,30,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.03326606879337525"
L,comb,down,5,0,2.5,30,50,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.01738304547075772"
L,comb,down,5,0,2.5,50,70,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.02063358712067949"
L,comb,down,5,0,2.5,70,100,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.01762319411642741"
L,comb,down,5,0,2.5,100,140,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.019866498934140345"
L,comb,down,5,0,2.5,140,200,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.0237210601243753"
L,comb,down,5,0,2.5,200,300,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.03368180017981959"
L,comb,down,5,0,2.5,300,600,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.04776556147989986"
L,comb,down,5,0,2.5,600,1000,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.10035536882748367"
L,comb,down,4,0,2.5,20,30,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.08316517198343812"
L,comb,down,4,0,2.5,30,50,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.043457613676894304"
L,comb,down,4,0,2.5,50,70,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.05158396780169872"
L,comb,down,4,0,2.5,70,100,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.044057985291068524"
L,comb,down,4,0,2.5,100,140,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.04966624733535086"
L,comb,down,4,0,2.5,140,200,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.05930265031093825"
L,comb,down,4,0,2.5,200,300,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.08420450044954897"
L,comb,down,4,0,2.5,300,600,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.11941390369974965"
L,comb,down,4,0,2.5,600,1000,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.25088842206870915"
L,comb,down_bfragmentation,5,0,2.5,20,30,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.010641390569025407"
L,comb,down_bfragmentation,5,0,2.5,30,50,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.0010233522097162003"
L,comb,down_bfragmentation,5,0,2.5,50,70,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.0006551510244526559"
L,comb,down_bfragmentation,5,0,2.5,70,100,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-4.684472326808499e-05"
L,comb,down_bfragmentation,5,0,2.5,100,140,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.0009562449119701492"
L,comb,down_bfragmentation,5,0,2.5,140,200,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.0011885753964552346"
L,comb,down_bfragmentation,5,0,2.5,200,300,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.0020996406951998047"
L,comb,down_bfragmentation,5,0,2.5,300,600,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.010462197689149622"
L,comb,down_bfragmentation,5,0,2.5,600,1000,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.025549679213696448"
L,comb,down_bfragmentation,4,0,2.5,20,30,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.02660347642256352"
L,comb,down_bfragmentation,4,0,2.5,30,50,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.0025583805242905006"
L,comb,down_bfragmentation,4,0,2.5,50,70,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.0016378775611316397"
L,comb,down_bfragmentation,4,0,2.5,70,100,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.00011711180817021248"
L,comb,down_bfragmentation,4,0,2.5,100,140,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.002390612279925373"
L,comb,down_bfragmentation,4,0,2.5,140,200,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.0029714384911380867"
L,comb,down_bfragmentation,4,0,2.5,200,300,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.005249101737999511"
L,comb,down_bfragmentation,4,0,2.5,300,600,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.026155494222874054"
L,comb,down_bfragmentation,4,0,2.5,600,1000,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.06387419803424112"
L,comb,down_cfragmentation,5,0,2.5,20,30,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.00031042612832150033"
L,comb,down_cfragmentation,5,0,2.5,30,50,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-8.331066642303806e-05"
L,comb,down_cfragmentation,5,0,2.5,50,70,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-7.534376963030091e-05"
L,comb,down_cfragmentation,5,0,2.5,70,100,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.00012818857700761335"
L,comb,down_cfragmentation,5,0,2.5,100,140,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-8.028377844859765e-05"
L,comb,down_cfragmentation,5,0,2.5,140,200,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-6.529050563610476e-05"
L,comb,down_cfragmentation,5,0,2.5,200,300,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-9.345331435477507e-05"
L,comb,down_cfragmentation,5,0,2.5,300,600,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.001615138544065143"
L,comb,down_cfragmentation,5,0,2.5,600,1000,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.003270050603707021"
L,comb,down_cfragmentation,4,0,2.5,20,30,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.0007760653208037508"
L,comb,down_cfragmentation,4,0,2.5,30,50,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.00020827666605759517"
L,comb,down_cfragmentation,4,0,2.5,50,70,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.00018835942407575227"
L,comb,down_cfragmentation,4,0,2.5,70,100,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.00032047144251903337"
L,comb,down_cfragmentation,4,0,2.5,100,140,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.0002007094461214941"
L,comb,down_cfragmentation,4,0,2.5,140,200,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.0001632262640902619"
L,comb,down_cfragmentation,4,0,2.5,200,300,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.00023363328588693768"
L,comb,down_cfragmentation,4,0,2.5,300,600,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.004037846360162857"
L,comb,down_cfragmentation,4,0,2.5,600,1000,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.008175126509267553"
L,comb,down_colorreconnection,5,0,2.5,20,30,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.0008279060190274493"
L,comb,down_colorreconnection,5,0,2.5,30,50,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.0006003077853303534"
L,comb,down_colorreconnection,5,0,2.5,50,70,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.000821736937583186"
L,comb,down_colorreconnection,5,0,2.5,70,100,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.0008091954097190592"
L,comb,down_colorreconnection,5,0,2.5,100,140,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.0009839377269558658"
L,comb,down_colorreconnection,5,0,2.5,140,200,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.0028946777054279786"
L,comb,down_colorreconnection,5,0,2.5,200,300,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.0026942608738898034"
L,comb,down_colorreconnection,5,0,2.5,300,600,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.0004741616735627543"
L,comb,down_colorreconnection,5,0,2.5,600,1000,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.0017663826320394526"
L,comb,down_colorreconnection,4,0,2.5,20,30,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.0020697650475686234"
L,comb,down_colorreconnection,4,0,2.5,30,50,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.0015007694633258834"
L,comb,down_colorreconnection,4,0,2.5,50,70,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.002054342343957965"
L,comb,down_colorreconnection,4,0,2.5,70,100,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.002022988524297648"
L,comb,down_colorreconnection,4,0,2.5,100,140,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.0024598443173896646"
L,comb,down_colorreconnection,4,0,2.5,140,200,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.007236694263569946"
L,comb,down_colorreconnection,4,0,2.5,200,300,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.006735652184724508"
