wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,comb,central,5,0,2.5,20,1000,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)"
L,comb,central,4,0,2.5,20,1000,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)"
L,comb,down,5,0,2.5,20,30,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.03326606879337525"
L,comb,down,5,0,2.5,30,50,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.01738304547075772"
L,comb,down,5,0,2.5,50,70,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.02063358712067949"
L,comb,down,5,0,2.5,70,100,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.01762319411642741"
L,comb,down,5,0,2.5,100,140,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.019866498934140345"
L,comb,down,5,0,2.5,140,200,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.0237210601243753"
L,comb,down,5,0,2.5,200,300,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.03368180017981959"
L,comb,down,5,0,2.5,300,600,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.04776556147989986"
L,comb,down,5,0,2.5,600,1000,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.10035536882748367"
L,comb,down,4,0,2.5,20,30,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.08316517198343812"
L,comb,down,4,0,2.5,30,50,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.043457613676894304"
L,comb,down,4,0,2.5,50,70,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.05158396780169872"
L,comb,down,4,0,2.5,70,100,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.044057985291068524"
L,comb,down,4,0,2.5,100,140,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.04966624733535086"
L,comb,down,4,0,2.5,140,200,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.05930265031093825"
L,comb,down,4,0,2.5,200,300,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.08420450044954897"
L,comb,down,4,0,2.5,300,600,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.11941390369974965"
L,comb,down,4,0,2.5,600,1000,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)-0.25088842206870915"
L,comb,up,5,0,2.5,20,30,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)+0.03326606879337525"
L,comb,up,5,0,2.5,30,50,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)+0.01738304547075772"
L,comb,up,5,0,2.5,50,70,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)+0.02063358712067949"
L,comb,up,5,0,2.5,70,100,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)+0.01762319411642741"
L,comb,up,5,0,2.5,100,140,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)+0.019866498934140345"
L,comb,up,5,0,2.5,140,200,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)+0.0237210601243753"
L,comb,up,5,0,2.5,200,300,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)+0.03368180017981959"
L,comb,up,5,0,2.5,300,600,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)+0.04776556147989986"
L,comb,up,5,0,2.5,600,1000,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)+0.10035536882748367"
L,comb,up,4,0,2.5,20,30,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)+0.08316517198343812"
L,comb,up,4,0,2.5,30,50,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)+0.043457613676894304"
L,comb,up,4,0,2.5,50,70,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)+0.05158396780169872"
L,comb,up,4,0,2.5,70,100,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)+0.044057985291068524"
L,comb,up,4,0,2.5,100,140,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)+0.04966624733535086"
L,comb,up,4,0,2.5,140,200,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)+0.05930265031093825"
L,comb,up,4,0,2.5,200,300,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)+0.08420450044954897"
L,comb,up,4,0,2.5,300,600,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)+0.11941390369974965"
L,comb,up,4,0,2.5,600,1000,0,1,"1.056+-0.0228485*log(x)+0.00154993*log(x)*log(x)+0.25088842206870915"
L,mujets,central,5,0,2.5,20,1000,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))"
L,mujets,central,4,0,2.5,20,1000,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))"
L,mujets,down,5,0,2.5,20,30,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))-0.0338089946558165"
L,mujets,down,5,0,2.5,30,50,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))-0.018059632004424488"
L,mujets,down,5,0,2.5,50,70,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))-0.02256575630102039"
L,mujets,down,5,0,2.5,70,100,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))-0.020872245979949397"
L,mujets,down,5,0,2.5,100,140,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))-0.033452705421360904"
L,mujets,down,5,0,2.5,140,200,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))-0.04816454651023067"
L,mujets,down,5,0,2.5,200,300,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))-0.054412430304179873"
L,mujets,down,5,0,2.5,300,600,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))-0.048370198331763675"
L,mujets,down,5,0,2.5,600,1000,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))-0.10465252007555474"
L,mujets,down,4,0,2.5,20,30,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))-0.08452248663954125"
L,mujets,down,4,0,2.5,30,50,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))-0.045149080011061216"
L,mujets,down,4,0,2.5,50,70,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))-0.056414390752550975"
L,mujets,down,4,0,2.5,70,100,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))-0.05218061494987349"
L,mujets,down,4,0,2.5,100,140,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))-0.08363176355340227"
L,mujets,down,4,0,2.5,140,200,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))-0.12041136627557668"
L,mujets,down,4,0,2.5,200,300,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))-0.13603107576044968"
L,mujets,down,4,0,2.5,300,600,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))-0.12092549582940919"
L,mujets,down,4,0,2.5,600,1000,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))-0.26163130018888686"
L,mujets,up,5,0,2.5,20,30,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))+0.0338089946558165"
L,mujets,up,5,0,2.5,30,50,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))+0.018059632004424488"
L,mujets,up,5,0,2.5,50,70,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))+0.02256575630102039"
L,mujets,up,5,0,2.5,70,100,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))+0.020872245979949397"
L,mujets,up,5,0,2.5,100,140,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))+0.033452705421360904"
L,mujets,up,5,0,2.5,140,200,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))+0.04816454651023067"
L,mujets,up,5,0,2.5,200,300,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))+0.054412430304179873"
L,mujets,up,5,0,2.5,300,600,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))+0.048370198331763675"
L,mujets,up,5,0,2.5,600,1000,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))+0.10465252007555474"
L,mujets,up,4,0,2.5,20,30,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))+0.08452248663954125"
L,mujets,up,4,0,2.5,30,50,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))+0.045149080011061216"
L,mujets,up,4,0,2.5,50,70,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))+0.056414390752550975"
L,mujets,up,4,0,2.5,70,100,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))+0.05218061494987349"
L,mujets,up,4,0,2.5,100,140,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))+0.08363176355340227"
L,mujets,up,4,0,2.5,140,200,0,1,"1.13575+-0.00588503*log(x+19)*log(x+18)*(3-0.379438*log(x+18))+0.12041136627557668"
