wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,kinfit,central,5,0,2.4,30,50,0,1,"1.1480166912078857"
L,kinfit,central,5,0,2.4,50,70,0,1,"1.0537066459655762"
L,kinfit,central,5,0,2.4,70,100,0,1,"1.0242210626602173"
L,kinfit,central,5,0,2.4,100,140,0,1,"0.9823343753814697"
L,kinfit,central,5,0,2.4,140,200,0,1,"0.9859794974327087"
L,kinfit,central,5,0,2.4,200,300,0,1,"0.9981956481933594"
L,kinfit,central,5,0,2.4,300,600,0,1,"1.0798234939575195"
L,kinfit,down,5,0,2.4,30,50,0,1,"1.1401127240153586"
L,kinfit,down,5,0,2.4,50,70,0,1,"1.0440604339635817"
L,kinfit,down,5,0,2.4,70,100,0,1,"1.0211585141800614"
L,kinfit,down,5,0,2.4,100,140,0,1,"0.9784835606960944"
L,kinfit,down,5,0,2.4,140,200,0,1,"0.9831345025050688"
L,kinfit,down,5,0,2.4,200,300,0,1,"0.9942247599619105"
L,kinfit,down,5,0,2.4,300,600,0,1,"1.0572053070188852"
L,kinfit,down_hdamp,5,0,2.4,30,50,0,1,"1.1480159128111467"
L,kinfit,down_hdamp,5,0,2.4,50,70,0,1,"1.053706606806145"
L,kinfit,down_hdamp,5,0,2.4,70,100,0,1,"1.0242204851221999"
L,kinfit,down_hdamp,5,0,2.4,100,140,0,1,"0.9823335956694939"
L,kinfit,down_hdamp,5,0,2.4,140,200,0,1,"0.9859794727092179"
L,kinfit,down_hdamp,5,0,2.4,200,300,0,1,"0.9981870263144366"
L,kinfit,down_hdamp,5,0,2.4,300,600,0,1,"1.0798090178860171"
L,kinfit,down_jer,5,0,2.4,30,50,0,1,"1.1480166044737778"
L,kinfit,down_jer,5,0,2.4,50,70,0,1,"1.0537066392974879"
L,kinfit,down_jer,5,0,2.4,70,100,0,1,"1.024221030877353"
L,kinfit,down_jer,5,0,2.4,100,140,0,1,"0.9823343725642024"
L,kinfit,down_jer,5,0,2.4,140,200,0,1,"0.985979477300261"
L,kinfit,down_jer,5,0,2.4,200,300,0,1,"0.9981955352831227"
L,kinfit,down_jer,5,0,2.4,300,600,0,1,"1.0798126769318763"
L,kinfit,down_jes,5,0,2.4,30,50,0,1,"1.1480086578376358"
L,kinfit,down_jes,5,0,2.4,50,70,0,1,"1.0537050579588225"
L,kinfit,down_jes,5,0,2.4,70,100,0,1,"1.0242198930900486"
L,kinfit,down_jes,5,0,2.4,100,140,0,1,"0.9823332403609442"
L,kinfit,down_jes,5,0,2.4,140,200,0,1,"0.9859791955204633"
L,kinfit,down_jes,5,0,2.4,200,300,0,1,"0.998195607965183"
L,kinfit,down_jes,5,0,2.4,300,600,0,1,"1.0798064542366852"
L,kinfit,down_topmass,5,0,2.4,30,50,0,1,"1.148016117739413"
L,kinfit,down_topmass,5,0,2.4,50,70,0,1,"1.0537062631068146"
L,kinfit,down_topmass,5,0,2.4,70,100,0,1,"1.024220709871397"
L,kinfit,down_topmass,5,0,2.4,100,140,0,1,"0.9823340578802009"
L,kinfit,down_topmass,5,0,2.4,140,200,0,1,"0.9859792414733874"
L,kinfit,down_topmass,5,0,2.4,200,300,0,1,"0.9981946363227641"
L,kinfit,down_topmass,5,0,2.4,300,600,0,1,"1.0797286136823594"
L,kinfit,down_pileup,5,0,2.4,30,50,0,1,"1.1480166478858678"
L,kinfit,down_pileup,5,0,2.4,50,70,0,1,"1.0537062491140965"
L,kinfit,down_pileup,5,0,2.4,70,100,0,1,"1.0242208280678682"
L,kinfit,down_pileup,5,0,2.4,100,140,0,1,"0.9823343655621022"
L,kinfit,down_pileup,5,0,2.4,140,200,0,1,"0.985979241865258"
L,kinfit,down_pileup,5,0,2.4,200,300,0,1,"0.9981954919799669"
L,kinfit,down_pileup,5,0,2.4,300,600,0,1,"1.0798138870502463"
L,kinfit,down_statistic,5,0,2.4,30,50,0,1,"1.1407958180643618"
L,kinfit,down_statistic,5,0,2.4,50,70,0,1,"1.044212132692337"
L,kinfit,down_statistic,5,0,2.4,70,100,0,1,"1.0216780120972544"
L,kinfit,down_statistic,5,0,2.4,100,140,0,1,"0.9789959627669305"
L,kinfit,down_statistic,5,0,2.4,140,200,0,1,"0.983313033124432"
L,kinfit,down_statistic,5,0,2.4,200,300,0,1,"0.9959338726475835"
L,kinfit,down_statistic,5,0,2.4,300,600,0,1,"1.061514638364315"
L,kinfit,down_tune,5,0,2.4,30,50,0,1,"1.1480158748110476"
L,kinfit,down_tune,5,0,2.4,50,70,0,1,"1.053706155886399"
L,kinfit,down_tune,5,0,2.4,70,100,0,1,"1.0242205168354097"
L,kinfit,down_tune,5,0,2.4,100,140,0,1,"0.9823329364769187"
L,kinfit,down_tune,5,0,2.4,140,200,0,1,"0.9859793717634338"
L,kinfit,down_tune,5,0,2.4,200,300,0,1,"0.9981949389699558"
L,kinfit,down_tune,5,0,2.4,300,600,0,1,"1.0797939457706747"
L,kinfit,up,5,0,2.4,30,50,0,1,"1.155920658400413"
L,kinfit,up,5,0,2.4,50,70,0,1,"1.0633528579675706"
L,kinfit,up,5,0,2.4,70,100,0,1,"1.0272836111403731"
L,kinfit,up,5,0,2.4,100,140,0,1,"0.986185190066845"
L,kinfit,up,5,0,2.4,140,200,0,1,"0.9888244923603486"
L,kinfit,up,5,0,2.4,200,300,0,1,"1.0021665364248082"
L,kinfit,up,5,0,2.4,300,600,0,1,"1.102441680896154"
L,kinfit,up_hdamp,5,0,2.4,30,50,0,1,"1.1480174696046248"
L,kinfit,up_hdamp,5,0,2.4,50,70,0,1,"1.0537066851250074"
L,kinfit,up_hdamp,5,0,2.4,70,100,0,1,"1.0242216401982347"
L,kinfit,up_hdamp,5,0,2.4,100,140,0,1,"0.9823351550934456"
