wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,ltsv,central,5,0,2.4,20.0,30.0,0,1,"1.082624912261963"
L,ltsv,up,5,0,2.4,20.0,30.0,0,1,"1.3772043084406835"
L,ltsv,down,5,0,2.4,20.0,30.0,0,1,"0.8486339959800784"
L,ltsv,up_jes,5,0,2.4,20.0,30.0,0,1,"1.2636499454510381"
L,ltsv,down_jes,5,0,2.4,20.0,30.0,0,1,"1.0514403581619263"
L,ltsv,up_gluonsplitting,5,0,2.4,20.0,30.0,0,1,"1.0887360572814941"
L,ltsv,down_gluonsplitting,5,0,2.4,20.0,30.0,0,1,"1.0730630159378052"
L,ltsv,up_bfragmentation,5,0,2.4,20.0,30.0,0,1,"1.0575755834579468"
L,ltsv,down_bfragmentation,5,0,2.4,20.0,30.0,0,1,"1.0907560586929321"
L,ltsv,up_cfragmentation,5,0,2.4,20.0,30.0,0,1,"1.0826219320297241"
L,ltsv,down_cfragmentation,5,0,2.4,20.0,30.0,0,1,"1.1116688251495361"
L,ltsv,up_dmux,5,0,2.4,20.0,30.0,0,1,"1.0826219320297241"
L,ltsv,down_dmux,5,0,2.4,20.0,30.0,0,1,"1.0820715427398682"
L,ltsv,up_ksl,5,0,2.4,20.0,30.0,0,1,"1.0822784900665283"
L,ltsv,down_ksl,5,0,2.4,20.0,30.0,0,1,"1.0826219320297241"
L,ltsv,up_cb,5,0,2.4,20.0,30.0,0,1,"1.0890323073470205"
L,ltsv,down_cb,5,0,2.4,20.0,30.0,0,1,"1.0762175171769053"
L,ltsv,up_add,5,0,2.4,20.0,30.0,0,1,"1.1240775850813074"
L,ltsv,down_add,5,0,2.4,20.0,30.0,0,1,"1.0411722394426184"
L,ltsv,up_statistic,5,0,2.4,20.0,30.0,0,1,"1.309107463149389"
L,ltsv,down_statistic,5,0,2.4,20.0,30.0,0,1,"0.8561423613745366"
L,ltsv,central,5,0,2.4,30.0,50.0,0,1,"1.0202569961547852"
L,ltsv,up,5,0,2.4,30.0,50.0,0,1,"1.1096322199162314"
L,ltsv,down,5,0,2.4,30.0,50.0,0,1,"0.9322176928691189"
L,ltsv,up_jes,5,0,2.4,30.0,50.0,0,1,"1.0383726725180062"
L,ltsv,down_jes,5,0,2.4,30.0,50.0,0,1,"1.00571870803833"
L,ltsv,up_gluonsplitting,5,0,2.4,30.0,50.0,0,1,"1.0251209735870361"
L,ltsv,down_gluonsplitting,5,0,2.4,30.0,50.0,0,1,"1.0145423412322998"
L,ltsv,up_bfragmentation,5,0,2.4,30.0,50.0,0,1,"1.0326948165893555"
L,ltsv,down_bfragmentation,5,0,2.4,30.0,50.0,0,1,"1.005820870399475"
L,ltsv,up_cfragmentation,5,0,2.4,30.0,50.0,0,1,"1.0202560424804688"
L,ltsv,down_cfragmentation,5,0,2.4,30.0,50.0,0,1,"1.033794641494751"
L,ltsv,up_dmux,5,0,2.4,30.0,50.0,0,1,"1.0202560424804688"
L,ltsv,down_dmux,5,0,2.4,30.0,50.0,0,1,"1.0196480751037598"
L,ltsv,up_ksl,5,0,2.4,30.0,50.0,0,1,"1.0202665328979492"
L,ltsv,down_ksl,5,0,2.4,30.0,50.0,0,1,"1.0202560424804688"
L,ltsv,up_cb,5,0,2.4,30.0,50.0,0,1,"1.0208753917349398"
L,ltsv,down_cb,5,0,2.4,30.0,50.0,0,1,"1.0196386005746305"
L,ltsv,up_add,5,0,2.4,30.0,50.0,0,1,"1.0358344731451614"
L,ltsv,down_add,5,0,2.4,30.0,50.0,0,1,"1.004679519164409"
L,ltsv,up_statistic,5,0,2.4,30.0,50.0,0,1,"1.104091306046328"
L,ltsv,down_statistic,5,0,2.4,30.0,50.0,0,1,"0.9364226862632423"
L,ltsv,central,5,0,2.4,50.0,70.0,0,1,"1.1417640447616577"
L,ltsv,up,5,0,2.4,50.0,70.0,0,1,"1.2880435371151415"
L,ltsv,down,5,0,2.4,50.0,70.0,0,1,"0.977631923073574"
L,ltsv,up_jes,5,0,2.4,50.0,70.0,0,1,"1.1417640447616577"
L,ltsv,down_jes,5,0,2.4,50.0,70.0,0,1,"1.0630619799914371"
L,ltsv,up_gluonsplitting,5,0,2.4,50.0,70.0,0,1,"1.142096996307373"
L,ltsv,down_gluonsplitting,5,0,2.4,50.0,70.0,0,1,"1.1435348987579346"
L,ltsv,up_bfragmentation,5,0,2.4,50.0,70.0,0,1,"1.174351692199707"
L,ltsv,down_bfragmentation,5,0,2.4,50.0,70.0,0,1,"1.119666337966919"
L,ltsv,up_cfragmentation,5,0,2.4,50.0,70.0,0,1,"1.1417570114135742"
L,ltsv,down_cfragmentation,5,0,2.4,50.0,70.0,0,1,"1.1512054204940796"
L,ltsv,up_dmux,5,0,2.4,50.0,70.0,0,1,"1.1417570114135742"
L,ltsv,down_dmux,5,0,2.4,50.0,70.0,0,1,"1.1383934020996094"
L,ltsv,up_ksl,5,0,2.4,50.0,70.0,0,1,"1.140241026878357"
L,ltsv,down_ksl,5,0,2.4,50.0,70.0,0,1,"1.1417570114135742"
L,ltsv,up_cb,5,0,2.4,50.0,70.0,0,1,"1.1422677548261633"
L,ltsv,down_cb,5,0,2.4,50.0,70.0,0,1,"1.1412603346971524"
L,ltsv,up_add,5,0,2.4,50.0,70.0,0,1,"1.1706529154308098"
L,ltsv,down_add,5,0,2.4,50.0,70.0,0,1,"1.1128751740925056"
L,ltsv,up_statistic,5,0,2.4,50.0,70.0,0,1,"1.2809301091747574"
L,ltsv,down_statistic,5,0,2.4,50.0,70.0,0,1,"1.002597980348558"
L,ltsv,central,5,0,2.4,70.0,100.0,0,1,"0.9798345565795898"
L,ltsv,up,5,0,2.4,70.0,100.0,0,1,"1.0687037198705924"
L,ltsv,down,5,0,2.4,70.0,100.0,0,1,"0.909736596636344"
L,ltsv,up_jes,5,0,2.4,70.0,100.0,0,1,"1.0298183828792986"
L,ltsv,down_jes,5,0,2.4,70.0,100.0,0,1,"0.9779792428016663"
L,ltsv,up_gluonsplitting,5,0,2.4,70.0,100.0,0,1,"0.9895116686820984"
L,ltsv,down_gluonsplitting,5,0,2.4,70.0,100.0,0,1,"0.9676523208618164"
L,ltsv,up_bfragmentation,5,0,2.4,70.0,100.0,0,1,"1.0063624382019043"
L,ltsv,down_bfragmentation,5,0,2.4,70.0,100.0,0,1,"0.9620847105979919"
L,ltsv,up_cfragmentation,5,0,2.4,70.0,100.0,0,1,"0.9798343777656555"
L,ltsv,down_cfragmentation,5,0,2.4,70.0,100.0,0,1,"0.9923347234725952"
L,ltsv,up_dmux,5,0,2.4,70.0,100.0,0,1,"0.9798343777656555"
L,ltsv,down_dmux,5,0,2.4,70.0,100.0,0,1,"0.9787812829017639"
L,ltsv,up_ksl,5,0,2.4,70.0,100.0,0,1,"0.9799217581748962"
L,ltsv,down_ksl,5,0,2.4,70.0,100.0,0,1,"0.9798343777656555"
L,ltsv,up_cb,5,0,2.4,70.0,100.0,0,1,"0.980395495471591"
L,ltsv,down_cb,5,0,2.4,70.0,100.0,0,1,"0.9792736176875887"
L,ltsv,up_add,5,0,2.4,70.0,100.0,0,1,"0.986645849701348"
L,ltsv,down_add,5,0,2.4,70.0,100.0,0,1,"0.9730232634578316"
L,ltsv,up_statistic,5,0,2.4,70.0,100.0,0,1,"1.0461593580971547"
L,ltsv,down_statistic,5,0,2.4,70.0,100.0,0,1,"0.913509755062025"
L,ltsv,central,5,0,2.4,100.0,140.0,0,1,"1.0805890560150146"
L,ltsv,up,5,0,2.4,100.0,140.0,0,1,"1.1526206547507223"
L,ltsv,down,5,0,2.4,100.0,140.0,0,1,"1.0077168018749356"
L,ltsv,up_jes,5,0,2.4,100.0,140.0,0,1,"1.0899580717086792"
L,ltsv,down_jes,5,0,2.4,100.0,140.0,0,1,"1.0707098410683866"
L,ltsv,up_gluonsplitting,5,0,2.4,100.0,140.0,0,1,"1.0908690690994263"
L,ltsv,down_gluonsplitting,5,0,2.4,100.0,140.0,0,1,"1.0682626962661743"
L,ltsv,up_bfragmentation,5,0,2.4,100.0,140.0,0,1,"1.1046366691589355"
L,ltsv,down_bfragmentation,5,0,2.4,100.0,140.0,0,1,"1.0557764768600464"
L,ltsv,up_cfragmentation,5,0,2.4,100.0,140.0,0,1,"1.080582618713379"
L,ltsv,down_cfragmentation,5,0,2.4,100.0,140.0,0,1,"1.0812979936599731"
L,ltsv,up_dmux,5,0,2.4,100.0,140.0,0,1,"1.080582618713379"
L,ltsv,down_dmux,5,0,2.4,100.0,140.0,0,1,"1.0752204656600952"
L,ltsv,up_ksl,5,0,2.4,100.0,140.0,0,1,"1.0803951025009155"
L,ltsv,down_ksl,5,0,2.4,100.0,140.0,0,1,"1.080582618713379"
L,ltsv,up_cb,5,0,2.4,100.0,140.0,0,1,"1.0834454309824029"
L,ltsv,down_cb,5,0,2.4,100.0,140.0,0,1,"1.0777326810476264"
L,ltsv,up_add,5,0,2.4,100.0,140.0,0,1,"1.0952503669226845"
L,ltsv,down_add,5,0,2.4,100.0,140.0,0,1,"1.0659277451073448"
L,ltsv,up_statistic,5,0,2.4,100.0,140.0,0,1,"1.145317731467269"
L,ltsv,down_statistic,5,0,2.4,100.0,140.0,0,1,"1.0158603805627604"
L,ltsv,central,5,0,2.4,140.0,200.0,0,1,"1.0298402309417725"
L,ltsv,up,5,0,2.4,140.0,200.0,0,1,"1.1197033745675684"
L,ltsv,down,5,0,2.4,140.0,200.0,0,1,"0.9368677366075933"
L,ltsv,up_jes,5,0,2.4,140.0,200.0,0,1,"1.0477101230639667"
L,ltsv,down_jes,5,0,2.4,140.0,200.0,0,1,"1.0059741507591733"
L,ltsv,up_gluonsplitting,5,0,2.4,140.0,200.0,0,1,"1.0412344932556152"
L,ltsv,down_gluonsplitting,5,0,2.4,140.0,200.0,0,1,"1.0150518417358398"
L,ltsv,up_bfragmentation,5,0,2.4,140.0,200.0,0,1,"1.0481958389282227"
L,ltsv,down_bfragmentation,5,0,2.4,140.0,200.0,0,1,"1.0061653852462769"
L,ltsv,up_cfragmentation,5,0,2.4,140.0,200.0,0,1,"1.0298397541046143"
L,ltsv,down_cfragmentation,5,0,2.4,140.0,200.0,0,1,"1.0320121049880981"
L,ltsv,up_dmux,5,0,2.4,140.0,200.0,0,1,"1.0298397541046143"
L,ltsv,down_dmux,5,0,2.4,140.0,200.0,0,1,"1.0265965461730957"
L,ltsv,up_ksl,5,0,2.4,140.0,200.0,0,1,"1.0297988653182983"
L,ltsv,down_ksl,5,0,2.4,140.0,200.0,0,1,"1.0298397541046143"
L,ltsv,up_cb,5,0,2.4,140.0,200.0,0,1,"1.037243815500697"
L,ltsv,down_cb,5,0,2.4,140.0,200.0,0,1,"1.022436646382848"
L,ltsv,up_add,5,0,2.4,140.0,200.0,0,1,"1.0392045063296615"
L,ltsv,down_add,5,0,2.4,140.0,200.0,0,1,"1.0204759555538834"
L,ltsv,up_statistic,5,0,2.4,140.0,200.0,0,1,"1.1134554472292701"
