wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,ptrel,central,5,0,2.5,20,30,0,1,"0.9603061310283071"
L,ptrel,central,5,0,2.5,30,50,0,1,"1.008105338631308"
L,ptrel,central,5,0,2.5,50,70,0,1,"0.9689121943287724"
L,ptrel,central,5,0,2.5,70,100,0,1,"0.9855390230807207"
L,ptrel,central,5,0,2.5,100,140,0,1,"0.9537939934540226"
L,ptrel,central,5,0,2.5,140,200,0,1,"0.9052271415566725"
L,ptrel,central,5,0,2.5,200,300,0,1,"0.9075241645273897"
L,ptrel,central,5,0,2.5,300,600,0,1,"0.9265484253984249"
L,ptrel,central,5,0,2.5,600,1000,0,1,"0.9536677119303357"
L,ptrel,central,5,0,2.5,1000,1400,0,1,"1.0470349771391314"
L,ptrel,down,5,0,2.5,20,30,0,1,"0.8944756851102922"
L,ptrel,down,5,0,2.5,30,50,0,1,"0.9525260649404869"
L,ptrel,down,5,0,2.5,50,70,0,1,"0.910058925245178"
L,ptrel,down,5,0,2.5,70,100,0,1,"0.9369472149657037"
L,ptrel,down,5,0,2.5,100,140,0,1,"0.873963696812958"
L,ptrel,down,5,0,2.5,140,200,0,1,"0.8378943154170568"
L,ptrel,down,5,0,2.5,200,300,0,1,"0.834691056935029"
L,ptrel,down,5,0,2.5,300,600,0,1,"0.8335231950720278"
L,ptrel,down,5,0,2.5,600,1000,0,1,"0.7932328694715511"
L,ptrel,down,5,0,2.5,1000,1400,0,1,"1.0012535874635695"
L,ptrel,down_bfragmentation,5,0,2.5,20,30,0,1,"0.939196044583819"
L,ptrel,down_bfragmentation,5,0,2.5,30,50,0,1,"1.0068082294986214"
L,ptrel,down_bfragmentation,5,0,2.5,50,70,0,1,"0.9682523767520379"
L,ptrel,down_bfragmentation,5,0,2.5,70,100,0,1,"0.9925434102830777"
L,ptrel,down_bfragmentation,5,0,2.5,100,140,0,1,"0.9520171500502155"
L,ptrel,down_bfragmentation,5,0,2.5,140,200,0,1,"0.9044634036536356"
L,ptrel,down_bfragmentation,5,0,2.5,200,300,0,1,"0.9063615550017947"
L,ptrel,down_bfragmentation,5,0,2.5,300,600,0,1,"0.9234385389085318"
L,ptrel,down_bfragmentation,5,0,2.5,600,1000,0,1,"0.9728016855746278"
L,ptrel,down_bfragmentation,5,0,2.5,1000,1400,0,1,"1.0466586585387025"
L,ptrel,down_btempcorr,5,0,2.5,20,30,0,1,"0.948872701789051"
L,ptrel,down_btempcorr,5,0,2.5,30,50,0,1,"1.014606561081946"
L,ptrel,down_btempcorr,5,0,2.5,50,70,0,1,"0.980286881453808"
