wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,sys8,central,5,0,2.5,20.0,30.0,0,1,"1.01179"
L,sys8,down,5,0,2.5,20.0,30.0,0,1,"0.934689"
L,sys8,up,5,0,2.5,20.0,30.0,0,1,"1.08889"
L,sys8,down_statistic,5,0,2.5,20.0,30.0,0,1,"0.998"
L,sys8,up_statistic,5,0,2.5,20.0,30.0,0,1,"1.02558"
L,sys8,up_jetaway,5,0,2.5,20.0,30.0,0,1,"1.07743"
L,sys8,down_jetaway,5,0,2.5,20.0,30.0,0,1,"0.946149"
L,sys8,up_mupt,5,0,2.5,20.0,30.0,0,1,"1.04802"
L,sys8,down_mupt,5,0,2.5,20.0,30.0,0,1,"0.97556"
L,sys8,up_ptrel,5,0,2.5,20.0,30.0,0,1,"1.00284"
L,sys8,down_ptrel,5,0,2.5,20.0,30.0,0,1,"1.02074"
L,sys8,up_gluonsplitting,5,0,2.5,20.0,30.0,0,1,"1.01146"
L,sys8,down_gluonsplitting,5,0,2.5,20.0,30.0,0,1,"1.01212"
L,sys8,up_bfragmentation,5,0,2.5,20.0,30.0,0,1,"1.01385"
L,sys8,down_bfragmentation,5,0,2.5,20.0,30.0,0,1,"1.00973"
L,sys8,up_mudr,5,0,2.5,20.0,30.0,0,1,"1.01216"
L,sys8,down_mudr,5,0,2.5,20.0,30.0,0,1,"1.01142"
L,sys8,up_pileup,5,0,2.5,20.0,30.0,0,1,"1.01267"
L,sys8,down_pileup,5,0,2.5,20.0,30.0,0,1,"1.01091"
L,sys8,up_jes,5,0,2.5,20.0,30.0,0,1,"1.0049"
L,sys8,down_jes,5,0,2.5,20.0,30.0,0,1,"1.01868"
L,sys8,up_bdecay,5,0,2.5,20.0,30.0,0,1,"1.01224"
L,sys8,down_bdecay,5,0,2.5,20.0,30.0,0,1,"1.01134"
L,sys8,central,5,0,2.5,30.0,50.0,0,1,"0.992776"
L,sys8,down,5,0,2.5,30.0,50.0,0,1,"0.971715"
L,sys8,up,5,0,2.5,30.0,50.0,0,1,"1.01384"
L,sys8,down_statistic,5,0,2.5,30.0,50.0,0,1,"0.984313"
L,sys8,up_statistic,5,0,2.5,30.0,50.0,0,1,"1.00124"
L,sys8,up_jetaway,5,0,2.5,30.0,50.0,0,1,"0.978362"
L,sys8,down_jetaway,5,0,2.5,30.0,50.0,0,1,"1.00719"
L,sys8,up_mupt,5,0,2.5,30.0,50.0,0,1,"1.00168"
L,sys8,down_mupt,5,0,2.5,30.0,50.0,0,1,"0.983872"
L,sys8,up_ptrel,5,0,2.5,30.0,50.0,0,1,"1.00182"
L,sys8,down_ptrel,5,0,2.5,30.0,50.0,0,1,"0.983732"
L,sys8,up_gluonsplitting,5,0,2.5,30.0,50.0,0,1,"0.99331"
L,sys8,down_gluonsplitting,5,0,2.5,30.0,50.0,0,1,"0.992242"
L,sys8,up_bfragmentation,5,0,2.5,30.0,50.0,0,1,"0.99384"
L,sys8,down_bfragmentation,5,0,2.5,30.0,50.0,0,1,"0.991712"
L,sys8,up_mudr,5,0,2.5,30.0,50.0,0,1,"0.993098"
L,sys8,down_mudr,5,0,2.5,30.0,50.0,0,1,"0.992454"
L,sys8,up_pileup,5,0,2.5,30.0,50.0,0,1,"0.991594"
L,sys8,down_pileup,5,0,2.5,30.0,50.0,0,1,"0.993958"
L,sys8,up_jes,5,0,2.5,30.0,50.0,0,1,"0.992331"
L,sys8,down_jes,5,0,2.5,30.0,50.0,0,1,"0.993221"
L,sys8,up_bdecay,5,0,2.5,30.0,50.0,0,1,"0.992807"
L,sys8,down_bdecay,5,0,2.5,30.0,50.0,0,1,"0.992745"
L,sys8,central,5,0,2.5,50.0,70.0,0,1,"0.977113"
L,sys8,down,5,0,2.5,50.0,70.0,0,1,"0.950955"
L,sys8,up,5,0,2.5,50.0,70.0,0,1,"1.00327"
L,sys8,down_statistic,5,0,2.5,50.0,70.0,0,1,"0.964709"
L,sys8,up_statistic,5,0,2.5,50.0,70.0,0,1,"0.989517"
L,sys8,up_jetaway,5,0,2.5,50.0,70.0,0,1,"0.968271"
L,sys8,down_jetaway,5,0,2.5,50.0,70.0,0,1,"0.985955"
L,sys8,up_mupt,5,0,2.5,50.0,70.0,0,1,"0.981731"
L,sys8,down_mupt,5,0,2.5,50.0,70.0,0,1,"0.972495"
L,sys8,up_ptrel,5,0,2.5,50.0,70.0,0,1,"0.95663"
L,sys8,down_ptrel,5,0,2.5,50.0,70.0,0,1,"0.997596"
L,sys8,up_gluonsplitting,5,0,2.5,50.0,70.0,0,1,"0.976684"
L,sys8,down_gluonsplitting,5,0,2.5,50.0,70.0,0,1,"0.977542"
L,sys8,up_bfragmentation,5,0,2.5,50.0,70.0,0,1,"0.978926"
L,sys8,down_bfragmentation,5,0,2.5,50.0,70.0,0,1,"0.9753"
L,sys8,up_mudr,5,0,2.5,50.0,70.0,0,1,"0.978231"
L,sys8,down_mudr,5,0,2.5,50.0,70.0,0,1,"0.975995"
L,sys8,up_pileup,5,0,2.5,50.0,70.0,0,1,"0.97851"
L,sys8,down_pileup,5,0,2.5,50.0,70.0,0,1,"0.975716"
L,sys8,up_jes,5,0,2.5,50.0,70.0,0,1,"0.974984"
L,sys8,down_jes,5,0,2.5,50.0,70.0,0,1,"0.979242"
L,sys8,up_bdecay,5,0,2.5,50.0,70.0,0,1,"0.977459"
L,sys8,down_bdecay,5,0,2.5,50.0,70.0,0,1,"0.976767"
L,sys8,central,5,0,2.5,70.0,100.0,0,1,"1.0095"
L,sys8,down,5,0,2.5,70.0,100.0,0,1,"0.983577"
L,sys8,up,5,0,2.5,70.0,100.0,0,1,"1.03542"
L,sys8,down_statistic,5,0,2.5,70.0,100.0,0,1,"0.993386"
L,sys8,up_statistic,5,0,2.5,70.0,100.0,0,1,"1.02561"
L,sys8,up_jetaway,5,0,2.5,70.0,100.0,0,1,"0.992295"
L,sys8,down_jetaway,5,0,2.5,70.0,100.0,0,1,"1.02671"
L,sys8,up_mupt,5,0,2.5,70.0,100.0,0,1,"1.00659"
L,sys8,down_mupt,5,0,2.5,70.0,100.0,0,1,"1.01241"
L,sys8,up_ptrel,5,0,2.5,70.0,100.0,0,1,"1.0002"
L,sys8,down_ptrel,5,0,2.5,70.0,100.0,0,1,"1.0188"
L,sys8,up_gluonsplitting,5,0,2.5,70.0,100.0,0,1,"1.00748"
L,sys8,down_gluonsplitting,5,0,2.5,70.0,100.0,0,1,"1.01152"
L,sys8,up_bfragmentation,5,0,2.5,70.0,100.0,0,1,"1.01165"
L,sys8,down_bfragmentation,5,0,2.5,70.0,100.0,0,1,"1.00735"
L,sys8,up_mudr,5,0,2.5,70.0,100.0,0,1,"1.00777"
L,sys8,down_mudr,5,0,2.5,70.0,100.0,0,1,"1.01123"
L,sys8,up_pileup,5,0,2.5,70.0,100.0,0,1,"1.00915"
L,sys8,down_pileup,5,0,2.5,70.0,100.0,0,1,"1.00985"
L,sys8,up_jes,5,0,2.5,70.0,100.0,0,1,"1.00642"
L,sys8,down_jes,5,0,2.5,70.0,100.0,0,1,"1.01258"
L,sys8,up_bdecay,5,0,2.5,70.0,100.0,0,1,"1.00928"
L,sys8,down_bdecay,5,0,2.5,70.0,100.0,0,1,"1.00972"
L,sys8,central,5,0,2.5,100.0,140.0,0,1,"0.959159"
L,sys8,down,5,0,2.5,100.0,140.0,0,1,"0.913375"
L,sys8,up,5,0,2.5,100.0,140.0,0,1,"1.00494"
L,sys8,down_statistic,5,0,2.5,100.0,140.0,0,1,"0.92777"
L,sys8,up_statistic,5,0,2.5,100.0,140.0,0,1,"0.990548"
L,sys8,up_jetaway,5,0,2.5,100.0,140.0,0,1,"0.976421"
L,sys8,down_jetaway,5,0,2.5,100.0,140.0,0,1,"0.941897"
L,sys8,up_mupt,5,0,2.5,100.0,140.0,0,1,"0.969283"
L,sys8,down_mupt,5,0,2.5,100.0,140.0,0,1,"0.949035"
L,sys8,up_ptrel,5,0,2.5,100.0,140.0,0,1,"0.940965"
L,sys8,down_ptrel,5,0,2.5,100.0,140.0,0,1,"0.977353"
L,sys8,up_gluonsplitting,5,0,2.5,100.0,140.0,0,1,"0.939966"
L,sys8,down_gluonsplitting,5,0,2.5,100.0,140.0,0,1,"0.978352"
L,sys8,up_bfragmentation,5,0,2.5,100.0,140.0,0,1,"0.95734"
L,sys8,down_bfragmentation,5,0,2.5,100.0,140.0,0,1,"0.960978"
L,sys8,up_mudr,5,0,2.5,100.0,140.0,0,1,"0.960551"
L,sys8,down_mudr,5,0,2.5,100.0,140.0,0,1,"0.957767"
L,sys8,up_pileup,5,0,2.5,100.0,140.0,0,1,"0.959351"
L,sys8,down_pileup,5,0,2.5,100.0,140.0,0,1,"0.958967"
L,sys8,up_jes,5,0,2.5,100.0,140.0,0,1,"0.96153"
L,sys8,down_jes,5,0,2.5,100.0,140.0,0,1,"0.956788"
L,sys8,up_bdecay,5,0,2.5,100.0,140.0,0,1,"0.959492"
L,sys8,down_bdecay,5,0,2.5,100.0,140.0,0,1,"0.958826"
M,sys8,central,5,0,2.5,20.0,30.0,0,1,"1.01971"
M,sys8,down,5,0,2.5,20.0,30.0,0,1,"0.88604"
M,sys8,up,5,0,2.5,20.0,30.0,0,1,"1.15338"
M,sys8,down_statistic,5,0,2.5,20.0,30.0,0,1,"0.998322"
M,sys8,up_statistic,5,0,2.5,20.0,30.0,0,1,"1.0411"
M,sys8,up_jetaway,5,0,2.5,20.0,30.0,0,1,"1.08486"
M,sys8,down_jetaway,5,0,2.5,20.0,30.0,0,1,"0.954556"
M,sys8,up_mupt,5,0,2.5,20.0,30.0,0,1,"1.12393"
M,sys8,down_mupt,5,0,2.5,20.0,30.0,0,1,"0.91549"
M,sys8,up_ptrel,5,0,2.5,20.0,30.0,0,1,"1.06569"
M,sys8,down_ptrel,5,0,2.5,20.0,30.0,0,1,"0.97373"
M,sys8,up_gluonsplitting,5,0,2.5,20.0,30.0,0,1,"1.01862"
M,sys8,down_gluonsplitting,5,0,2.5,20.0,30.0,0,1,"1.0208"
M,sys8,up_bfragmentation,5,0,2.5,20.0,30.0,0,1,"1.0248"
M,sys8,down_bfragmentation,5,0,2.5,20.0,30.0,0,1,"1.01462"
M,sys8,up_mudr,5,0,2.5,20.0,30.0,0,1,"1.02014"
M,sys8,down_mudr,5,0,2.5,20.0,30.0,0,1,"1.01928"
M,sys8,up_pileup,5,0,2.5,20.0,30.0,0,1,"1.02155"
