wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,tnp,central,5,0,2.4,30.0,50.0,0.0,1.0,"0.9635531243804001"
L,tnp,central,5,0,2.4,50.0,70.0,0.0,1.0,"1.011064134379669"
L,tnp,central,5,0,2.4,70.0,100.0,0.0,1.0,"1.0032764176190359"
L,tnp,central,5,0,2.4,100.0,140.0,0.0,1.0,"1.0001906037461095"
L,tnp,central,5,0,2.4,140.0,200.0,0.0,1.0,"0.9739199791168932"
L,tnp,central,5,0,2.4,200.0,300.0,0.0,1.0,"0.9583430306388981"
L,tnp,down,5,0,2.4,30.0,50.0,0.0,1.0,"0.9635531243804001-0.08380529052781761"
L,tnp,down,5,0,2.4,50.0,70.0,0.0,1.0,"1.011064134379669-0.06327569039565048"
L,tnp,down,5,0,2.4,70.0,100.0,0.0,1.0,"1.0032764176190359-0.03562224279253366"
L,tnp,down,5,0,2.4,100.0,140.0,0.0,1.0,"1.0001906037461095-0.02547335521086912"
L,tnp,down,5,0,2.4,140.0,200.0,0.0,1.0,"0.9739199791168932-0.02714438059735665"
L,tnp,down,5,0,2.4,200.0,300.0,0.0,1.0,"0.9583430306388981-0.041967220721490575"
L,tnp,up,5,0,2.4,30.0,50.0,0.0,1.0,"0.9635531243804001+0.08380529052781761"
L,tnp,up,5,0,2.4,50.0,70.0,0.0,1.0,"1.011064134379669+0.06327569039565048"
L,tnp,up,5,0,2.4,70.0,100.0,0.0,1.0,"1.0032764176190359+0.03562224279253366"
L,tnp,up,5,0,2.4,100.0,140.0,0.0,1.0,"1.0001906037461095+0.02547335521086912"
L,tnp,up,5,0,2.4,140.0,200.0,0.0,1.0,"0.9739199791168932+0.02714438059735665"
L,tnp,up,5,0,2.4,200.0,300.0,0.0,1.0,"0.9583430306388981+0.041967220721490575"
L,tnp,down_statistic,5,0,2.4,30.0,50.0,0.0,1.0,"0.9635531243804001-0.07489737079233555"
L,tnp,down_statistic,5,0,2.4,50.0,70.0,0.0,1.0,"1.011064134379669-0.05726557671591743"
L,tnp,down_statistic,5,0,2.4,70.0,100.0,0.0,1.0,"1.0032764176190359-0.03357816689508938"
L,tnp,down_statistic,5,0,2.4,100.0,140.0,0.0,1.0,"1.0001906037461095-0.024868405817014962"
L,tnp,down_statistic,5,0,2.4,140.0,200.0,0.0,1.0,"0.9739199791168932-0.026144104689156195"
L,tnp,down_statistic,5,0,2.4,200.0,300.0,0.0,1.0,"0.9583430306388981-0.041174095182352176"
L,tnp,up_statistic,5,0,2.4,30.0,50.0,0.0,1.0,"0.9635531243804001+0.07489737079233555"
L,tnp,up_statistic,5,0,2.4,50.0,70.0,0.0,1.0,"1.011064134379669+0.05726557671591743"
L,tnp,up_statistic,5,0,2.4,70.0,100.0,0.0,1.0,"1.0032764176190359+0.03357816689508938"
