wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,light,central,0,0,2.5,20,1000,0,1,"-7.41331+8.88799*x/(0.355792+x)+-0.000679134*x+3.38141e-07*x*x"
L,light,down,0,0,2.5,20,1000,0,1,"(-7.41331+8.88799*x/(0.355792+x)+-0.000679134*x+3.38141e-07*x*x)*(1-(0.0354642+0.000281659*x+-6.82073e-07*x*x+4.09955e-10*x*x*x))"
L,light,down_correlated,0,0,2.5,20,1000,0,1,"(-7.41331+8.88799*x/(0.355792+x)+-0.000679134*x+3.38141e-07*x*x)*(1-(0.031513+0.00029504*x+-7.07256e-07*x*x+4.22226e-10*x*x*x))"
L,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(-7.41331+8.88799*x/(0.355792+x)+-0.000679134*x+3.38141e-07*x*x)*(1-(0.0144478+8.17276e-07*x+-1.95217e-09*x*x+1.26744e-12*x*x*x))"
L,light,up,0,0,2.5,20,1000,0,1,"(-7.41331+8.88799*x/(0.355792+x)+-0.000679134*x+3.38141e-07*x*x)*(1+(0.0354642+0.000281659*x+-6.82073e-07*x*x+4.09955e-10*x*x*x))"
L,light,up_correlated,0,0,2.5,20,1000,0,1,"(-7.41331+8.88799*x/(0.355792+x)+-0.000679134*x+3.38141e-07*x*x)*(1+(0.031513+0.00029504*x+-7.07256e-07*x*x+4.22226e-10*x*x*x))"
L,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(-7.41331+8.88799*x/(0.355792+x)+-0.000679134*x+3.38141e-07*x*x)*(1+(0.0144478+8.17276e-07*x+-1.95217e-09*x*x+1.26744e-12*x*x*x))"
M,light,central,0,0,2.5,20,1000,0,1,"1.53051+-0.000885127*x+3.97569e-07*x*x+9.71524e-11*x*x*x"
M,light,down,0,0,2.5,20,1000,0,1,"(1.53051+-0.000885127*x+3.97569e-07*x*x+9.71524e-11*x*x*x)*(1-(0.100331+0.000627809*x+-1.37e-06*x*x+7.70871e-10*x*x*x))"
M,light,down_correlated,0,0,2.5,20,1000,0,1,"(1.53051+-0.000885127*x+3.97569e-07*x*x+9.71524e-11*x*x*x)*(1-(0.0838404+0.000676118*x+-1.45884e-06*x*x+8.12958e-10*x*x*x))"
M,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(1.53051+-0.000885127*x+3.97569e-07*x*x+9.71524e-11*x*x*x)*(1-(0.0537565+3.16202e-06*x+-7.41628e-09*x*x+4.77052e-12*x*x*x))"
M,light,up,0,0,2.5,20,1000,0,1,"(1.53051+-0.000885127*x+3.97569e-07*x*x+9.71524e-11*x*x*x)*(1+(0.100331+0.000627809*x+-1.37e-06*x*x+7.70871e-10*x*x*x))"
M,light,up_correlated,0,0,2.5,20,1000,0,1,"(1.53051+-0.000885127*x+3.97569e-07*x*x+9.71524e-11*x*x*x)*(1+(0.0838404+0.000676118*x+-1.45884e-06*x*x+8.12958e-10*x*x*x))"
M,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(1.53051+-0.000885127*x+3.97569e-07*x*x+9.71524e-11*x*x*x)*(1+(0.0537565+3.16202e-06*x+-7.41628e-09*x*x+4.77052e-12*x*x*x))"
T,light,central,0,0,2.5,20,1000,0,1,"1.57364+-0.00245123*x+3.87116e-06*x*x+-2.11674e-09*x*x*x"
T,light,down,0,0,2.5,20,1000,0,1,"(1.57364+-0.00245123*x+3.87116e-06*x*x+-2.11674e-09*x*x*x)*(1-(0.207555+0.000550314*x+-1.2561e-06*x*x+7.439e-10*x*x*x))"
T,light,down_correlated,0,0,2.5,20,1000,0,1,"(1.57364+-0.00245123*x+3.87116e-06*x*x+-2.11674e-09*x*x*x)*(1-(0.17923+0.000593514*x+-1.30773e-06*x*x+7.48743e-10*x*x*x))"
T,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(1.57364+-0.00245123*x+3.87116e-06*x*x+-2.11674e-09*x*x*x)*(1-(0.0926694+5.29294e-06*x+-1.24072e-08*x*x+7.97496e-12*x*x*x))"
T,light,up,0,0,2.5,20,1000,0,1,"(1.57364+-0.00245123*x+3.87116e-06*x*x+-2.11674e-09*x*x*x)*(1+(0.207555+0.000550314*x+-1.2561e-06*x*x+7.439e-10*x*x*x))"
T,light,up_correlated,0,0,2.5,20,1000,0,1,"(1.57364+-0.00245123*x+3.87116e-06*x*x+-2.11674e-09*x*x*x)*(1+(0.17923+0.000593514*x+-1.30773e-06*x*x+7.48743e-10*x*x*x))"
T,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(1.57364+-0.00245123*x+3.87116e-06*x*x+-2.11674e-09*x*x*x)*(1+(0.0926694+5.29294e-06*x+-1.24072e-08*x*x+7.97496e-12*x*x*x))"
XT,light,central,0,0,2.5,20,1000,0,1,"1.47495+-0.00203711*x+2.80819e-06*x*x+-1.34664e-09*x*x*x"
XT,light,down,0,0,2.5,20,1000,0,1,"(1.47495+-0.00203711*x+2.80819e-06*x*x+-1.34664e-09*x*x*x)*(1-(0.210414+0.000464338*x+-1.22995e-06*x*x+7.93072e-10*x*x*x))"
XT,light,down_correlated,0,0,2.5,20,1000,0,1,"(1.47495+-0.00203711*x+2.80819e-06*x*x+-1.34664e-09*x*x*x)*(1-(0.166603+0.000526757*x+-1.27861e-06*x*x+7.63216e-10*x*x*x))"
XT,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(1.47495+-0.00203711*x+2.80819e-06*x*x+-1.34664e-09*x*x*x)*(1-(0.104505+5.96897e-06*x+-1.39919e-08*x*x+8.99355e-12*x*x*x))"
XT,light,up,0,0,2.5,20,1000,0,1,"(1.47495+-0.00203711*x+2.80819e-06*x*x+-1.34664e-09*x*x*x)*(1+(0.210414+0.000464338*x+-1.22995e-06*x*x+7.93072e-10*x*x*x))"
XT,light,up_correlated,0,0,2.5,20,1000,0,1,"(1.47495+-0.00203711*x+2.80819e-06*x*x+-1.34664e-09*x*x*x)*(1+(0.166603+0.000526757*x+-1.27861e-06*x*x+7.63216e-10*x*x*x))"
XT,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(1.47495+-0.00203711*x+2.80819e-06*x*x+-1.34664e-09*x*x*x)*(1+(0.104505+5.96897e-06*x+-1.39919e-08*x*x+8.99355e-12*x*x*x))"
XXT,light,central,0,0,2.5,20,1000,0,1,"0.788026+0.00020582*x+-2.29128e-07*x*x"
