wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,light,central,0,0,2.5,20,1000,0,1,"-2.48411+4.08955*x/(3.00654+x)+-0.000687893*x+3.1353e-07*x*x"
L,light,down,0,0,2.5,20,1000,0,1,"(-2.48411+4.08955*x/(3.00654+x)+-0.000687893*x+3.1353e-07*x*x)*(1-(0.0565402+0.000341752*x+-7.32223e-07*x*x+4.1188e-10*x*x*x))"
L,light,down_correlated,0,0,2.5,20,1000,0,1,"(-2.48411+4.08955*x/(3.00654+x)+-0.000687893*x+3.1353e-07*x*x)*(1-(0.0492054+0.000369178*x+-7.84612e-07*x*x+4.39557e-10*x*x*x))"
L,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(-2.48411+4.08955*x/(3.00654+x)+-0.000687893*x+3.1353e-07*x*x)*(1-(0.0247775+1.4016e-06*x+-3.34791e-09*x*x+2.17362e-12*x*x*x))"
L,light,up,0,0,2.5,20,1000,0,1,"(-2.48411+4.08955*x/(3.00654+x)+-0.000687893*x+3.1353e-07*x*x)*(1+(0.0565402+0.000341752*x+-7.32223e-07*x*x+4.1188e-10*x*x*x))"
L,light,up_correlated,0,0,2.5,20,1000,0,1,"(-2.48411+4.08955*x/(3.00654+x)+-0.000687893*x+3.1353e-07*x*x)*(1+(0.0492054+0.000369178*x+-7.84612e-07*x*x+4.39557e-10*x*x*x))"
L,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(-2.48411+4.08955*x/(3.00654+x)+-0.000687893*x+3.1353e-07*x*x)*(1+(0.0247775+1.4016e-06*x+-3.34791e-09*x*x+2.17362e-12*x*x*x))"
M,light,central,0,0,2.5,20,1000,0,1,"0.637655+1.14813*x/(23.5428+x)+-0.00122973*x+6.47229e-07*x*x"
M,light,down,0,0,2.5,20,1000,0,1,"(0.637655+1.14813*x/(23.5428+x)+-0.00122973*x+6.47229e-07*x*x)*(1-(0.155519+0.000286279*x+-6.18215e-07*x*x+3.38376e-10*x*x*x))"
M,light,down_correlated,0,0,2.5,20,1000,0,1,"(0.637655+1.14813*x/(23.5428+x)+-0.00122973*x+6.47229e-07*x*x)*(1-(0.143638+0.000303142*x+-6.50049e-07*x*x+3.53627e-10*x*x*x))"
M,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(0.637655+1.14813*x/(23.5428+x)+-0.00122973*x+6.47229e-07*x*x)*(1-(0.0565759+3.32786e-06*x+-7.80525e-09*x*x+5.02072e-12*x*x*x))"
M,light,up,0,0,2.5,20,1000,0,1,"(0.637655+1.14813*x/(23.5428+x)+-0.00122973*x+6.47229e-07*x*x)*(1+(0.155519+0.000286279*x+-6.18215e-07*x*x+3.38376e-10*x*x*x))"
