wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,light,central,0,0,2.5,20,1000,0,1,"-6.3912+8.00463*x/(1.83549+x)+-0.000890501*x+4.51734e-07*x*x"
L,light,down,0,0,2.5,20,1000,0,1,"(-6.3912+8.00463*x/(1.83549+x)+-0.000890501*x+4.51734e-07*x*x)*(1-(0.02912+0.000340589*x+-7.52811e-07*x*x+4.38024e-10*x*x*x))"
L,light,down_correlated,0,0,2.5,20,1000,0,1,"(-6.3912+8.00463*x/(1.83549+x)+-0.000890501*x+4.51734e-07*x*x)*(1-(0.0251459+0.000349756*x+-7.65125e-07*x*x+4.41579e-10*x*x*x))"
L,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(-6.3912+8.00463*x/(1.83549+x)+-0.000890501*x+4.51734e-07*x*x)*(1-(0.0155512+8.79692e-07*x+-2.10126e-09*x*x+1.36423e-12*x*x*x))"
L,light,up,0,0,2.5,20,1000,0,1,"(-6.3912+8.00463*x/(1.83549+x)+-0.000890501*x+4.51734e-07*x*x)*(1+(0.02912+0.000340589*x+-7.52811e-07*x*x+4.38024e-10*x*x*x))"
L,light,up_correlated,0,0,2.5,20,1000,0,1,"(-6.3912+8.00463*x/(1.83549+x)+-0.000890501*x+4.51734e-07*x*x)*(1+(0.0251459+0.000349756*x+-7.65125e-07*x*x+4.41579e-10*x*x*x))"
L,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(-6.3912+8.00463*x/(1.83549+x)+-0.000890501*x+4.51734e-07*x*x)*(1+(0.0155512+8.79692e-07*x+-2.10126e-09*x*x+1.36423e-12*x*x*x))"
M,light,central,0,0,2.5,20,1000,0,1,"-25.2957+26.9395*x/(0.443375+x)+-0.00114787*x+7.06335e-07*x*x"
M,light,down,0,0,2.5,20,1000,0,1,"(-25.2957+26.9395*x/(0.443375+x)+-0.00114787*x+7.06335e-07*x*x)*(1-(0.101474+0.000536419*x+-1.11981e-06*x*x+6.19246e-10*x*x*x))"
M,light,down_correlated,0,0,2.5,20,1000,0,1,"(-25.2957+26.9395*x/(0.443375+x)+-0.00114787*x+7.06335e-07*x*x)*(1-(0.0806351+0.000598655*x+-1.23795e-06*x*x+6.80689e-10*x*x*x))"
M,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(-25.2957+26.9395*x/(0.443375+x)+-0.00114787*x+7.06335e-07*x*x)*(1-(0.0596566+3.50907e-06*x+-8.23027e-09*x*x+5.29412e-12*x*x*x))"
M,light,up,0,0,2.5,20,1000,0,1,"(-25.2957+26.9395*x/(0.443375+x)+-0.00114787*x+7.06335e-07*x*x)*(1+(0.101474+0.000536419*x+-1.11981e-06*x*x+6.19246e-10*x*x*x))"
M,light,up_correlated,0,0,2.5,20,1000,0,1,"(-25.2957+26.9395*x/(0.443375+x)+-0.00114787*x+7.06335e-07*x*x)*(1+(0.0806351+0.000598655*x+-1.23795e-06*x*x+6.80689e-10*x*x*x))"
M,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(-25.2957+26.9395*x/(0.443375+x)+-0.00114787*x+7.06335e-07*x*x)*(1+(0.0596566+3.50907e-06*x+-8.23027e-09*x*x+5.29412e-12*x*x*x))"
T,light,central,0,0,2.5,20,1000,0,1,"1.42832+-0.00164313*x+2.55524e-06*x*x+-1.29375e-09*x*x*x"
T,light,down,0,0,2.5,20,1000,0,1,"(1.42832+-0.00164313*x+2.55524e-06*x*x+-1.29375e-09*x*x*x)*(1-(0.203957+0.000468447*x+-9.91079e-07*x*x+5.5725e-10*x*x*x))"
T,light,down_correlated,0,0,2.5,20,1000,0,1,"(1.42832+-0.00164313*x+2.55524e-06*x*x+-1.29375e-09*x*x*x)*(1-(0.170352+0.000521556*x+-1.06589e-06*x*x+5.8287e-10*x*x*x))"
T,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(1.42832+-0.00164313*x+2.55524e-06*x*x+-1.29375e-09*x*x*x)*(1-(0.0994456+5.67997e-06*x+-1.33145e-08*x*x+8.55811e-12*x*x*x))"
T,light,up,0,0,2.5,20,1000,0,1,"(1.42832+-0.00164313*x+2.55524e-06*x*x+-1.29375e-09*x*x*x)*(1+(0.203957+0.000468447*x+-9.91079e-07*x*x+5.5725e-10*x*x*x))"
T,light,up_correlated,0,0,2.5,20,1000,0,1,"(1.42832+-0.00164313*x+2.55524e-06*x*x+-1.29375e-09*x*x*x)*(1+(0.170352+0.000521556*x+-1.06589e-06*x*x+5.8287e-10*x*x*x))"
T,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(1.42832+-0.00164313*x+2.55524e-06*x*x+-1.29375e-09*x*x*x)*(1+(0.0994456+5.67997e-06*x+-1.33145e-08*x*x+8.55811e-12*x*x*x))"
XT,light,central,0,0,2.5,20,1000,0,1,"1.40572+-0.00181893*x+2.78847e-06*x*x+-1.33134e-09*x*x*x"
XT,light,down,0,0,2.5,20,1000,0,1,"(1.40572+-0.00181893*x+2.78847e-06*x*x+-1.33134e-09*x*x*x)*(1-(0.17535+0.000610121*x+-1.40498e-06*x*x+8.48516e-10*x*x*x))"
XT,light,down_correlated,0,0,2.5,20,1000,0,1,"(1.40572+-0.00181893*x+2.78847e-06*x*x+-1.33134e-09*x*x*x)*(1-(0.121889+0.000737599*x+-1.59088e-06*x*x+9.18437e-10*x*x*x))"
XT,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(1.40572+-0.00181893*x+2.78847e-06*x*x+-1.33134e-09*x*x*x)*(1-(0.100653+5.74892e-06*x+-1.34761e-08*x*x+8.662e-12*x*x*x))"
XT,light,up,0,0,2.5,20,1000,0,1,"(1.40572+-0.00181893*x+2.78847e-06*x*x+-1.33134e-09*x*x*x)*(1+(0.17535+0.000610121*x+-1.40498e-06*x*x+8.48516e-10*x*x*x))"
XT,light,up_correlated,0,0,2.5,20,1000,0,1,"(1.40572+-0.00181893*x+2.78847e-06*x*x+-1.33134e-09*x*x*x)*(1+(0.121889+0.000737599*x+-1.59088e-06*x*x+9.18437e-10*x*x*x))"
