wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
-,shape,central,4,0,2.5,20.0,10000,0.0,1.1,"1.0"
-,shape,central,5,0,2.5,20,40,0,0.088,"1.4267987596191618"
-,shape,central,5,0,2.5,20,40,0.088,0.278,"10.950753671572542*(x-0.088)*(x-0.088)*(x-0.088)+2.5638018303322228*(x-0.088)*(x-0.088)-2.420226664085746*(x-0.088)+1.4267987596191618"
-,shape,central,5,0,2.5,20,40,0.278,0.386,"-20.10538057987397*(x-0.278)*(x-0.278)*(x-0.278)+3.1554353199669425*(x-0.278)*(x-0.278)-0.2600153459281944*(x-0.278)+1.1346201589511793"
-,shape,central,5,0,2.5,20,40,0.386,0.496,"266.55521554162715*(x-0.386)*(x-0.386)*(x-0.386)-42.699934227703544*(x-0.386)*(x-0.386)-0.2819687940662847*(x-0.386)+1.1180165099819945"
-,shape,central,5,0,2.5,20,40,0.496,0.605,"-129.81288635297807*(x-0.496)*(x-0.496)*(x-0.496)+21.22440691871191*(x-0.496)*(x-0.496)+0.0*(x-0.496)+0.9251157303653961"
-,shape,central,5,0,2.5,20,40,0.605,0.722,"131.545267630159*(x-0.605)*(x-0.605)*(x-0.605)-23.086194469092902*(x-0.605)*(x-0.605)+0.0*(x-0.605)+1.0091714565658014"
-,shape,central,5,0,2.5,20,40,0.722,0.84,"-53.657782592217536*(x-0.722)*(x-0.722)*(x-0.722)+9.497427518822503*(x-0.722)*(x-0.722)+0.0*(x-0.722)+0.9038291512033305"
-,shape,central,5,0,2.5,20,40,0.84,0.973,"17.051659921527254*(x-0.84)*(x-0.84)*(x-0.84)-10.257710138778062*(x-0.84)*(x-0.84)+0.0*(x-0.84)+0.9479098781273587"
-,shape,central,5,0,2.5,20,40,0.973,1.1,"0.8065776095253157"
-,shape,central,5,0,2.5,40,60,0,0.089,"1.2189730884664935"
-,shape,central,5,0,2.5,40,60,0.089,0.294,"4.077766332975253*(x-0.089)*(x-0.089)*(x-0.089)+1.3769579597686863*(x-0.089)*(x-0.089)-1.3102229797465805*(x-0.089)+1.2189730884664935"
-,shape,central,5,0,2.5,40,60,0.294,0.411,"4.126194208447536*(x-0.294)*(x-0.294)*(x-0.294)+0.26545046262072264*(x-0.294)*(x-0.294)-0.23156582581156399*(x-0.294)+1.043374502557097"
-,shape,central,5,0,2.5,40,60,0.411,0.525,"-52.222148428478484*(x-0.411)*(x-0.411)*(x-0.411)+8.929987381269822*(x-0.411)*(x-0.411)+0.0*(x-0.411)+1.0265236186047335"
