wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
-,shape,central,4,0,2.5,20.0,10000,0.0,1.1,"1.0"
-,shape,central,5,0,2.5,20,40,0,0.092,"1.0395176436884626"
-,shape,central,5,0,2.5,20,40,0.092,0.286,"-0.14503476464826437*(x-0.092)*(x-0.092)*(x-0.092)+0.25238710603847625*(x-0.092)*(x-0.092)+0.0*(x-0.092)+1.0395176436884626"
-,shape,central,5,0,2.5,20,40,0.286,0.396,"-7.251936339961809*(x-0.286)*(x-0.286)*(x-0.286)+2.7721681677369268*(x-0.286)*(x-0.286)+0.08155061193602253*(x-0.286)+1.04795753030128"
-,shape,central,5,0,2.5,20,40,0.396,0.504,"-92.24316062233189*(x-0.396)*(x-0.396)*(x-0.396)+12.961066466662519*(x-0.396)*(x-0.396)+0.42818231969753284*(x-0.396)+1.0808190051753703"
-,shape,central,5,0,2.5,20,40,0.504,0.614,"89.92653821870886*(x-0.504)*(x-0.504)*(x-0.504)-15.140751794948418*(x-0.504)*(x-0.504)+0.0*(x-0.504)+1.1620407586159764"
-,shape,central,5,0,2.5,20,40,0.614,0.727,"-4.878084294579841*(x-0.614)*(x-0.614)*(x-0.614)+0.829318688606461*(x-0.614)*(x-0.614)-0.06663205754952077*(x-0.614)+1.0985298842662021"
-,shape,central,5,0,2.5,20,40,0.727,0.838,"26.246891251577154*(x-0.727)*(x-0.727)*(x-0.727)-6.947439548903131*(x-0.727)*(x-0.727)-0.06607080899693057*(x-0.727)+1.094551458903526"
-,shape,central,5,0,2.5,20,40,0.838,0.978,"1.5584554330004672*(x-0.838)*(x-0.838)*(x-0.838)-1.8321839373995208*(x-0.838)*(x-0.838)-0.6382385475213792*(x-0.838)+1.0375142585521169"
-,shape,central,5,0,2.5,20,40,0.978,1.1,"0.9165264584342463"
-,shape,central,5,0,2.5,40,60,0,0.097,"1.2337718760280623"
-,shape,central,5,0,2.5,40,60,0.097,0.312,"0.45539671405387916*(x-0.097)*(x-0.097)*(x-0.097)+1.1371912811338074*(x-0.097)*(x-0.097)-1.0640418912532368*(x-0.097)+1.2337718760280623"
-,shape,central,5,0,2.5,40,60,0.312,0.422,"-9.00103466329898*(x-0.312)*(x-0.312)*(x-0.312)+2.033845268462454*(x-0.312)*(x-0.312)-0.511897501044278*(x-0.312)+1.0620954396970619"
-,shape,central,5,0,2.5,40,60,0.422,0.538,"28.20578697635657*(x-0.422)*(x-0.422)*(x-0.422)-3.2216470189709985*(x-0.422)*(x-0.422)-0.3911891002602911*(x-0.422)+1.018415865193736"
-,shape,central,5,0,2.5,40,60,0.538,0.642,"-54.659054902072185*(x-0.538)*(x-0.538)*(x-0.538)+10.75571661092973*(x-0.538)*(x-0.538)+0.0*(x-0.538)+0.9737137473445157"
-,shape,central,5,0,2.5,40,60,0.642,0.756,"-27.7624817623356*(x-0.642)*(x-0.642)*(x-0.642)+2.7139982339429585*(x-0.642)*(x-0.642)+0.46361204161094577*(x-0.642)+1.028563575074967"
-,shape,central,5,0,2.5,40,60,0.756,0.865,"64.21915433821972*(x-0.756)*(x-0.756)*(x-0.756)-13.666715223631575*(x-0.756)*(x-0.756)+0.0*(x-0.756)+1.0755551305868398"
-,shape,central,5,0,2.5,40,60,0.865,0.985,"0.20168991773934042*(x-0.865)*(x-0.865)*(x-0.865)+0.2580095683066725*(x-0.865)*(x-0.865)-0.690380600674518*(x-0.865)+0.9963465542383434"
-,shape,central,5,0,2.5,40,60,0.985,1.1,"0.9175647401188711"
-,shape,central,5,0,2.5,60,80,0,0.086,"1.1958971837901005"
