wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
-,shape,central,4,0,2.5,20.0,10000,0.0,1.1,"1.0"
-,shape,central,5,0,2.5,20,40,0,0.11,"1.001326523755413"
-,shape,central,5,0,2.5,20,40,0.11,0.32,"-3.669225899493535*(x-0.11)*(x-0.11)*(x-0.11)+2.706331294890652*(x-0.11)*(x-0.11)+0.3251258786590896*(x-0.11)+1.001326523755413"
-,shape,central,5,0,2.5,20,40,0.32,0.409,"-207.61816269574135*(x-0.32)*(x-0.32)*(x-0.32)+22.23193238274568*(x-0.32)*(x-0.32)+0.9763464360101688*(x-0.32)+1.1549714673232898"
-,shape,central,5,0,2.5,20,40,0.409,0.515,"246.78361079817375*(x-0.409)*(x-0.409)*(x-0.409)-42.08131237557984*(x-0.409)*(x-0.409)+0.0*(x-0.409)+1.2716010679944694"
-,shape,central,5,0,2.5,20,40,0.515,0.626,"10.272257498226057*(x-0.515)*(x-0.515)*(x-0.515)+1.0043370132033835*(x-0.515)*(x-0.515)-0.6026562708380808*(x-0.515)+1.092698671140852"
-,shape,central,5,0,2.5,20,40,0.626,0.737,"-124.83280870718728*(x-0.626)*(x-0.626)*(x-0.626)+20.78466264974668*(x-0.626)*(x-0.626)+0.0*(x-0.626)+1.0522269192120604"
-,shape,central,5,0,2.5,20,40,0.737,0.85,"77.88329263930912*(x-0.737)*(x-0.737)*(x-0.737)-16.987738972938452*(x-0.737)*(x-0.737)+0.0*(x-0.737)+1.1375895287145699"
-,shape,central,5,0,2.5,20,40,0.85,0.983,"0.4901121563004511*(x-0.85)*(x-0.85)*(x-0.85)+0.4067932597677326*(x-0.85)*(x-0.85)-0.8557537167500757*(x-0.85)+1.0330506590685"
-,shape,central,5,0,2.5,20,40,0.983,1.1,"0.9275842367058337"
-,shape,central,5,0,2.5,40,60,0,0.1,"1.1810556660727742"
-,shape,central,5,0,2.5,40,60,0.1,0.314,"5.176316281085253*(x-0.1)*(x-0.1)*(x-0.1)-3.323195052456732*(x-0.1)*(x-0.1)+0.7111637412257407*(x-0.1)+1.1810556660727742"
-,shape,central,5,0,2.5,40,60,0.314,0.429,"123.60475577156826*(x-0.314)*(x-0.314)*(x-0.314)-23.89444800897022*(x-0.314)*(x-0.314)+0.0*(x-0.314)+1.2317853462802104"
-,shape,central,5,0,2.5,40,60,0.429,0.546,"15.538083209796639*(x-0.429)*(x-0.429)*(x-0.429)-0.1982825057715339*(x-0.429)*(x-0.429)-0.5917043568261802*(x-0.429)+1.1037686542956633"
-,shape,central,5,0,2.5,40,60,0.546,0.657,"-28.665541512780095*(x-0.546)*(x-0.546)*(x-0.546)+4.772812661877885*(x-0.546)*(x-0.546)+0.0*(x-0.546)+1.0567109513893858"
-,shape,central,5,0,2.5,40,60,0.657,0.768,"43.515075532965575*(x-0.657)*(x-0.657)*(x-0.657)-8.350561200909505*(x-0.657)*(x-0.657)+0.0*(x-0.657)+1.076312892991718"
-,shape,central,5,0,2.5,40,60,0.768,0.876,"-15.575185974997094*(x-0.768)*(x-0.768)*(x-0.768)+2.294122379490525*(x-0.768)*(x-0.768)-0.24537684967690326*(x-0.768)+1.0329381947015375"
-,shape,central,5,0,2.5,40,60,0.876,0.988,"16.9772751841317*(x-0.876)*(x-0.876)*(x-0.876)-6.844906505592757*(x-0.876)*(x-0.876)-0.2948533233440481*(x-0.876)+1.0135758896958738"
-,shape,central,5,0,2.5,40,60,0.988,1.1,"0.9185416595450766"
-,shape,central,5,0,2.5,60,80,0,0.106,"1.1495074404361856"
-,shape,central,5,0,2.5,60,80,0.106,0.34,"4.524186479468329*(x-0.106)*(x-0.106)*(x-0.106)-3.1759789085867682*(x-0.106)*(x-0.106)+0.7431790646093038*(x-0.106)+1.1495074404361856"
-,shape,central,5,0,2.5,60,80,0.34,0.459,"71.69964942971806*(x-0.34)*(x-0.34)*(x-0.34)-12.798387423204673*(x-0.34)*(x-0.34)+0.0*(x-0.34)+1.2074754074757112"
-,shape,central,5,0,2.5,60,80,0.459,0.581,"-49.343903654939254*(x-0.459)*(x-0.459)*(x-0.459)+9.804553259506443*(x-0.459)*(x-0.459)+0.0*(x-0.459)+1.1470627527090442"
-,shape,central,5,0,2.5,60,80,0.581,0.697,"-3.7248008502239873*(x-0.581)*(x-0.581)*(x-0.581)-0.1665700370576888*(x-0.581)*(x-0.581)+0.1890070093192257*(x-0.581)+1.203392694659524"
-,shape,central,5,0,2.5,60,80,0.697,0.803,"292.98995634792*(x-0.697)*(x-0.697)*(x-0.697)-48.60560258405594*(x-0.697)*(x-0.697)+0.0*(x-0.697)+1.2172621145739946"
-,shape,central,5,0,2.5,60,80,0.803,0.901,"-32.62592803428003*(x-0.803)*(x-0.803)*(x-0.803)+5.070146568120719*(x-0.803)*(x-0.803)-0.4282822992441622*(x-0.803)+1.0200852897892165"
-,shape,central,5,0,2.5,60,80,0.901,0.99,"18.36862989095988*(x-0.901)*(x-0.901)*(x-0.901)-6.07882407337569*(x-0.901)*(x-0.901)-0.37455181041617736*(x-0.901)+0.9961000496450798"
-,shape,central,5,0,2.5,60,80,0.99,1.1,"0.9275638876784313"
-,shape,central,5,0,2.5,80,120,0,0.092,"1.3266807891226327"
