wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,tnp,central,5,0,2.4,30.0,50.0,0.0,1.0,"0.9475955769261065"
L,tnp,central,5,0,2.4,50.0,70.0,0.0,1.0,"1.005725211979985"
L,tnp,central,5,0,2.4,70.0,100.0,0.0,1.0,"1.0187235727893464"
L,tnp,central,5,0,2.4,100.0,140.0,0.0,1.0,"1.0222485892728241"
L,tnp,central,5,0,2.4,140.0,200.0,0.0,1.0,"1.018578932895356"
L,tnp,central,5,0,2.4,200.0,300.0,0.0,1.0,"0.8346646312642175"
L,tnp,down,5,0,2.4,30.0,50.0,0.0,1.0,"0.9475955769261065-0.1815958079725163"
L,tnp,down,5,0,2.4,50.0,70.0,0.0,1.0,"1.005725211979985-0.13992877231405254"
L,tnp,down,5,0,2.4,70.0,100.0,0.0,1.0,"1.0187235727893464-0.09137990086172079"
L,tnp,down,5,0,2.4,100.0,140.0,0.0,1.0,"1.0222485892728241-0.08147155432192285"
L,tnp,down,5,0,2.4,140.0,200.0,0.0,1.0,"1.018578932895356-0.10236405783623208"
L,tnp,down,5,0,2.4,200.0,300.0,0.0,1.0,"0.8346646312642175-0.25961498246315684"
L,tnp,up,5,0,2.4,30.0,50.0,0.0,1.0,"0.9475955769261065+0.1815958079725163"
L,tnp,up,5,0,2.4,50.0,70.0,0.0,1.0,"1.005725211979985+0.13992877231405254"
L,tnp,up,5,0,2.4,70.0,100.0,0.0,1.0,"1.0187235727893464+0.09137990086172079"
L,tnp,up,5,0,2.4,100.0,140.0,0.0,1.0,"1.0222485892728241+0.08147155432192285"
L,tnp,up,5,0,2.4,140.0,200.0,0.0,1.0,"1.018578932895356+0.10236405783623208"
L,tnp,up,5,0,2.4,200.0,300.0,0.0,1.0,"0.8346646312642175+0.25961498246315684"
L,tnp,down_statistic,5,0,2.4,30.0,50.0,0.0,1.0,"0.9475955769261065-0.16397753683502908"
L,tnp,down_statistic,5,0,2.4,50.0,70.0,0.0,1.0,"1.005725211979985-0.126956653736651"
L,tnp,down_statistic,5,0,2.4,70.0,100.0,0.0,1.0,"1.0187235727893464-0.08688469540209841"
L,tnp,down_statistic,5,0,2.4,100.0,140.0,0.0,1.0,"1.0222485892728241-0.0799385787511142"
L,tnp,down_statistic,5,0,2.4,140.0,200.0,0.0,1.0,"1.018578932895356-0.10054352839690121"
L,tnp,down_statistic,5,0,2.4,200.0,300.0,0.0,1.0,"0.8346646312642175-0.25425566696878443"
L,tnp,up_statistic,5,0,2.4,30.0,50.0,0.0,1.0,"0.9475955769261065+0.16397753683502908"
L,tnp,up_statistic,5,0,2.4,50.0,70.0,0.0,1.0,"1.005725211979985+0.126956653736651"
L,tnp,up_statistic,5,0,2.4,70.0,100.0,0.0,1.0,"1.0187235727893464+0.08688469540209841"
L,tnp,up_statistic,5,0,2.4,100.0,140.0,0.0,1.0,"1.0222485892728241+0.0799385787511142"
L,tnp,up_statistic,5,0,2.4,140.0,200.0,0.0,1.0,"1.018578932895356+0.10054352839690121"
L,tnp,up_statistic,5,0,2.4,200.0,300.0,0.0,1.0,"0.8346646312642175+0.25425566696878443"
L,tnp,down_bkg,5,0,2.4,30.0,50.0,0.0,1.0,"0.9475955769261065-0.02813214813193672"
L,tnp,down_bkg,5,0,2.4,50.0,70.0,0.0,1.0,"1.005725211979985-0.01846332360892695"
L,tnp,down_bkg,5,0,2.4,70.0,100.0,0.0,1.0,"1.0187235727893464-0.0034501283945404843"
L,tnp,down_bkg,5,0,2.4,100.0,140.0,0.0,1.0,"1.0222485892728241-0.004116744972426716"
L,tnp,down_bkg,5,0,2.4,140.0,200.0,0.0,1.0,"1.018578932895356-0.002802454828396761"
L,tnp,down_bkg,5,0,2.4,200.0,300.0,0.0,1.0,"0.8346646312642175-0.0066399239683510485"
L,tnp,up_bkg,5,0,2.4,30.0,50.0,0.0,1.0,"0.9475955769261065+0.02813214813193672"
L,tnp,up_bkg,5,0,2.4,50.0,70.0,0.0,1.0,"1.005725211979985+0.01846332360892695"
L,tnp,up_bkg,5,0,2.4,70.0,100.0,0.0,1.0,"1.0187235727893464+0.0034501283945404843"
L,tnp,up_bkg,5,0,2.4,100.0,140.0,0.0,1.0,"1.0222485892728241+0.004116744972426716"
L,tnp,up_bkg,5,0,2.4,140.0,200.0,0.0,1.0,"1.018578932895356+0.002802454828396761"
L,tnp,up_bkg,5,0,2.4,200.0,300.0,0.0,1.0,"0.8346646312642175+0.0066399239683510485"
L,tnp,down_jes,5,0,2.4,30.0,50.0,0.0,1.0,"0.9475955769261065-0.03837341645757061"
L,tnp,down_jes,5,0,2.4,50.0,70.0,0.0,1.0,"1.005725211979985-0.022021076439340845"
L,tnp,down_jes,5,0,2.4,70.0,100.0,0.0,1.0,"1.0187235727893464-0.01499746554132554"
L,tnp,down_jes,5,0,2.4,100.0,140.0,0.0,1.0,"1.0222485892728241-0.008032964769124842"
L,tnp,down_jes,5,0,2.4,140.0,200.0,0.0,1.0,"1.018578932895356-0.008053484375672108"
L,tnp,down_jes,5,0,2.4,200.0,300.0,0.0,1.0,"0.8346646312642175-0.032513039633355785"
L,tnp,up_jes,5,0,2.4,30.0,50.0,0.0,1.0,"0.9475955769261065+0.03837341645757061"
L,tnp,up_jes,5,0,2.4,50.0,70.0,0.0,1.0,"1.005725211979985+0.022021076439340845"
L,tnp,up_jes,5,0,2.4,70.0,100.0,0.0,1.0,"1.0187235727893464+0.01499746554132554"
L,tnp,up_jes,5,0,2.4,100.0,140.0,0.0,1.0,"1.0222485892728241+0.008032964769124842"
L,tnp,up_jes,5,0,2.4,140.0,200.0,0.0,1.0,"1.018578932895356+0.008053484375672108"
L,tnp,up_jes,5,0,2.4,200.0,300.0,0.0,1.0,"0.8346646312642175+0.032513039633355785"
L,tnp,down_jer,5,0,2.4,30.0,50.0,0.0,1.0,"0.9475955769261065-0.016457834458622263"
L,tnp,down_jer,5,0,2.4,50.0,70.0,0.0,1.0,"1.005725211979985-0.013426702979259127"
L,tnp,down_jer,5,0,2.4,70.0,100.0,0.0,1.0,"1.0187235727893464-0.012231258008835936"
L,tnp,down_jer,5,0,2.4,100.0,140.0,0.0,1.0,"1.0222485892728241-0.004569358444928348"
L,tnp,down_jer,5,0,2.4,140.0,200.0,0.0,1.0,"1.018578932895356-0.006351506069811221"
L,tnp,down_jer,5,0,2.4,200.0,300.0,0.0,1.0,"0.8346646312642175-0.002578223072081674"
L,tnp,up_jer,5,0,2.4,30.0,50.0,0.0,1.0,"0.9475955769261065+0.016457834458622263"
L,tnp,up_jer,5,0,2.4,50.0,70.0,0.0,1.0,"1.005725211979985+0.013426702979259127"
L,tnp,up_jer,5,0,2.4,70.0,100.0,0.0,1.0,"1.0187235727893464+0.012231258008835936"
L,tnp,up_jer,5,0,2.4,100.0,140.0,0.0,1.0,"1.0222485892728241+0.004569358444928348"
L,tnp,up_jer,5,0,2.4,140.0,200.0,0.0,1.0,"1.018578932895356+0.006351506069811221"
L,tnp,up_jer,5,0,2.4,200.0,300.0,0.0,1.0,"0.8346646312642175+0.002578223072081674"
L,tnp,down_pdf,5,0,2.4,30.0,50.0,0.0,1.0,"0.9475955769261065-0.004138007549098718"
L,tnp,down_pdf,5,0,2.4,50.0,70.0,0.0,1.0,"1.005725211979985-0.0018879983985377734"
L,tnp,down_pdf,5,0,2.4,70.0,100.0,0.0,1.0,"1.0187235727893464-0.0011508927266407002"
L,tnp,down_pdf,5,0,2.4,100.0,140.0,0.0,1.0,"1.0222485892728241-0.0008475567969786874"
L,tnp,down_pdf,5,0,2.4,140.0,200.0,0.0,1.0,"1.018578932895356-0.0013567380317938019"
L,tnp,down_pdf,5,0,2.4,200.0,300.0,0.0,1.0,"0.8346646312642175-0.0028608890319634307"
L,tnp,up_pdf,5,0,2.4,30.0,50.0,0.0,1.0,"0.9475955769261065+0.004138007549098718"
L,tnp,up_pdf,5,0,2.4,50.0,70.0,0.0,1.0,"1.005725211979985+0.0018879983985377734"
L,tnp,up_pdf,5,0,2.4,70.0,100.0,0.0,1.0,"1.0187235727893464+0.0011508927266407002"
L,tnp,up_pdf,5,0,2.4,100.0,140.0,0.0,1.0,"1.0222485892728241+0.0008475567969786874"
L,tnp,up_pdf,5,0,2.4,140.0,200.0,0.0,1.0,"1.018578932895356+0.0013567380317938019"
L,tnp,up_pdf,5,0,2.4,200.0,300.0,0.0,1.0,"0.8346646312642175+0.0028608890319634307"
L,tnp,down_bdecay,5,0,2.4,30.0,50.0,0.0,1.0,"0.9475955769261065-0.003393485036028486"
L,tnp,down_bdecay,5,0,2.4,50.0,70.0,0.0,1.0,"1.005725211979985-0.0009436376788808709"
L,tnp,down_bdecay,5,0,2.4,70.0,100.0,0.0,1.0,"1.0187235727893464-0.00077558490480344"
L,tnp,down_bdecay,5,0,2.4,100.0,140.0,0.0,1.0,"1.0222485892728241-0.0004521064012191536"
L,tnp,down_bdecay,5,0,2.4,140.0,200.0,0.0,1.0,"1.018578932895356-0.0003282541079025759"
L,tnp,down_bdecay,5,0,2.4,200.0,300.0,0.0,1.0,"0.8346646312642175-0.0006446365381149018"
L,tnp,up_bdecay,5,0,2.4,30.0,50.0,0.0,1.0,"0.9475955769261065+0.003393485036028486"
L,tnp,up_bdecay,5,0,2.4,50.0,70.0,0.0,1.0,"1.005725211979985+0.0009436376788808709"
L,tnp,up_bdecay,5,0,2.4,70.0,100.0,0.0,1.0,"1.0187235727893464+0.00077558490480344"
L,tnp,up_bdecay,5,0,2.4,100.0,140.0,0.0,1.0,"1.0222485892728241+0.0004521064012191536"
L,tnp,up_bdecay,5,0,2.4,140.0,200.0,0.0,1.0,"1.018578932895356+0.0003282541079025759"
L,tnp,up_bdecay,5,0,2.4,200.0,300.0,0.0,1.0,"0.8346646312642175+0.0006446365381149018"
L,tnp,down_colorreconnection,5,0,2.4,30.0,50.0,0.0,1.0,"0.9475955769261065-0.021064798638403104"
L,tnp,down_colorreconnection,5,0,2.4,50.0,70.0,0.0,1.0,"1.005725211979985-0.025719267479896127"
L,tnp,down_colorreconnection,5,0,2.4,70.0,100.0,0.0,1.0,"1.0187235727893464-0.004778570847613923"
L,tnp,down_colorreconnection,5,0,2.4,100.0,140.0,0.0,1.0,"1.0222485892728241-0.00287458004879514"
L,tnp,down_colorreconnection,5,0,2.4,140.0,200.0,0.0,1.0,"1.018578932895356-0.01098757747183684"
L,tnp,down_colorreconnection,5,0,2.4,200.0,300.0,0.0,1.0,"0.8346646312642175-0.02535647779839661"
L,tnp,up_colorreconnection,5,0,2.4,30.0,50.0,0.0,1.0,"0.9475955769261065+0.021064798638403104"
L,tnp,up_colorreconnection,5,0,2.4,50.0,70.0,0.0,1.0,"1.005725211979985+0.025719267479896127"
L,tnp,up_colorreconnection,5,0,2.4,70.0,100.0,0.0,1.0,"1.0187235727893464+0.004778570847613923"
L,tnp,up_colorreconnection,5,0,2.4,100.0,140.0,0.0,1.0,"1.0222485892728241+0.00287458004879514"
L,tnp,up_colorreconnection,5,0,2.4,140.0,200.0,0.0,1.0,"1.018578932895356+0.01098757747183684"
L,tnp,up_colorreconnection,5,0,2.4,200.0,300.0,0.0,1.0,"0.8346646312642175+0.02535647779839661"
L,tnp,down_hdamp,5,0,2.4,30.0,50.0,0.0,1.0,"0.9475955769261065-0.01202868970848732"
L,tnp,down_hdamp,5,0,2.4,50.0,70.0,0.0,1.0,"1.005725211979985-0.016101670745187466"
L,tnp,down_hdamp,5,0,2.4,70.0,100.0,0.0,1.0,"1.0187235727893464-0.0022048006986242256"
L,tnp,down_hdamp,5,0,2.4,100.0,140.0,0.0,1.0,"1.0222485892728241-0.0029786854893150356"
L,tnp,down_hdamp,5,0,2.4,140.0,200.0,0.0,1.0,"1.018578932895356-0.0011042174310250702"
L,tnp,down_hdamp,5,0,2.4,200.0,300.0,0.0,1.0,"0.8346646312642175-0.0002986061357385752"
L,tnp,up_hdamp,5,0,2.4,30.0,50.0,0.0,1.0,"0.9475955769261065+0.01202868970848732"
L,tnp,up_hdamp,5,0,2.4,50.0,70.0,0.0,1.0,"1.005725211979985+0.016101670745187466"
L,tnp,up_hdamp,5,0,2.4,70.0,100.0,0.0,1.0,"1.0187235727893464+0.0022048006986242256"
L,tnp,up_hdamp,5,0,2.4,100.0,140.0,0.0,1.0,"1.0222485892728241+0.0029786854893150356"
L,tnp,up_hdamp,5,0,2.4,140.0,200.0,0.0,1.0,"1.018578932895356+0.0011042174310250702"
L,tnp,up_hdamp,5,0,2.4,200.0,300.0,0.0,1.0,"0.8346646312642175+0.0002986061357385752"
L,tnp,down_mescales,5,0,2.4,30.0,50.0,0.0,1.0,"0.9475955769261065-0.011458976616291666"
L,tnp,down_mescales,5,0,2.4,50.0,70.0,0.0,1.0,"1.005725211979985-0.012824324528272604"
L,tnp,down_mescales,5,0,2.4,70.0,100.0,0.0,1.0,"1.0187235727893464-0.010198437187178933"
L,tnp,down_mescales,5,0,2.4,100.0,140.0,0.0,1.0,"1.0222485892728241-0.008127855181651029"
L,tnp,down_mescales,5,0,2.4,140.0,200.0,0.0,1.0,"1.018578932895356-0.008993310811072222"
L,tnp,down_mescales,5,0,2.4,200.0,300.0,0.0,1.0,"0.8346646312642175-0.022825044407138284"
L,tnp,up_mescales,5,0,2.4,30.0,50.0,0.0,1.0,"0.9475955769261065+0.011458976616291666"
L,tnp,up_mescales,5,0,2.4,50.0,70.0,0.0,1.0,"1.005725211979985+0.012824324528272604"
L,tnp,up_mescales,5,0,2.4,70.0,100.0,0.0,1.0,"1.0187235727893464+0.010198437187178933"
L,tnp,up_mescales,5,0,2.4,100.0,140.0,0.0,1.0,"1.0222485892728241+0.008127855181651029"
L,tnp,up_mescales,5,0,2.4,140.0,200.0,0.0,1.0,"1.018578932895356+0.008993310811072222"
L,tnp,up_mescales,5,0,2.4,200.0,300.0,0.0,1.0,"0.8346646312642175+0.022825044407138284"
L,tnp,down_pileup,5,0,2.4,30.0,50.0,0.0,1.0,"0.9475955769261065-0.001725716676594416"
L,tnp,down_pileup,5,0,2.4,50.0,70.0,0.0,1.0,"1.005725211979985-0.005467024547235003"
L,tnp,down_pileup,5,0,2.4,70.0,100.0,0.0,1.0,"1.0187235727893464-0.0006392934588065098"
L,tnp,down_pileup,5,0,2.4,100.0,140.0,0.0,1.0,"1.0222485892728241-0.0004399271976775366"
L,tnp,down_pileup,5,0,2.4,140.0,200.0,0.0,1.0,"1.018578932895356-0.00042996372192646745"
L,tnp,down_pileup,5,0,2.4,200.0,300.0,0.0,1.0,"0.8346646312642175-0.005338213510969722"
L,tnp,up_pileup,5,0,2.4,30.0,50.0,0.0,1.0,"0.9475955769261065+0.001725716676594416"
L,tnp,up_pileup,5,0,2.4,50.0,70.0,0.0,1.0,"1.005725211979985+0.005467024547235003"
L,tnp,up_pileup,5,0,2.4,70.0,100.0,0.0,1.0,"1.0187235727893464+0.0006392934588065098"
L,tnp,up_pileup,5,0,2.4,100.0,140.0,0.0,1.0,"1.0222485892728241+0.0004399271976775366"
L,tnp,up_pileup,5,0,2.4,140.0,200.0,0.0,1.0,"1.018578932895356+0.00042996372192646745"
L,tnp,up_pileup,5,0,2.4,200.0,300.0,0.0,1.0,"0.8346646312642175+0.005338213510969722"
L,tnp,down_psscale,5,0,2.4,30.0,50.0,0.0,1.0,"0.9475955769261065-0.015246208448031909"
L,tnp,down_psscale,5,0,2.4,50.0,70.0,0.0,1.0,"1.005725211979985-0.0069666652876732744"
L,tnp,down_psscale,5,0,2.4,70.0,100.0,0.0,1.0,"1.0187235727893464-0.002749610126977171"
L,tnp,down_psscale,5,0,2.4,100.0,140.0,0.0,1.0,"1.0222485892728241-0.006030282221546009"
L,tnp,down_psscale,5,0,2.4,140.0,200.0,0.0,1.0,"1.018578932895356-0.0023769077937554122"
L,tnp,down_psscale,5,0,2.4,200.0,300.0,0.0,1.0,"0.8346646312642175-0.012077931150571555"
L,tnp,up_psscale,5,0,2.4,30.0,50.0,0.0,1.0,"0.9475955769261065+0.015246208448031909"
L,tnp,up_psscale,5,0,2.4,50.0,70.0,0.0,1.0,"1.005725211979985+0.0069666652876732744"
L,tnp,up_psscale,5,0,2.4,70.0,100.0,0.0,1.0,"1.0187235727893464+0.002749610126977171"
L,tnp,up_psscale,5,0,2.4,100.0,140.0,0.0,1.0,"1.0222485892728241+0.006030282221546009"
L,tnp,up_psscale,5,0,2.4,140.0,200.0,0.0,1.0,"1.018578932895356+0.0023769077937554122"
L,tnp,up_psscale,5,0,2.4,200.0,300.0,0.0,1.0,"0.8346646312642175+0.012077931150571555"
L,tnp,down_topmass,5,0,2.4,30.0,50.0,0.0,1.0,"0.9475955769261065-0.0036763624220849007"
