wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,tnp,central,5,0,2.4,30.0,50.0,0.0,1.0,"0.7200210495914808"
L,tnp,central,5,0,2.4,50.0,70.0,0.0,1.0,"0.9874381024407995"
L,tnp,central,5,0,2.4,70.0,100.0,0.0,1.0,"1.0143357482967408"
L,tnp,central,5,0,2.4,100.0,140.0,0.0,1.0,"1.0796178631324087"
L,tnp,central,5,0,2.4,140.0,200.0,0.0,1.0,"0.9187303355237654"
L,tnp,central,5,0,2.4,200.0,300.0,0.0,1.0,"0.9940524433291579"
L,tnp,down,5,0,2.4,30.0,50.0,0.0,1.0,"0.7200210495914808-0.35547472254259344"
L,tnp,down,5,0,2.4,50.0,70.0,0.0,1.0,"0.9874381024407995-0.1432817762526564"
L,tnp,down,5,0,2.4,70.0,100.0,0.0,1.0,"1.0143357482967408-0.08840720679901906"
L,tnp,down,5,0,2.4,100.0,140.0,0.0,1.0,"1.0796178631324087-0.07386085990349227"
L,tnp,down,5,0,2.4,140.0,200.0,0.0,1.0,"0.9187303355237654-0.12732588716874363"
L,tnp,down,5,0,2.4,200.0,300.0,0.0,1.0,"0.9940524433291579-0.18777154583701294"
L,tnp,up,5,0,2.4,30.0,50.0,0.0,1.0,"0.7200210495914808+0.35547472254259344"
L,tnp,up,5,0,2.4,50.0,70.0,0.0,1.0,"0.9874381024407995+0.1432817762526564"
L,tnp,up,5,0,2.4,70.0,100.0,0.0,1.0,"1.0143357482967408+0.08840720679901906"
L,tnp,up,5,0,2.4,100.0,140.0,0.0,1.0,"1.0796178631324087+0.07386085990349227"
L,tnp,up,5,0,2.4,140.0,200.0,0.0,1.0,"0.9187303355237654+0.12732588716874363"
L,tnp,up,5,0,2.4,200.0,300.0,0.0,1.0,"0.9940524433291579+0.18777154583701294"
L,tnp,down_statistic,5,0,2.4,30.0,50.0,0.0,1.0,"0.7200210495914808-0.31687721054418094"
L,tnp,down_statistic,5,0,2.4,50.0,70.0,0.0,1.0,"0.9874381024407995-0.1284876957177546"
L,tnp,down_statistic,5,0,2.4,70.0,100.0,0.0,1.0,"1.0143357482967408-0.08321074212987413"
L,tnp,down_statistic,5,0,2.4,100.0,140.0,0.0,1.0,"1.0796178631324087-0.07200855493992891"
L,tnp,down_statistic,5,0,2.4,140.0,200.0,0.0,1.0,"0.9187303355237654-0.12464224790594364"
L,tnp,down_statistic,5,0,2.4,200.0,300.0,0.0,1.0,"0.9940524433291579-0.18462979786110345"
L,tnp,up_statistic,5,0,2.4,30.0,50.0,0.0,1.0,"0.7200210495914808+0.31687721054418094"
L,tnp,up_statistic,5,0,2.4,50.0,70.0,0.0,1.0,"0.9874381024407995+0.1284876957177546"
L,tnp,up_statistic,5,0,2.4,70.0,100.0,0.0,1.0,"1.0143357482967408+0.08321074212987413"
L,tnp,up_statistic,5,0,2.4,100.0,140.0,0.0,1.0,"1.0796178631324087+0.07200855493992891"
L,tnp,up_statistic,5,0,2.4,140.0,200.0,0.0,1.0,"0.9187303355237654+0.12464224790594364"
L,tnp,up_statistic,5,0,2.4,200.0,300.0,0.0,1.0,"0.9940524433291579+0.18462979786110345"
L,tnp,down_bkg,5,0,2.4,30.0,50.0,0.0,1.0,"0.7200210495914808-0.02856777195031475"
L,tnp,down_bkg,5,0,2.4,50.0,70.0,0.0,1.0,"0.9874381024407995-0.025801606561632516"
L,tnp,down_bkg,5,0,2.4,70.0,100.0,0.0,1.0,"1.0143357482967408-0.004705447931594726"
L,tnp,down_bkg,5,0,2.4,100.0,140.0,0.0,1.0,"1.0796178631324087-0.0032227595450936676"
L,tnp,down_bkg,5,0,2.4,140.0,200.0,0.0,1.0,"0.9187303355237654-0.006517899321512231"
L,tnp,down_bkg,5,0,2.4,200.0,300.0,0.0,1.0,"0.9940524433291579-0.0030410049945408598"
L,tnp,up_bkg,5,0,2.4,30.0,50.0,0.0,1.0,"0.7200210495914808+0.02856777195031475"
L,tnp,up_bkg,5,0,2.4,50.0,70.0,0.0,1.0,"0.9874381024407995+0.025801606561632516"
L,tnp,up_bkg,5,0,2.4,70.0,100.0,0.0,1.0,"1.0143357482967408+0.004705447931594726"
L,tnp,up_bkg,5,0,2.4,100.0,140.0,0.0,1.0,"1.0796178631324087+0.0032227595450936676"
L,tnp,up_bkg,5,0,2.4,140.0,200.0,0.0,1.0,"0.9187303355237654+0.006517899321512231"
L,tnp,up_bkg,5,0,2.4,200.0,300.0,0.0,1.0,"0.9940524433291579+0.0030410049945408598"
L,tnp,down_jes,5,0,2.4,30.0,50.0,0.0,1.0,"0.7200210495914808-0.0810939066556976"
L,tnp,down_jes,5,0,2.4,50.0,70.0,0.0,1.0,"0.9874381024407995-0.027786284652887752"
L,tnp,down_jes,5,0,2.4,70.0,100.0,0.0,1.0,"1.0143357482967408-0.014842586533771919"
L,tnp,down_jes,5,0,2.4,100.0,140.0,0.0,1.0,"1.0796178631324087-0.0092320099307704"
L,tnp,down_jes,5,0,2.4,140.0,200.0,0.0,1.0,"0.9187303355237654-0.012109585223652037"
L,tnp,down_jes,5,0,2.4,200.0,300.0,0.0,1.0,"0.9940524433291579-0.019536713059709877"
L,tnp,up_jes,5,0,2.4,30.0,50.0,0.0,1.0,"0.7200210495914808+0.0810939066556976"
L,tnp,up_jes,5,0,2.4,50.0,70.0,0.0,1.0,"0.9874381024407995+0.027786284652887752"
L,tnp,up_jes,5,0,2.4,70.0,100.0,0.0,1.0,"1.0143357482967408+0.014842586533771919"
L,tnp,up_jes,5,0,2.4,100.0,140.0,0.0,1.0,"1.0796178631324087+0.0092320099307704"
L,tnp,up_jes,5,0,2.4,140.0,200.0,0.0,1.0,"0.9187303355237654+0.012109585223652037"
L,tnp,up_jes,5,0,2.4,200.0,300.0,0.0,1.0,"0.9940524433291579+0.019536713059709877"
L,tnp,down_jer,5,0,2.4,30.0,50.0,0.0,1.0,"0.7200210495914808-0.04065506562282958"
L,tnp,down_jer,5,0,2.4,50.0,70.0,0.0,1.0,"0.9874381024407995-0.01584791779447495"
L,tnp,down_jer,5,0,2.4,70.0,100.0,0.0,1.0,"1.0143357482967408-0.0116370824601585"
L,tnp,down_jer,5,0,2.4,100.0,140.0,0.0,1.0,"1.0796178631324087-0.0032674860337116277"
L,tnp,down_jer,5,0,2.4,140.0,200.0,0.0,1.0,"0.9187303355237654-0.004695428578628761"
L,tnp,down_jer,5,0,2.4,200.0,300.0,0.0,1.0,"0.9940524433291579-0.00876046110063277"
L,tnp,up_jer,5,0,2.4,30.0,50.0,0.0,1.0,"0.7200210495914808+0.04065506562282958"
L,tnp,up_jer,5,0,2.4,50.0,70.0,0.0,1.0,"0.9874381024407995+0.01584791779447495"
L,tnp,up_jer,5,0,2.4,70.0,100.0,0.0,1.0,"1.0143357482967408+0.0116370824601585"
L,tnp,up_jer,5,0,2.4,100.0,140.0,0.0,1.0,"1.0796178631324087+0.0032674860337116277"
L,tnp,up_jer,5,0,2.4,140.0,200.0,0.0,1.0,"0.9187303355237654+0.004695428578628761"
L,tnp,up_jer,5,0,2.4,200.0,300.0,0.0,1.0,"0.9940524433291579+0.00876046110063277"
L,tnp,down_pdf,5,0,2.4,30.0,50.0,0.0,1.0,"0.7200210495914808-0.012132506689177919"
L,tnp,down_pdf,5,0,2.4,50.0,70.0,0.0,1.0,"0.9874381024407995-0.0029409222115097293"
L,tnp,down_pdf,5,0,2.4,70.0,100.0,0.0,1.0,"1.0143357482967408-0.001528538140158497"
L,tnp,down_pdf,5,0,2.4,100.0,140.0,0.0,1.0,"1.0796178631324087-0.0007824631697267004"
L,tnp,down_pdf,5,0,2.4,140.0,200.0,0.0,1.0,"0.9187303355237654-0.001836841843226078"
L,tnp,down_pdf,5,0,2.4,200.0,300.0,0.0,1.0,"0.9940524433291579-0.002544278079847077"
L,tnp,up_pdf,5,0,2.4,30.0,50.0,0.0,1.0,"0.7200210495914808+0.012132506689177919"
L,tnp,up_pdf,5,0,2.4,50.0,70.0,0.0,1.0,"0.9874381024407995+0.0029409222115097293"
L,tnp,up_pdf,5,0,2.4,70.0,100.0,0.0,1.0,"1.0143357482967408+0.001528538140158497"
L,tnp,up_pdf,5,0,2.4,100.0,140.0,0.0,1.0,"1.0796178631324087+0.0007824631697267004"
L,tnp,up_pdf,5,0,2.4,140.0,200.0,0.0,1.0,"0.9187303355237654+0.001836841843226078"
L,tnp,up_pdf,5,0,2.4,200.0,300.0,0.0,1.0,"0.9940524433291579+0.002544278079847077"
L,tnp,down_bdecay,5,0,2.4,30.0,50.0,0.0,1.0,"0.7200210495914808-0.007848484111493052"
L,tnp,down_bdecay,5,0,2.4,50.0,70.0,0.0,1.0,"0.9874381024407995-0.0004873888579938458"
L,tnp,down_bdecay,5,0,2.4,70.0,100.0,0.0,1.0,"1.0143357482967408-0.00045082399482195056"
L,tnp,down_bdecay,5,0,2.4,100.0,140.0,0.0,1.0,"1.0796178631324087-5.9098405760975915e-05"
L,tnp,down_bdecay,5,0,2.4,140.0,200.0,0.0,1.0,"0.9187303355237654-0.00010040463439566538"
L,tnp,down_bdecay,5,0,2.4,200.0,300.0,0.0,1.0,"0.9940524433291579-0.00035650284385750077"
L,tnp,up_bdecay,5,0,2.4,30.0,50.0,0.0,1.0,"0.7200210495914808+0.007848484111493052"
L,tnp,up_bdecay,5,0,2.4,50.0,70.0,0.0,1.0,"0.9874381024407995+0.0004873888579938458"
L,tnp,up_bdecay,5,0,2.4,70.0,100.0,0.0,1.0,"1.0143357482967408+0.00045082399482195056"
L,tnp,up_bdecay,5,0,2.4,100.0,140.0,0.0,1.0,"1.0796178631324087+5.9098405760975915e-05"
L,tnp,up_bdecay,5,0,2.4,140.0,200.0,0.0,1.0,"0.9187303355237654+0.00010040463439566538"
L,tnp,up_bdecay,5,0,2.4,200.0,300.0,0.0,1.0,"0.9940524433291579+0.00035650284385750077"
L,tnp,down_colorreconnection,5,0,2.4,30.0,50.0,0.0,1.0,"0.7200210495914808-0.02337915722306094"
L,tnp,down_colorreconnection,5,0,2.4,50.0,70.0,0.0,1.0,"0.9874381024407995-0.013736051043984652"
L,tnp,down_colorreconnection,5,0,2.4,70.0,100.0,0.0,1.0,"1.0143357482967408-0.00564665690724877"
L,tnp,down_colorreconnection,5,0,2.4,100.0,140.0,0.0,1.0,"1.0796178631324087-0.007350340823701304"
L,tnp,down_colorreconnection,5,0,2.4,140.0,200.0,0.0,1.0,"0.9187303355237654-0.013013533339055099"
L,tnp,down_colorreconnection,5,0,2.4,200.0,300.0,0.0,1.0,"0.9940524433291579-0.018945251307236507"
L,tnp,up_colorreconnection,5,0,2.4,30.0,50.0,0.0,1.0,"0.7200210495914808+0.02337915722306094"
L,tnp,up_colorreconnection,5,0,2.4,50.0,70.0,0.0,1.0,"0.9874381024407995+0.013736051043984652"
L,tnp,up_colorreconnection,5,0,2.4,70.0,100.0,0.0,1.0,"1.0143357482967408+0.00564665690724877"
L,tnp,up_colorreconnection,5,0,2.4,100.0,140.0,0.0,1.0,"1.0796178631324087+0.007350340823701304"
L,tnp,up_colorreconnection,5,0,2.4,140.0,200.0,0.0,1.0,"0.9187303355237654+0.013013533339055099"
L,tnp,up_colorreconnection,5,0,2.4,200.0,300.0,0.0,1.0,"0.9940524433291579+0.018945251307236507"
