wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,wc,central,4,0,2.4,25.0,30.0,0,1,0.966158288889048
L,wc,central,4,0,2.4,30.0,40.0,0,1,0.980068043252468
L,wc,central,4,0,2.4,40.0,60.0,0,1,0.9686235206658093
L,wc,central,4,0,2.4,60.0,80.0,0,1,0.9785020005481394
L,wc,central,4,0,2.4,80.0,140.0,0,1,1.0216727619437584
L,wc,central,4,0,2.4,140.0,200.0,0,1,1.0687948831549858
L,wc,up_stat,4,0,2.4,25.0,30.0,0,1,0.99443403307924
L,wc,up_stat,4,0,2.4,30.0,40.0,0,1,0.9976019677616671
L,wc,up_stat,4,0,2.4,40.0,60.0,0,1,0.9864496528933854
L,wc,up_stat,4,0,2.4,60.0,80.0,0,1,1.0001374921260582
L,wc,up_stat,4,0,2.4,80.0,140.0,0,1,1.05419668458559
L,wc,up_stat,4,0,2.4,140.0,200.0,0,1,1.1811566224203722
L,wc,down_stat,4,0,2.4,25.0,30.0,0,1,0.9386815197324363
L,wc,down_stat,4,0,2.4,30.0,40.0,0,1,0.9628408273710903
L,wc,down_stat,4,0,2.4,40.0,60.0,0,1,0.9511179035406611
L,wc,down_stat,4,0,2.4,60.0,80.0,0,1,0.9573306639197658
L,wc,down_stat,4,0,2.4,80.0,140.0,0,1,0.9901437450964256
L,wc,down_stat,4,0,2.4,140.0,200.0,0,1,0.9667319778435913
L,wc,up_syst,4,0,2.4,25.0,30.0,0,1,1.0496709895780427
L,wc,up_syst,4,0,2.4,30.0,40.0,0,1,0.9901593552327939
L,wc,up_syst,4,0,2.4,40.0,60.0,0,1,0.9896014718613587
L,wc,up_syst,4,0,2.4,60.0,80.0,0,1,1.0331825898878697
L,wc,up_syst,4,0,2.4,80.0,140.0,0,1,1.032667036614053
L,wc,up_syst,4,0,2.4,140.0,200.0,0,1,1.153201549852407
L,wc,down_syst,4,0,2.4,25.0,30.0,0,1,0.8974779921378784
L,wc,down_syst,4,0,2.4,30.0,40.0,0,1,0.96208395577106
L,wc,down_syst,4,0,2.4,40.0,60.0,0,1,0.9384144222157857
L,wc,down_syst,4,0,2.4,60.0,80.0,0,1,0.9216052605429541
L,wc,down_syst,4,0,2.4,80.0,140.0,0,1,0.9954944022111384
L,wc,down_syst,4,0,2.4,140.0,200.0,0,1,1.0099632634986588
M,wc,central,4,0,2.4,25.0,30.0,0,1,0.9547250959108217
M,wc,central,4,0,2.4,30.0,40.0,0,1,1.005993515743432
M,wc,central,4,0,2.4,40.0,60.0,0,1,0.9494005756674013
M,wc,central,4,0,2.4,60.0,80.0,0,1,0.9763369055926079
M,wc,central,4,0,2.4,80.0,140.0,0,1,1.0150134174044156
M,wc,central,4,0,2.4,140.0,200.0,0,1,1.058335102709536
M,wc,up_stat,4,0,2.4,25.0,30.0,0,1,0.9909063266534768
M,wc,up_stat,4,0,2.4,30.0,40.0,0,1,1.0306379107058503
M,wc,up_stat,4,0,2.4,40.0,60.0,0,1,0.9715173517695135
M,wc,up_stat,4,0,2.4,60.0,80.0,0,1,1.0083784830709925
M,wc,up_stat,4,0,2.4,80.0,140.0,0,1,1.0670472344280797
M,wc,up_stat,4,0,2.4,140.0,200.0,0,1,1.215039399196086
M,wc,down_stat,4,0,2.4,25.0,30.0,0,1,0.9198521189429886
M,wc,down_stat,4,0,2.4,30.0,40.0,0,1,0.981934551926223
M,wc,down_stat,4,0,2.4,40.0,60.0,0,1,0.9277839328313562
M,wc,down_stat,4,0,2.4,60.0,80.0,0,1,0.9453008427807071
M,wc,down_stat,4,0,2.4,80.0,140.0,0,1,0.9654918685531143
M,wc,down_stat,4,0,2.4,140.0,200.0,0,1,0.9209073726274308
M,wc,up_syst,4,0,2.4,25.0,30.0,0,1,1.083529611462502
M,wc,up_syst,4,0,2.4,30.0,40.0,0,1,1.01811030583697
M,wc,up_syst,4,0,2.4,40.0,60.0,0,1,0.9992251820119962
M,wc,up_syst,4,0,2.4,60.0,80.0,0,1,1.0720515941408932
M,wc,up_syst,4,0,2.4,80.0,140.0,0,1,1.039473879756683
M,wc,up_syst,4,0,2.4,140.0,200.0,0,1,1.2435775180722042
M,wc,down_syst,4,0,2.4,25.0,30.0,0,1,0.836300004063637
M,wc,down_syst,4,0,2.4,30.0,40.0,0,1,0.9863392258175742
M,wc,down_syst,4,0,2.4,40.0,60.0,0,1,0.8917314974822976
M,wc,down_syst,4,0,2.4,60.0,80.0,0,1,0.8700322118864283
M,wc,down_syst,4,0,2.4,80.0,140.0,0,1,0.9755103275626105
M,wc,down_syst,4,0,2.4,140.0,200.0,0,1,0.8780461378152515
T,wc,central,4,0,2.4,25.0,30.0,0,1,0.9348526949027763
T,wc,central,4,0,2.4,30.0,40.0,0,1,0.9866502202989109
T,wc,central,4,0,2.4,40.0,60.0,0,1,0.9431345764445547
T,wc,central,4,0,2.4,60.0,80.0,0,1,0.959374859442999
T,wc,central,4,0,2.4,80.0,140.0,0,1,0.9857031314660089
T,wc,central,4,0,2.4,140.0,200.0,0,1,1.1969655382481903
T,wc,up_stat,4,0,2.4,25.0,30.0,0,1,0.9790362200694263
T,wc,up_stat,4,0,2.4,30.0,40.0,0,1,1.0170748867606856
T,wc,up_stat,4,0,2.4,40.0,60.0,0,1,0.9675548517250204
T,wc,up_stat,4,0,2.4,60.0,80.0,0,1,1.0056879191920856
T,wc,up_stat,4,0,2.4,80.0,140.0,0,1,1.038946365076953
