wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,wc,central,4,0,2.4,25.0,30.0,0,1,0.9637269992944515
L,wc,central,4,0,2.4,30.0,40.0,0,1,1.0003937602821296
L,wc,central,4,0,2.4,40.0,60.0,0,1,0.967057238139034
L,wc,central,4,0,2.4,60.0,80.0,0,1,0.9700204064689549
L,wc,central,4,0,2.4,80.0,140.0,0,1,1.019556525289393
L,wc,central,4,0,2.4,140.0,200.0,0,1,1.1020521999686268
L,wc,up_stat,4,0,2.4,25.0,30.0,0,1,0.9813842582302532
L,wc,up_stat,4,0,2.4,30.0,40.0,0,1,1.013860691915163
L,wc,up_stat,4,0,2.4,40.0,60.0,0,1,0.9812567062541059
L,wc,up_stat,4,0,2.4,60.0,80.0,0,1,1.0011312530470666
L,wc,up_stat,4,0,2.4,80.0,140.0,0,1,1.0563066711506672
L,wc,up_stat,4,0,2.4,140.0,200.0,0,1,1.2355049523401531
L,wc,down_stat,4,0,2.4,25.0,30.0,0,1,0.9463849258170759
L,wc,down_stat,4,0,2.4,30.0,40.0,0,1,0.9871049178687965
L,wc,down_stat,4,0,2.4,40.0,60.0,0,1,0.953062248471027
L,wc,down_stat,4,0,2.4,60.0,80.0,0,1,0.9398660171553872
L,wc,down_stat,4,0,2.4,80.0,140.0,0,1,0.9840703153255799
L,wc,down_stat,4,0,2.4,140.0,200.0,0,1,0.9824413691475761
L,wc,up_syst,4,0,2.4,25.0,30.0,0,1,1.045287991953475
L,wc,up_syst,4,0,2.4,30.0,40.0,0,1,1.0315868426042596
L,wc,up_syst,4,0,2.4,40.0,60.0,0,1,0.989984910218938
L,wc,up_syst,4,0,2.4,60.0,80.0,0,1,0.9858851606486286
L,wc,up_syst,4,0,2.4,80.0,140.0,0,1,1.0384732027028296
L,wc,up_syst,4,0,2.4,140.0,200.0,0,1,1.3835447626452093
L,wc,down_syst,4,0,2.4,25.0,30.0,0,1,0.9062245157593672
L,wc,down_syst,4,0,2.4,30.0,40.0,0,1,0.9673946933539938
L,wc,down_syst,4,0,2.4,40.0,60.0,0,1,0.9416540681794593
L,wc,down_syst,4,0,2.4,60.0,80.0,0,1,0.9561354047730624
L,wc,down_syst,4,0,2.4,80.0,140.0,0,1,1.0092250382885186
L,wc,down_syst,4,0,2.4,140.0,200.0,0,1,0.8354130779281093
M,wc,central,4,0,2.4,25.0,30.0,0,1,0.9757174578638961
M,wc,central,4,0,2.4,30.0,40.0,0,1,0.9608381053440236
M,wc,central,4,0,2.4,40.0,60.0,0,1,0.9127984636628633
M,wc,central,4,0,2.4,60.0,80.0,0,1,0.9345326848784216
M,wc,central,4,0,2.4,80.0,140.0,0,1,0.9229024881963476
M,wc,central,4,0,2.4,140.0,200.0,0,1,1.220924081718824
M,wc,up_stat,4,0,2.4,25.0,30.0,0,1,1.0366349269425459
M,wc,up_stat,4,0,2.4,30.0,40.0,0,1,1.003988198386671
M,wc,up_stat,4,0,2.4,40.0,60.0,0,1,0.9454990882150479
M,wc,up_stat,4,0,2.4,60.0,80.0,0,1,0.9918137971864122
M,wc,up_stat,4,0,2.4,80.0,140.0,0,1,0.9767349378351571
M,wc,up_stat,4,0,2.4,140.0,200.0,0,1,1.6113160320147597
M,wc,down_stat,4,0,2.4,25.0,30.0,0,1,0.9183284905976026
M,wc,down_stat,4,0,2.4,30.0,40.0,0,1,0.919524345013605
M,wc,down_stat,4,0,2.4,40.0,60.0,0,1,0.8812188364635228
M,wc,down_stat,4,0,2.4,60.0,80.0,0,1,0.8805113338766873
M,wc,down_stat,4,0,2.4,80.0,140.0,0,1,0.8719921064646359
M,wc,down_stat,4,0,2.4,140.0,200.0,0,1,0.9187102745589728
M,wc,up_syst,4,0,2.4,25.0,30.0,0,1,1.0608950377471122
M,wc,up_syst,4,0,2.4,30.0,40.0,0,1,0.99921124321825
M,wc,up_syst,4,0,2.4,40.0,60.0,0,1,0.9988969618337614
M,wc,up_syst,4,0,2.4,60.0,80.0,0,1,0.9733030846197611
M,wc,up_syst,4,0,2.4,80.0,140.0,0,1,0.9419991852401424
M,wc,up_syst,4,0,2.4,140.0,200.0,0,1,1.42271762887387
M,wc,down_syst,4,0,2.4,25.0,30.0,0,1,0.8979081513130334
M,wc,down_syst,4,0,2.4,30.0,40.0,0,1,0.8817432241601809
M,wc,down_syst,4,0,2.4,40.0,60.0,0,1,0.8396433456695538
M,wc,down_syst,4,0,2.4,60.0,80.0,0,1,0.8973782172355592
M,wc,down_syst,4,0,2.4,80.0,140.0,0,1,0.9049324966082752
M,wc,down_syst,4,0,2.4,140.0,200.0,0,1,0.9824199542644536
T,wc,central,4,0,2.4,25.0,30.0,0,1,0.9154175463222958
T,wc,central,4,0,2.4,30.0,40.0,0,1,0.9011126152336999
T,wc,central,4,0,2.4,40.0,60.0,0,1,0.8675489045560405
T,wc,central,4,0,2.4,60.0,80.0,0,1,0.8757887617090081
T,wc,central,4,0,2.4,80.0,140.0,0,1,0.8753364041623861
T,wc,central,4,0,2.4,140.0,200.0,0,1,0.9622796994093127
T,wc,up_stat,4,0,2.4,25.0,30.0,0,1,1.016863685219562
T,wc,up_stat,4,0,2.4,30.0,40.0,0,1,0.9708403803372687
T,wc,up_stat,4,0,2.4,40.0,60.0,0,1,0.9180995150688335
T,wc,up_stat,4,0,2.4,60.0,80.0,0,1,0.9525341991048597
T,wc,up_stat,4,0,2.4,80.0,140.0,0,1,0.9515415951716248
T,wc,up_stat,4,0,2.4,140.0,200.0,0,1,1.4101886060995699
T,wc,down_stat,4,0,2.4,25.0,30.0,0,1,0.8239107386708916
T,wc,down_stat,4,0,2.4,30.0,40.0,0,1,0.8363286463681968
T,wc,down_stat,4,0,2.4,40.0,60.0,0,1,0.8197497440326228
T,wc,down_stat,4,0,2.4,60.0,80.0,0,1,0.8051319680812002
T,wc,down_stat,4,0,2.4,80.0,140.0,0,1,0.805141983705576
T,wc,down_stat,4,0,2.4,140.0,200.0,0,1,0.6480255881769779
T,wc,up_syst,4,0,2.4,25.0,30.0,0,1,1.048278976675809
T,wc,up_syst,4,0,2.4,30.0,40.0,0,1,1.028273045517293
T,wc,up_syst,4,0,2.4,40.0,60.0,0,1,0.9966067351434915
T,wc,up_syst,4,0,2.4,60.0,80.0,0,1,0.9547514677460497
T,wc,up_syst,4,0,2.4,80.0,140.0,0,1,0.9310411633977476
T,wc,up_syst,4,0,2.4,140.0,200.0,0,1,1.1332890737682328
T,wc,down_syst,4,0,2.4,25.0,30.0,0,1,0.804203263431424
T,wc,down_syst,4,0,2.4,30.0,40.0,0,1,0.8022761064222854
T,wc,down_syst,4,0,2.4,40.0,60.0,0,1,0.7548719718113843
T,wc,down_syst,4,0,2.4,60.0,80.0,0,1,0.8435887608729297
T,wc,down_syst,4,0,2.4,80.0,140.0,0,1,0.816864445805019
T,wc,down_syst,4,0,2.4,140.0,200.0,0,1,0.7704393750303837
XT,wc,central,4,0,2.4,25.0,30.0,0,1,0.8016606100757226
