wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,light,central,0,0,2.5,20,1000,0,1,"0.743089*(1+0.188851*x+-1.7366e-05*x*x+8.47922e-09*x*x*x)/(1+0.132005*x)"
L,light,down,0,0,2.5,20,1000,0,1,"(0.743089*(1+0.188851*x+-1.7366e-05*x*x+8.47922e-09*x*x*x)/(1+0.132005*x))*(1-(0.0416174+1.92486e-06*x+-5.83107e-09*x*x+3.76019e-12*x*x*x))"
L,light,down_correlated,0,0,2.5,20,1000,0,1,"(0.743089*(1+0.188851*x+-1.7366e-05*x*x+8.47922e-09*x*x*x)/(1+0.132005*x))*(1-(0.0288634+1.37657e-06*x+-4.21296e-09*x*x+2.49969e-12*x*x*x))"
L,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(0.743089*(1+0.188851*x+-1.7366e-05*x*x+8.47922e-09*x*x*x)/(1+0.132005*x))*(1-(0.0299798+1.35022e-06*x+-4.0373e-09*x*x+2.80944e-12*x*x*x))"
L,light,up,0,0,2.5,20,1000,0,1,"(0.743089*(1+0.188851*x+-1.7366e-05*x*x+8.47922e-09*x*x*x)/(1+0.132005*x))*(1+(0.0416174+1.92486e-06*x+-5.83107e-09*x*x+3.76019e-12*x*x*x))"
L,light,up_correlated,0,0,2.5,20,1000,0,1,"(0.743089*(1+0.188851*x+-1.7366e-05*x*x+8.47922e-09*x*x*x)/(1+0.132005*x))*(1+(0.0288634+1.37657e-06*x+-4.21296e-09*x*x+2.49969e-12*x*x*x))"
L,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(0.743089*(1+0.188851*x+-1.7366e-05*x*x+8.47922e-09*x*x*x)/(1+0.132005*x))*(1+(0.0299798+1.35022e-06*x+-4.0373e-09*x*x+2.80944e-12*x*x*x))"
M,light,central,0,0,2.5,20,1000,0,1,"0.930701*(1+0.160772*x+-3.1815e-05*x*x+5.02119e-09*x*x*x)/(1+0.116494*x)"
M,light,down,0,0,2.5,20,1000,0,1,"(0.930701*(1+0.160772*x+-3.1815e-05*x*x+5.02119e-09*x*x*x)/(1+0.116494*x))*(1-(0.100935+3.50788e-06*x+-1.79604e-08*x*x+1.23328e-11*x*x*x))"
M,light,down_correlated,0,0,2.5,20,1000,0,1,"(0.930701*(1+0.160772*x+-3.1815e-05*x*x+5.02119e-09*x*x*x)/(1+0.116494*x))*(1-(0.0795437+1.86267e-05*x+-5.43979e-08*x*x+3.57651e-11*x*x*x))"
M,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(0.930701*(1+0.160772*x+-3.1815e-05*x*x+5.02119e-09*x*x*x)/(1+0.116494*x))*(1-(0.0610345+-7.26025e-06*x+1.4427e-08*x*x+-8.51813e-12*x*x*x))"
M,light,up,0,0,2.5,20,1000,0,1,"(0.930701*(1+0.160772*x+-3.1815e-05*x*x+5.02119e-09*x*x*x)/(1+0.116494*x))*(1+(0.100935+3.50788e-06*x+-1.79604e-08*x*x+1.23328e-11*x*x*x))"
M,light,up_correlated,0,0,2.5,20,1000,0,1,"(0.930701*(1+0.160772*x+-3.1815e-05*x*x+5.02119e-09*x*x*x)/(1+0.116494*x))*(1+(0.0795437+1.86267e-05*x+-5.43979e-08*x*x+3.57651e-11*x*x*x))"
M,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(0.930701*(1+0.160772*x+-3.1815e-05*x*x+5.02119e-09*x*x*x)/(1+0.116494*x))*(1+(0.0610345+-7.26025e-06*x+1.4427e-08*x*x+-8.51813e-12*x*x*x))"
T,light,central,0,0,2.5,20,1000,0,1,"0.722686*(1+0.0946679*x+-4.68189e-05*x*x+3.4586e-08*x*x*x)/(1+0.0458811*x)"
T,light,down,0,0,2.5,20,1000,0,1,"(0.722686*(1+0.0946679*x+-4.68189e-05*x*x+3.4586e-08*x*x*x)/(1+0.0458811*x))*(1-(0.172541+0.000196911*x+-4.6328e-07*x*x+2.79151e-10*x*x*x))"
