wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,light,central,0,0,2.5,20,1000,0,1,"0.408965*(1+0.230505*x+-7.37593e-05*x*x+3.97756e-08*x*x*x)/(1+0.0767132*x)"
L,light,down,0,0,2.5,20,1000,0,1,"(0.408965*(1+0.230505*x+-7.37593e-05*x*x+3.97756e-08*x*x*x)/(1+0.0767132*x))*(1-(0.0437161+-8.97858e-06*x+1.39195e-08*x*x+-7.531e-12*x*x*x))"
L,light,down_correlated,0,0,2.5,20,1000,0,1,"(0.408965*(1+0.230505*x+-7.37593e-05*x*x+3.97756e-08*x*x*x)/(1+0.0767132*x))*(1-(0.030258+-7.08653e-07*x+-5.01429e-09*x*x+4.18717e-12*x*x*x))"
L,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(0.408965*(1+0.230505*x+-7.37593e-05*x*x+3.97756e-08*x*x*x)/(1+0.0767132*x))*(1-(0.0313783+-1.00916e-05*x+2.02348e-08*x*x+-1.19778e-11*x*x*x))"
L,light,up,0,0,2.5,20,1000,0,1,"(0.408965*(1+0.230505*x+-7.37593e-05*x*x+3.97756e-08*x*x*x)/(1+0.0767132*x))*(1+(0.0437161+-8.97858e-06*x+1.39195e-08*x*x+-7.531e-12*x*x*x))"
L,light,up_correlated,0,0,2.5,20,1000,0,1,"(0.408965*(1+0.230505*x+-7.37593e-05*x*x+3.97756e-08*x*x*x)/(1+0.0767132*x))*(1+(0.030258+-7.08653e-07*x+-5.01429e-09*x*x+4.18717e-12*x*x*x))"
L,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(0.408965*(1+0.230505*x+-7.37593e-05*x*x+3.97756e-08*x*x*x)/(1+0.0767132*x))*(1+(0.0313783+-1.00916e-05*x+2.02348e-08*x*x+-1.19778e-11*x*x*x))"
M,light,central,0,0,2.5,20,1000,0,1,"-28.1814+29.442*x/(0.0711047+x)+9.62941e-05*x+-1.29602e-07*x*x"
M,light,down,0,0,2.5,20,1000,0,1,"(-28.1814+29.442*x/(0.0711047+x)+9.62941e-05*x+-1.29602e-07*x*x)*(1-(0.103498+3.05352e-05*x+-8.52946e-08*x*x+5.45113e-11*x*x*x))"
M,light,down_correlated,0,0,2.5,20,1000,0,1,"(-28.1814+29.442*x/(0.0711047+x)+9.62941e-05*x+-1.29602e-07*x*x)*(1-(0.0836283+4.1784e-05*x+-1.13296e-07*x*x+7.20432e-11*x*x*x))"
M,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(-28.1814+29.442*x/(0.0711047+x)+9.62941e-05*x+-1.29602e-07*x*x)*(1-(0.0599822+3.21475e-06*x+-9.29704e-09*x*x+6.64635e-12*x*x*x))"
M,light,up,0,0,2.5,20,1000,0,1,"(-28.1814+29.442*x/(0.0711047+x)+9.62941e-05*x+-1.29602e-07*x*x)*(1+(0.103498+3.05352e-05*x+-8.52946e-08*x*x+5.45113e-11*x*x*x))"
M,light,up_correlated,0,0,2.5,20,1000,0,1,"(-28.1814+29.442*x/(0.0711047+x)+9.62941e-05*x+-1.29602e-07*x*x)*(1+(0.0836283+4.1784e-05*x+-1.13296e-07*x*x+7.20432e-11*x*x*x))"
M,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(-28.1814+29.442*x/(0.0711047+x)+9.62941e-05*x+-1.29602e-07*x*x)*(1+(0.0599822+3.21475e-06*x+-9.29704e-09*x*x+6.64635e-12*x*x*x))"
T,light,central,0,0,2.5,20,1000,0,1,"-11.7976+13.1537*x/(0.447065+x)+2.06131e-05*x+-6.02167e-09*x*x"
T,light,down,0,0,2.5,20,1000,0,1,"(-11.7976+13.1537*x/(0.447065+x)+2.06131e-05*x+-6.02167e-09*x*x)*(1-(0.216315+4.02594e-05*x+-1.89285e-07*x*x+1.39871e-10*x*x*x))"
T,light,down_correlated,0,0,2.5,20,1000,0,1,"(-11.7976+13.1537*x/(0.447065+x)+2.06131e-05*x+-6.02167e-09*x*x)*(1-(0.190556+5.11664e-05*x+-2.24943e-07*x*x+1.64659e-10*x*x*x))"
T,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(-11.7976+13.1537*x/(0.447065+x)+2.06131e-05*x+-6.02167e-09*x*x)*(1-(0.101582+-7.05832e-06*x+1.48467e-08*x*x+-9.67264e-12*x*x*x))"
T,light,up,0,0,2.5,20,1000,0,1,"(-11.7976+13.1537*x/(0.447065+x)+2.06131e-05*x+-6.02167e-09*x*x)*(1+(0.216315+4.02594e-05*x+-1.89285e-07*x*x+1.39871e-10*x*x*x))"
T,light,up_correlated,0,0,2.5,20,1000,0,1,"(-11.7976+13.1537*x/(0.447065+x)+2.06131e-05*x+-6.02167e-09*x*x)*(1+(0.190556+5.11664e-05*x+-2.24943e-07*x*x+1.64659e-10*x*x*x))"
T,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(-11.7976+13.1537*x/(0.447065+x)+2.06131e-05*x+-6.02167e-09*x*x)*(1+(0.101582+-7.05832e-06*x+1.48467e-08*x*x+-9.67264e-12*x*x*x))"
XT,light,central,0,0,2.5,20,1000,0,1,"-8.62062+10.0182*x/(0.940008+x)+-0.000184152*x+1.906e-07*x*x"
XT,light,down,0,0,2.5,20,1000,0,1,"(-8.62062+10.0182*x/(0.940008+x)+-0.000184152*x+1.906e-07*x*x)*(1-(0.23008+-4.99635e-05*x+-7.16611e-08*x*x+8.95543e-11*x*x*x))"
XT,light,down_correlated,0,0,2.5,20,1000,0,1,"(-8.62062+10.0182*x/(0.940008+x)+-0.000184152*x+1.906e-07*x*x)*(1-(0.206302+-5.99831e-05*x+-7.08479e-08*x*x+9.42892e-11*x*x*x))"
XT,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(-8.62062+10.0182*x/(0.940008+x)+-0.000184152*x+1.906e-07*x*x)*(1-(0.102625+-6.48717e-06*x+1.34493e-08*x*x+-9.38062e-12*x*x*x))"
