wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,light,central,0,0,2.5,20,1000,0,1,"0.515349*(1+0.225363*x+-1.28976e-05*x*x+4.50527e-09*x*x*x)/(1+0.107044*x)"
L,light,down,0,0,2.5,20,1000,0,1,"(0.515349*(1+0.225363*x+-1.28976e-05*x*x+4.50527e-09*x*x*x)/(1+0.107044*x))*(1-(0.0417096+2.07782e-06*x+-5.72434e-09*x*x+3.61464e-12*x*x*x))"
L,light,down_correlated,0,0,2.5,20,1000,0,1,"(0.515349*(1+0.225363*x+-1.28976e-05*x*x+4.50527e-09*x*x*x)/(1+0.107044*x))*(1-(0.0289623+1.70915e-06*x+-4.12176e-09*x*x+2.24444e-12*x*x*x))"
L,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(0.515349*(1+0.225363*x+-1.28976e-05*x*x+4.50527e-09*x*x*x)/(1+0.107044*x))*(1-(0.0305706+-4.7631e-06*x+1.03722e-08*x*x+-6.46239e-12*x*x*x))"
L,light,up,0,0,2.5,20,1000,0,1,"(0.515349*(1+0.225363*x+-1.28976e-05*x*x+4.50527e-09*x*x*x)/(1+0.107044*x))*(1+(0.0417096+2.07782e-06*x+-5.72434e-09*x*x+3.61464e-12*x*x*x))"
L,light,up_correlated,0,0,2.5,20,1000,0,1,"(0.515349*(1+0.225363*x+-1.28976e-05*x*x+4.50527e-09*x*x*x)/(1+0.107044*x))*(1+(0.0289623+1.70915e-06*x+-4.12176e-09*x*x+2.24444e-12*x*x*x))"
L,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(0.515349*(1+0.225363*x+-1.28976e-05*x*x+4.50527e-09*x*x*x)/(1+0.107044*x))*(1+(0.0305706+-4.7631e-06*x+1.03722e-08*x*x+-6.46239e-12*x*x*x))"
M,light,central,0,0,2.5,20,1000,0,1,"0.449081*(1+0.181341*x+-4.1802e-05*x*x+1.25324e-08*x*x*x)/(1+0.0590088*x)"
M,light,down,0,0,2.5,20,1000,0,1,"(0.449081*(1+0.181341*x+-4.1802e-05*x*x+1.25324e-08*x*x*x)/(1+0.0590088*x))*(1-(0.101004+2.81498e-05*x+-7.36296e-08*x*x+4.63439e-11*x*x*x))"
M,light,down_correlated,0,0,2.5,20,1000,0,1,"(0.449081*(1+0.181341*x+-4.1802e-05*x*x+1.25324e-08*x*x*x)/(1+0.0590088*x))*(1-(0.0798624+4.47518e-05*x+-1.11066e-07*x*x+6.91919e-11*x*x*x))"
M,light,down_uncorrelated,0,0,2.5,20,1000,0,1,"(0.449081*(1+0.181341*x+-4.1802e-05*x*x+1.25324e-08*x*x*x)/(1+0.0590088*x))*(1-(0.0618394+-1.35263e-05*x+2.76188e-08*x*x+-1.65435e-11*x*x*x))"
M,light,up,0,0,2.5,20,1000,0,1,"(0.449081*(1+0.181341*x+-4.1802e-05*x*x+1.25324e-08*x*x*x)/(1+0.0590088*x))*(1+(0.101004+2.81498e-05*x+-7.36296e-08*x*x+4.63439e-11*x*x*x))"
M,light,up_correlated,0,0,2.5,20,1000,0,1,"(0.449081*(1+0.181341*x+-4.1802e-05*x*x+1.25324e-08*x*x*x)/(1+0.0590088*x))*(1+(0.0798624+4.47518e-05*x+-1.11066e-07*x*x+6.91919e-11*x*x*x))"
M,light,up_uncorrelated,0,0,2.5,20,1000,0,1,"(0.449081*(1+0.181341*x+-4.1802e-05*x*x+1.25324e-08*x*x*x)/(1+0.0590088*x))*(1+(0.0618394+-1.35263e-05*x+2.76188e-08*x*x+-1.65435e-11*x*x*x))"
T,light,central,0,0,2.5,20,1000,0,1,"0.452034*(1+0.159368*x+-7.08431e-05*x*x+4.88718e-08*x*x*x)/(1+0.0482155*x)"
T,light,down,0,0,2.5,20,1000,0,1,"(0.452034*(1+0.159368*x+-7.08431e-05*x*x+4.88718e-08*x*x*x)/(1+0.0482155*x))*(1-(0.172738+0.000184383*x+-4.05441e-07*x*x+2.35938e-10*x*x*x))"
