1 HLT_HT200_L1SingleLLPJet_DisplacedDijet35_Inclusive1PtrkShortSig5 
2 HLT_HT200_L1SingleLLPJet_DisplacedDijet40_Inclusive1PtrkShortSig5 
3 HLT_HT170_L1SingleLLPJet_DisplacedDijet40_DisplacedTrack 
4 HLT_HT200_L1SingleLLPJet_DisplacedDijet40_DisplacedTrack 
5 HLT_HT270_L1SingleLLPJet_DisplacedDijet40_DisplacedTrack 
6 HLT_HT200_L1SingleLLPJet_DisplacedDijet60_DisplacedTrack 
7 HLT_HT320_L1SingleLLPJet_DisplacedDijet60_Inclusive 
8 HLT_HT420_L1SingleLLPJet_DisplacedDijet60_Inclusive 
9 HLT_HT200_L1SingleLLPJet_DelayedJet40_DoubleDelay0p5nsTrackless 
10 HLT_HT200_L1SingleLLPJet_DelayedJet40_DoubleDelay1nsInclusive
11 HLT_HT200_L1SingleLLPJet_DelayedJet40_SingleDelay1nsTrackless 
12 HLT_HT200_L1SingleLLPJet_DelayedJet40_SingleDelay2nsInclusive
