# pT	SubPT	Ratio(Data/MC)	Stat. error
60.0	60.0	0.792	0.009
216.7	60.0	0.926	0.021
216.7	216.7	0.976	0.038
373.3	60.0	0.970	0.059
373.3	216.7	0.928	0.046
373.3	373.3	1.035	0.105
530.0	60.0	0.948	0.147
530.0	216.7	0.982	0.118
530.0	373.3	0.960	0.101
530.0	530.0	0.709	0.111
686.7	60.0	0.953	0.305
686.7	216.7	1.189	0.284
686.7	373.3	0.903	0.162
686.7	530.0	1.132	0.201
686.7	686.7	0.698	0.177
843.3	60.0	1.227	0.664
843.3	216.7	0.891	0.275
843.3	373.3	0.741	0.259
843.3	530.0	1.250	0.507
843.3	686.7	1.510	0.661
843.3	843.3	1.474	1.431
