0    HLT_Mu20
1    HLT_Mu24_eta2p1
2    HLT_Mu27
3    HLT_Mu45_eta2p1
4    HLT_Mu50
5    HLT_Mu55
6    HLT_Mu300
7    HLT_Mu350
8    HLT_IsoMu17_eta2p1
9    HLT_IsoMu24_eta2p1
10    HLT_IsoMu18
11    HLT_IsoMu20
12    HLT_IsoMu22
13    HLT_IsoMu24
14    HLT_IsoMu27
15    HLT_IsoMu30
16    HLT_Mu12_IP6_part0
17    HLT_Mu12_IP6_part1
18    HLT_Mu12_IP6_part2
19    HLT_Mu12_IP6_part3
20    HLT_Mu12_IP6_part4
21    HLT_Mu12_IP6_part5
22    HLT_Mu9_IP6_part0
23    HLT_Mu9_IP6_part1
24    HLT_Mu9_IP6_part2
25    HLT_Mu9_IP6_part3
26    HLT_Mu9_IP6_part4
27    HLT_Mu9_IP6_part5
28    HLT_Mu9_IP5_part0
29    HLT_Mu9_IP5_part1
30    HLT_Mu9_IP5_part2
31    HLT_Mu9_IP5_part3
32    HLT_Mu9_IP5_part4
33    HLT_Mu9_IP5_part5
34    HLT_Mu9_IP4_part0
35    HLT_Mu9_IP4_part1
36    HLT_Mu9_IP4_part2
37    HLT_Mu9_IP4_part3
38    HLT_Mu9_IP4_part4
39    HLT_Mu9_IP4_part5
40    HLT_Mu8_IP6_part0
41    HLT_Mu8_IP6_part1
42    HLT_Mu8_IP6_part2
43    HLT_Mu8_IP6_part3
44    HLT_Mu8_IP6_part4
45    HLT_Mu8_IP6_part5
46    HLT_Mu8_IP5_part0
47    HLT_Mu8_IP5_part1
48    HLT_Mu8_IP5_part2
49    HLT_Mu8_IP5_part3
50    HLT_Mu8_IP5_part4
51    HLT_Mu8_IP5_part5
52    HLT_Mu8_IP3_part0
53    HLT_Mu8_IP3_part1
54    HLT_Mu8_IP3_part2
55    HLT_Mu8_IP3_part3
56    HLT_Mu8_IP3_part4
57    HLT_Mu8_IP3_part5
58    HLT_Mu7_IP4_part0
59    HLT_Mu7_IP4_part1
60    HLT_Mu7_IP4_part2
61    HLT_Mu7_IP4_part3
62    HLT_Mu7_IP4_part4
63    HLT_Mu7_IP4_part5
