# Scale factors (Data/MC)
[Offline PF jet pT (GeV)]
# pT	Ratio(Data/MC)	Stat. error
42.5	1.023	0.041
47.5	1.070	0.042
52.5	1.061	0.037
57.5	1.110	0.034
62.5	1.167	0.033
67.5	1.186	0.031
72.5	1.105	0.025
77.5	1.093	0.023
82.5	1.066	0.021
87.5	1.046	0.020
92.5	1.006	0.018
97.5	0.971	0.017
102.5	0.968	0.016
107.5	1.047	0.019
112.5	1.043	0.018
117.5	1.016	0.017

[Number of Offline Prompt Tracks]
# Ntrk	Ratio(Data/MC)	Stat. error
0.0	0.988	0.003
1.0	0.995	0.001
2.0	0.987	0.000
3.0	0.995	0.008
4.0	0.994	0.008
5.0	0.996	0.009
6.0	1.000	0.009
7.0	1.014	0.010
8.0	0.994	0.010
9.0	1.036	0.013
10.0	1.044	0.014
11.0	1.048	0.016
12.0	1.114	0.021
13.0	1.113	0.023
14.0	1.131	0.027
15.0	1.188	0.034
16.0	1.198	0.039
17.0	1.273	0.050
18.0	1.193	0.053
19.0	1.334	0.071

