# Scale factors (Data/MC)
[Offline PF jet pT (GeV)]
# pT	Ratio(Data/MC)	Stat. error
42.5	2.281	0.192
47.5	1.868	0.131
52.5	1.868	0.118
57.5	1.506	0.074
62.5	1.289	0.050
67.5	1.246	0.041
72.5	1.154	0.032
77.5	1.095	0.026
82.5	1.101	0.023
87.5	1.136	0.022
92.5	1.084	0.018
97.5	1.083	0.017
102.5	1.056	0.015
107.5	1.037	0.014
112.5	1.034	0.014
117.5	1.004	0.013

[Number of Offline Prompt Tracks]
# Ntrk	Ratio(Data/MC)	Stat. error
0.0	0.996	0.001
1.0	0.997	0.000
2.0	1.000	0.004
3.0	0.994	0.003
4.0	0.995	0.004
5.0	0.992	0.005
6.0	0.992	0.005
7.0	1.006	0.006
8.0	1.033	0.008
9.0	1.065	0.010
10.0	1.113	0.012
11.0	1.179	0.015
12.0	1.249	0.019
13.0	1.356	0.025
14.0	1.377	0.030
15.0	1.549	0.041
16.0	1.567	0.047
17.0	1.741	0.063
18.0	1.663	0.069
19.0	1.985	0.105

