# Scale factors (Data/MC)
[Offline PF jet pT (GeV)]
# pT	Ratio(Data/MC)	Stat. error
42.5	1.310	0.027
47.5	1.210	0.023
52.5	1.196	0.021
57.5	1.158	0.018
62.5	1.123	0.015
67.5	1.133	0.014
72.5	1.111	0.012
77.5	1.081	0.011
82.5	1.064	0.010
87.5	1.044	0.009
92.5	1.034	0.009
97.5	0.998	0.008
102.5	0.981	0.008
107.5	0.970	0.007
112.5	0.934	0.007
117.5	0.938	0.007

[Number of Offline Prompt Tracks]
# Ntrk	Ratio(Data/MC)	Stat. error
0.0	1.033	0.026
1.0	0.987	0.003
2.0	0.991	0.004
3.0	0.982	0.004
4.0	0.975	0.004
5.0	0.963	0.005
6.0	0.975	0.005
7.0	0.991	0.006
8.0	1.020	0.007
9.0	1.047	0.008
10.0	1.080	0.009
11.0	1.138	0.011
12.0	1.179	0.014
13.0	1.248	0.017
14.0	1.274	0.020
15.0	1.343	0.025
16.0	1.363	0.029
17.0	1.400	0.035
18.0	1.448	0.043
19.0	1.479	0.052

